"__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3","3.77734375","0.0","0.2647362978283351","1.0","2","5","false","Irf2","7.5","0","2","0","0.9735491071428571","false","0","Irf2","0","0.5769230769230769"
"3","3.5390625","0.0","0.282560706401766","0.0","1","5","false","E2f8","10.0","0","1","0","0.9758184523809523","false","0","E2f8","0","0.0"
"3","2.484375","2.3091602623066346E-4","0.4025157232704403","0.6190476190476191","7","4","false","Prnp","44.57142857142857","0","7","0","0.9858630952380952","false","0","Prnp","268","0.3277310924369748"
"3","2.32421875","0.02385910266237028","0.43025210084033616","0.31868131868131866","14","4","false","Bmp2","33.42857142857143","0","14","0","0.9873883928571429","false","0","Bmp2","8978","0.2046450482033304"
"3","2.78515625","0.019124461074745858","0.3590462833099579","0.23076923076923078","13","4","false","Tal1","12.0","0","13","0","0.982998511904762","false","0","Tal1","10406","0.16216216216216217"
"3","3.140625","0.0","0.31840796019900497","1.0","2","5","false","Fbn2","30.0","0","2","0","0.9796130952380953","false","0","Fbn2","0","0.5357142857142857"
"3","2.5234375","0.008558993347899793","0.39628482972136225","0.41818181818181815","11","4","false","Nid2","32.54545454545455","0","11","0","0.9854910714285714","false","0","Nid2","3274","0.25355113636363635"
"3","2.9765625","0.001815298635887551","0.3359580052493438","0.0","5","5","false","Mrc1","13.4","0","5","0","0.9811755952380953","false","0","Mrc1","932","0.22962962962962963"
"3","2.88671875","0.001189463227952107","0.34641407307171856","0.26666666666666666","6","5","false","Etv6","16.833333333333332","0","6","0","0.98203125","false","0","Etv6","738","0.2777777777777778"
"3","2.19140625","0.006368325263318576","0.4563279857397504","0.5359477124183006","18","4","false","Smad4","39.05555555555556","0","18","0","0.9886532738095238","false","0","Smad4","4290","0.20418848167539266"
"3","3.10546875","0.0","0.3220125786163522","1.0","4","5","false","Irak2","15.75","0","4","0","0.9799479166666667","false","0","Irak2","0","0.38414634146341464"
"3","2.7109375","0.0021671651675923176","0.3688760806916426","0.4166666666666667","9","4","false","Lyve1","24.11111111111111","0","9","0","0.9837053571428571","false","0","Lyve1","1544","0.29132791327913277"
"3","2.65234375","0.0023475835314273126","0.37702503681885124","0.3333333333333333","9","4","false","Ifnar1","24.88888888888889","0","9","0","0.9842633928571428","false","0","Ifnar1","1138","0.25396825396825395"
"3","2.66796875","0.004285552246001986","0.37481698389458273","0.2","6","5","false","Mertk","27.5","0","6","0","0.9841145833333333","false","0","Mertk","1654","0.2515432098765432"
"3","2.2578125","0.004032692905966341","0.4429065743944637","0.38562091503267976","18","4","false","Snai2","29.444444444444443","0","18","0","0.9880208333333333","false","0","Snai2","2358","0.16825396825396827"
"3","2.30859375","9.23658418701911E-4","0.43316412859560066","0.9455645161290323","32","4","false","Trf","41.09375","0","32","0","0.9875372023809523","false","0","Trf","1004","0.2600870253164557"
"3","2.62109375","1.0063267628254802E-4","0.38152011922503726","0.6","6","5","false","Dyrk1a","41.333333333333336","0","6","0","0.9845610119047619","false","0","Dyrk1a","248","0.35327635327635326"
"3","3.0546875","0.0","0.3273657289002558","0.0","1","5","false","Ptpn7","38.0","0","1","0","0.9804315476190476","false","0","Ptpn7","0","0.0"
"3","2.88671875","7.525332966904467E-4","0.34641407307171856","0.5555555555555556","9","5","false","Myb","15.666666666666666","0","9","0","0.98203125","false","0","Myb","762","0.24102564102564103"
"3","2.5859375","3.646740877232268E-5","0.3867069486404834","0.6666666666666666","4","4","false","Cdh11","46.75","0","4","0","0.9848958333333333","false","0","Cdh11","42","0.3831967213114754"
"3","2.38671875","9.086938949014864E-4","0.41898527004909986","0.4444444444444444","10","4","false","Axl","43.9","0","10","0","0.9867931547619048","false","0","Axl","770","0.27784810126582277"
"3","2.95703125","0.008130512270943115","0.3381770145310436","0.3","5","5","false","Sod3","16.6","0","5","0","0.9813616071428571","false","0","Sod3","5816","0.3176470588235294"
"3","2.62890625","0.0020443895393872156","0.3803863298662704","0.1","5","4","false","Fbln5","27.0","0","5","0","0.9844866071428572","false","0","Fbln5","2058","0.24"
