"SUID","automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"2880","0.0","0.0","0.9","0.9","25.6465286","0.0","0","0.0","interacts with","Cd177 (interacts with) Psg19","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000004657","0","false","interacts with","Cd177 (interacts with) Psg19"
"2879","0.0","0.132","0.909","0.9","5.26190476","0.0","0","0.0","interacts with","Cd177 (interacts with) Mcemp1","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000014118","0","false","interacts with","Cd177 (interacts with) Mcemp1"
"2878","0.049","0.08","0.904","0.9","39.2907204","0.0","0","0.0","interacts with","Cd177 (interacts with) Cybb","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000015484","0","false","interacts with","Cd177 (interacts with) Cybb"
"2877","0.0","0.0","0.9","0.9","16.50843176","0.0","0","0.0","interacts with","Cd177 (interacts with) Tmbim1","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000016309","0","false","interacts with","Cd177 (interacts with) Tmbim1"
"2876","0.0","0.0","0.9","0.9","8.71886117","0.05","0","0.0","interacts with","Cd177 (interacts with) Plau","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000022368","0","false","interacts with","Cd177 (interacts with) Plau"
"2875","0.101","0.096","0.911","0.9","8.69734613","0.0","0","0.0","interacts with","Cd177 (interacts with) Clec4d","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000032240","0","false","interacts with","Cd177 (interacts with) Clec4d"
"2874","0.0","0.067","0.902","0.9","17.98685016","0.0","0","0.0","interacts with","Cd177 (interacts with) Cd53","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000035781","0","false","interacts with","Cd177 (interacts with) Cd53"
"2873","0.0","0.0","0.9","0.9","5.26190476","0.0","0","0.0","interacts with","Cd177 (interacts with) Rap2b","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000038841","0","false","interacts with","Cd177 (interacts with) Rap2b"
"2872","0.0","0.0","0.9","0.9","8.25421588","0.0","0","0.0","interacts with","Cd177 (interacts with) mCG_19844","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000042889","0","false","interacts with","Cd177 (interacts with) mCG_19844"
"2871","0.592","0.0","0.592","0.0","87.82625436","0.0","0","0.0","interacts with","Cd177 (interacts with) Pecam1","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000079664","0","false","interacts with","Cd177 (interacts with) Pecam1"
