"SUID","__glayCluster","name","selected","shared name"
"11832","1","Tbx4","false","Tbx4"
"12317","2","Ncl","false","Ncl"
"12318","3","Gtf2ird1","false","Gtf2ird1"
"11833","4","Pitpna","false","Pitpna"
"12319","5","Cdc14b","false","Cdc14b"
"12320","6","Ehmt2","false","Ehmt2"
"12321","5","Anapc1","false","Anapc1"
"11834","3","Sae1","false","Sae1"
"12322","6","Mthfd2l","false","Mthfd2l"
"11835","3","Senp1","false","Senp1"
"12323","6","Mthfr","false","Mthfr"
"11924","5","Hat1","false","Hat1"
"12324","6","Phgdh","false","Phgdh"
"11925","4","Ugdh","false","Ugdh"
"12325","6","Gldc","false","Gldc"
"11926","6","H1fx","false","H1fx"
"11836","7","Rgl2","false","Rgl2"
"12326","6","Shmt1","false","Shmt1"
"12078","8","Ttll12","false","Ttll12"
"12327","6","Amt","false","Amt"
"12079","8","Csrp2","false","Csrp2"
"11837","7","Pfdn6","false","Pfdn6"
"12080","2","Nsun2","false","Nsun2"
"12328","9","Tead1","false","Tead1"
"12329","9","Amotl2","false","Amotl2"
"12330","6","Taf1a","false","Taf1a"
"11838","2","Pdcd7","false","Pdcd7"
"12331","6","Alms1","false","Alms1"
"12332","6","Gls","false","Gls"
"11839","5","Pcnp","false","Pcnp"
"12333","4","Tsc1","false","Tsc1"
"11840","2","Rbm38","false","Rbm38"
"11927","6","Grhl3","false","Grhl3"
"12334","4","Casp3","false","Casp3"
"11841","2","Pawr","false","Pawr"
"12335","4","Pfkfb2","false","Pfkfb2"
"12336","6","Brd1","false","Brd1"
"11932","7","Slmap","false","Slmap"
"11933","7","Gpd1l","false","Gpd1l"
"12081","10","Sufu","false","Sufu"
"12337","4","Atm","false","Atm"
"12082","10","Zfyve9","false","Zfyve9"
"12338","4","Twist1","false","Twist1"
"12083","10","Csnk1a1","false","Csnk1a1"
"12339","5","Foxm1","false","Foxm1"
"12084","2","Paip1","false","Paip1"
"12340","4","Tbc1d1","false","Tbc1d1"
"12085","2","Csde1","false","Csde1"
"11842","6","Pcbd1","false","Pcbd1"
"12341","4","Parp1","false","Parp1"
"12086","4","Rps6ka6","false","Rps6ka6"
"12342","2","Npm1","false","Npm1"
"12343","1","Tiam1","false","Tiam1"
"12344","4","Prom1","false","Prom1"
"12345","4","Mapkapk2","false","Mapkapk2"
"12346","7","Ttc3","false","Ttc3"
"12347","6","Gart","false","Gart"
"11938","11","Gata5","false","Gata5"
"12348","5","Keap1","false","Keap1"
"12349","7","Ppp2r2d","false","Ppp2r2d"
"12350","4","Ccnd3","false","Ccnd3"
"11843","5","Usp3","false","Usp3"
"12351","4","Prdm10","false","Prdm10"
"11939","6","Slc25a32","false","Slc25a32"
"12352","4","Stim1","false","Stim1"
"12353","2","Srpk1","false","Srpk1"
"12354","4","Frs2","false","Frs2"
"11940","2","Naf1","false","Naf1"
"12355","4","Creb3l1","false","Creb3l1"
"12087","2","Fyttd1","false","Fyttd1"
"12356","2","Eif4b","false","Eif4b"
"12088","2","Steap1","false","Steap1"
"12357","4","Slc9a3r1","false","Slc9a3r1"
"12358","2","Hnrnpa1","false","Hnrnpa1"
"12359","4","Vav3","false","Vav3"
"12360","6","Mycn","false","Mycn"
"12361","6","Hdac6","false","Hdac6"
"12362","2","Dicer1","false","Dicer1"
"12363","5","Nedd4","false","Nedd4"
"11941","5","Map1s","false","Map1s"
"12364","4","Fkbp4","false","Fkbp4"
"11942","10","Gabpa","false","Gabpa"
"12365","5","Ccna2","false","Ccna2"
"12366","4","Ywhaz","false","Ywhaz"
"11943","11","Nutf2","false","Nutf2"
"12367","4","Nfatc4","false","Nfatc4"
"12368","4","Atp2a2","false","Atp2a2"
"12369","2","Drosha","false","Drosha"
"11844","6","Phf23","false","Phf23"
"12370","4","Cdkn2b","false","Cdkn2b"
"12089","12","Naa15","false","Naa15"
"12371","2","Eif4a1","false","Eif4a1"
"11944","13","Slc3a2","false","Slc3a2"
"12372","4","Arnt","false","Arnt"
"12090","2","Esrp1","false","Esrp1"
"11945","6","Ubp1","false","Ubp1"
"12373","4","Sp1","false","Sp1"
"12091","2","Cldn6","false","Cldn6"
"12092","2","Cldn3","false","Cldn3"
"12374","11","Aldh1b1","false","Aldh1b1"
"11946","2","Zfp207","false","Zfp207"
"11947","2","Fubp1","false","Fubp1"
"12375","11","Akr1b3","false","Akr1b3"
"12376","4","Rps6ka1","false","Rps6ka1"
"12377","2","Eif2a","false","Eif2a"
"11845","2","Nol9","false","Nol9"
"12378","4","Creb1","false","Creb1"
"11846","12","Urb2","false","Urb2"
"12379","4","Akap8","false","Akap8"
"12380","4","Akap1","false","Akap1"
"11948","6","Fpgs","false","Fpgs"
"11949","4","Sel1l","false","Sel1l"
"12381","4","Csnk1e","false","Csnk1e"
"11950","4","Foxred2","false","Foxred2"
"12382","4","Ywhae","false","Ywhae"
"12383","4","Tuba4a","false","Tuba4a"
"12093","4","Tuba8","false","Tuba8"
"12384","4","Hsp90aa1","false","Hsp90aa1"
"11847","5","Nipa2","false","Nipa2"
"12385","4","Pcm1","false","Pcm1"
"12386","4","Haus1","false","Haus1"
"12387","4","Plk4","false","Plk4"
"11951","5","Otub1","false","Otub1"
"12094","4","Cidea","false","Cidea"
"12388","2","Psme3","false","Psme3"
"11952","2","Pkp3","false","Pkp3"
"12389","4","Csnk1d","false","Csnk1d"
"12390","4","Ajuba","false","Ajuba"
"12391","2","Sf1","false","Sf1"
"12392","2","Ahnak","false","Ahnak"
"11848","4","Tceal8","false","Tceal8"
"12393","6","Cbs","false","Cbs"
"11953","4","Itga4","false","Itga4"
"11849","4","Unc5c","false","Unc5c"
"12394","6","Gm4737","false","Gm4737"
"11954","4","Itga9","false","Itga9"
"12395","1","Pitx2","false","Pitx2"
"12396","5","Ubqln4","false","Ubqln4"
"12397","6","Ahcyl1","false","Ahcyl1"
"12398","5","Nup98","false","Nup98"
"11850","4","Wbp2","false","Wbp2"
"12095","5","Ung","false","Ung"
"12399","5","Wapal","false","Wapal"
