"__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4","4.3011695906432745","0.0029239766081871343","0.2324949014276003","0.0","2","8","false","Ppp1r8","4.0","0","2","0","0.9499822789296474","false","0","Ppp1r8","7316","0.5"
"2","3.059941520467836","0.008543064742615984","0.3268036311514572","0.4640151515151515","33","7","false","Cdc23","26.545454545454547","0","33","0","0.9687887648413964","false","0","Cdc23","50088","0.13406795224977044"
"3","4.058479532163743","9.149820643436895E-5","0.2463976945244957","0.3333333333333333","3","8","false","Camsap1","12.0","0","3","0","0.9536594010278221","false","0","Camsap1","398","0.40229885057471265"
"3","3.97953216374269","3.513276362753501E-4","0.2512858192505511","0.3333333333333333","3","7","false","Ppt2","9.333333333333334","0","3","0","0.954855573276626","false","0","Ppt2","788","0.36"
"3","3.371345029239766","0.014332244725762312","0.2966175195143105","0.2761904761904762","15","7","false","Surf4","18.533333333333335","0","15","0","0.9640705298600036","false","0","Surf4","62356","0.15726495726495726"
"8","3.853801169590643","0.0016862081570006842","0.25948406676783003","0.10714285714285714","8","7","false","Sall4","10.375","0","8","0","0.9567605883395357","false","0","Sall4","6188","0.2"
"2","2.9766081871345027","0.01802645778903624","0.33595284872298625","0.38288288288288286","37","7","false","Cdc27","26.54054054054054","0","37","0","0.9700513911040227","false","0","Cdc27","96820","0.11824324324324324"
"4","4.285087719298246","0.0","0.23336745138178094","1.0","2","9","false","Nol9","21.5","0","2","0","0.9502259436469963","false","0","Nol9","0","0.6935483870967742"
"3","3.823099415204678","0.003487936448710565","0.2615678776290631","0.3333333333333333","6","7","false","Itga9","8.833333333333334","0","6","0","0.9572257664362928","false","0","Itga9","9076","0.22807017543859648"
"4","3.469298245614035","8.33671434766088E-4","0.2882427307206068","0.6857142857142857","15","7","false","Matr3","27.466666666666665","0","15","0","0.9625863902179692","false","0","Matr3","3588","0.30444444444444446"
"3","3.960526315789474","1.9068487542672877E-4","0.25249169435215946","0.5714285714285714","7","8","false","Tubb2b","22.428571428571427","0","7","0","0.9551435406698565","false","0","Tubb2b","1216","0.3866995073891626"
"2","3.7353801169590644","0.0","0.2677103718199609","1.0","7","7","false","Actr1b","30.142857142857142","0","7","0","0.9585548467127415","false","0","Actr1b","0","0.49414519906323184"
"3","3.824561403508772","5.639598405234317E-4","0.26146788990825687","0.5","5","7","false","Itga4","10.6","0","5","0","0.957203615098352","false","0","Itga4","2386","0.2717948717948718"
"3","3.573099415204678","0.0059358217931189325","0.27986906710310966","0.4696969696969697","12","7","false","Sptbn2","21.083333333333332","0","12","0","0.9610136452241715","false","0","Sptbn2","28910","0.27164502164502163"
"8","3.9590643274853803","0.0033391484007595207","0.25258493353028066","0.19047619047619047","7","8","false","Smarcc1","12.571428571428571","0","7","0","0.9551656920077973","false","0","Smarcc1","20904","0.22077922077922077"
"2","4.16374269005848","4.381032830519475E-4","0.24016853932584267","0.0","2","8","false","Pnisr","17.5","0","2","0","0.9520645046960837","false","0","Pnisr","780","0.5"
"14","5.5321637426900585","0.0","0.18076109936575052","0.0","1","9","false","Camsap3","5.0","0","1","0","0.9313308523834839","false","0","Camsap3","0","0.0"
"9","4.567251461988304","0.0","0.21895006402048656","0.0","1","8","false","Ankle2","11.0","0","1","0","0.9459507354244197","false","0","Ankle2","0","0.0"
