"__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2","2.3488372093023258","0.01744906804951113","0.42574257425742573","0.7908496732026143","18","4","false","AF251705","22.833333333333332","0","18","0","0.9693446088794926","false","0","AF251705","1600","0.3120243531202435"
"2","2.7286821705426356","2.7252906976744186E-4","0.3664772727272727","0.5","4","5","false","Sash3","16.0","0","4","0","0.9607117688513038","false","0","Sash3","10","0.34782608695652173"
"2","1.8837209302325582","0.08164063815426334","0.5308641975308642","0.32051282051282054","40","4","false","Itgb2","18.8","0","40","0","0.9799154334038055","false","0","Itgb2","8410","0.17735849056603772"
"2","2.441860465116279","0.015503875968992248","0.40952380952380957","0.875","16","4","false","Tmbim1","22.375","0","16","0","0.9672304439746301","false","0","Tmbim1","1700","0.34326923076923077"
"2","2.511627906976744","1.7427970494601926E-4","0.39814814814814814","0.3333333333333333","4","4","false","Slc15a3","26.5","0","4","0","0.9656448202959832","false","0","Slc15a3","48","0.3897058823529412"
"2","2.108527131782946","0.05856652100375048","0.4742647058823529","0.39919354838709675","32","4","false","Psg19","17.28125","0","32","0","0.9748062015503876","false","0","Psg19","5046","0.2005813953488372"
"2","2.3333333333333335","5.28983798214143E-4","0.42857142857142855","0.9298245614035088","19","4","false","Mcemp1","23.63157894736842","0","19","0","0.9696969696969696","false","0","Mcemp1","196","0.31508771929824564"
"2","1.9147286821705427","0.058576163023498926","0.5222672064777327","0.42424242424242425","33","4","false","Cybb","21.484848484848484","0","33","0","0.9792107117688513","false","0","Cybb","7000","0.1989337822671156"
"2","2.2713178294573644","0.03411700652284654","0.4402730375426621","0.2777777777777778","9","4","false","Sdc1","19.666666666666668","0","9","0","0.971106412966878","false","0","Sdc1","2626","0.22348484848484848"
"2","2.5968992248062017","0.006275897934931997","0.3850746268656716","0.8055555555555556","9","5","false","Hbb-bs","17.555555555555557","0","9","0","0.963706835799859","false","0","Hbb-bs","1192","0.30268199233716475"
"2","2.449612403100775","0.0","0.40822784810126583","1.0","15","4","false","mCG_19844","23.866666666666667","0","15","0","0.9670542635658915","false","0","mCG_19844","0","0.3616161616161616"
"2","2.186046511627907","0.008097098671672524","0.45744680851063835","0.8421052631578947","20","4","false","Plau","23.9","0","20","0","0.9730443974630021","false","0","Plau","1158","0.26853932584269663"
"2","2.5736434108527133","0.0016060255300841375","0.3885542168674699","0.7818181818181819","11","5","false","Lrg1","16.09090909090909","0","11","0","0.9642353770260748","false","0","Lrg1","222","0.2727272727272727"
"2","2.302325581395349","0.007461673243245352","0.4343434343434343","0.7666666666666667","21","4","false","Clec4d","22.0","0","21","0","0.9704016913319239","false","0","Clec4d","618","0.2926984126984127"
"2","2.5736434108527133","0.0016060255300841375","0.3885542168674699","0.7818181818181819","11","5","false","Gsdmd","16.09090909090909","0","11","0","0.9642353770260748","false","0","Gsdmd","222","0.2727272727272727"
"2","2.0387596899224807","0.022830527578560085","0.49049429657794674","0.5396825396825397","28","4","false","Cd53","21.964285714285715","0","28","0","0.9763918252290346","false","0","Cd53","2982","0.22412536443148687"
"2","3.317829457364341","0.0","0.3014018691588785","0.0","1","5","false","Plscr3","20.0","0","1","0","0.947322057787174","false","0","Plscr3","0","0.0"
"2","2.3333333333333335","5.28983798214143E-4","0.42857142857142855","0.9298245614035088","19","4","false","Rap2b","23.63157894736842","0","19","0","0.9696969696969696","false","0","Rap2b","196","0.31508771929824564"
"2","2.5736434108527133","0.015720511239878332","0.3885542168674699","0.6888888888888889","10","5","false","Fth1","16.7","0","10","0","0.9642353770260748","false","0","Fth1","1488","0.28620689655172415"
"2","2.75968992248062","0.0","0.36235955056179775","1.0","6","4","false","Cpm","17.5","0","6","0","0.9600070472163496","false","0","Cpm","0","0.3723404255319149"
"2","2.387596899224806","0.011533023918599263","0.4188311688311689","0.5238095238095238","7","4","false","Lcp1","22.428571428571427","0","7","0","0.9684637068358","false","0","Lcp1","1608","0.2932330827067669"
"2","2.5736434108527133","0.005233624485306288","0.3885542168674699","0.47619047619047616","7","5","false","Igsf6","18.571428571428573","0","7","0","0.9642353770260748","false","0","Igsf6","510","0.31476997578692495"
"2","3.3410852713178296","0.0014007672012189224","0.29930394431554525","0.6666666666666666","3","6","false","Ms4a4c","5.0","0","3","0","0.9467935165609584","false","0","Ms4a4c","188","0.5"
"2","2.75968992248062","0.0","0.36235955056179775","1.0","6","4","false","Prss41","17.5","0","6","0","0.9600070472163496","false","0","Prss41","0","0.3723404255319149"
"2","2.131782945736434","0.04019591187642196","0.4690909090909091","0.3216374269005848","19","4","false","Spi1","16.894736842105264","0","19","0","0.974277660324172","false","0","Spi1","3390","0.1797312430011198"
"2","3.868217054263566","0.0","0.25851703406813625","1.0","2","6","false","Slfn1","4.5","0","2","0","0.9348132487667371","false","0","Slfn1","0","0.75"
"2","3.5891472868217056","0.015503875968992248","0.2786177105831533","0.0","2","5","false","Fkbp2","4.0","0","2","0","0.9411557434813248","false","0","Fkbp2","910","0.5"
"2","2.302325581395349","0.004646933098238069","0.4343434343434343","0.8368421052631579","20","4","false","Cd177","22.95","0","20","0","0.9704016913319239","false","0","Cd177","438","0.2974025974025974"
"2","2.372093023255814","0.03151054757087488","0.42156862745098034","0.39166666666666666","16","5","false","C3","16.75","0","16","0","0.968816067653277","false","0","C3","3590","0.2225"
"2","2.4263565891472867","0.012034426997112461","0.41214057507987223","0.875","16","4","false","Stk10","22.5625","0","16","0","0.967582804792107","false","0","Stk10","1238","0.3358208955223881"
"2","2.4806201550387597","0.0043178522397850725","0.403125","0.2","6","5","false","Ptk2b","18.333333333333332","0","6","0","0.9663495419309374","false","0","Ptk2b","364","0.26715686274509803"
"2","3.3410852713178296","0.0","0.29930394431554525","0.0","1","5","false","Bcl2a1b","18.0","0","1","0","0.9467935165609584","false","0","Bcl2a1b","0","0.0"
"2","2.5193798449612403","3.913100360406907E-4","0.39692307692307693","0.6","5","5","false","Ncf2","23.4","0","5","0","0.9654686398872445","false","0","Ncf2","58","0.36"
"2","2.2093023255813953","0.006517769136554661","0.45263157894736844","0.47619047619047616","15","4","false","Ly86","20.866666666666667","0","15","0","0.9725158562367864","false","0","Ly86","990","0.2293040293040293"
"2","2.4186046511627906","5.782885313153757E-4","0.4134615384615385","0.7142857142857143","7","5","false","Cd52","25.857142857142858","0","7","0","0.9677589852008457","false","0","Cd52","86","0.34476190476190477"
"2","2.75968992248062","0.0","0.36235955056179775","1.0","6","4","false","Plet1","17.5","0","6","0","0.9600070472163496","false","0","Plet1","0","0.3723404255319149"
"2","2.124031007751938","0.016817196873600847","0.4708029197080291","0.5433333333333333","25","4","false","Ptafr","22.84","0","25","0","0.9744538407329105","false","0","Ptafr","2904","0.2482608695652174"
"2","2.3333333333333335","0.018522428939565377","0.42857142857142855","0.45054945054945056","14","5","false","Cd274","17.5","0","14","0","0.9696969696969696","false","0","Cd274","1718","0.22634508348794063"
"2","2.3410852713178296","0.003494680461550167","0.42715231788079466","0.6212121212121212","12","5","false","Anpep","20.666666666666668","0","12","0","0.9695207892882312","false","0","Anpep","494","0.25833333333333336"
"2","2.4031007751937983","0.008402319290736648","0.4161290322580645","0.38461538461538464","13","5","false","Ms4a6d","17.076923076923077","0","13","0","0.9681113460183227","false","0","Ms4a6d","944","0.23717948717948717"
"2","2.488372093023256","0.003357330690123042","0.40186915887850466","0.6282051282051282","13","5","false","Ccl6","18.46153846153846","0","13","0","0.9661733615221987","false","0","Ccl6","676","0.27972027972027974"
"2","2.503875968992248","8.950455618309977E-4","0.3993808049535604","0.5333333333333333","6","5","false","Selplg","21.666666666666668","0","6","0","0.9658210007047217","false","0","Selplg","92","0.32338308457711445"
"2","2.5426356589147288","0.01587420192189846","0.39329268292682923","0.5238095238095238","7","4","false","Cd33","21.571428571428573","0","7","0","0.9649400986610289","false","0","Cd33","1844","0.351288056206089"
"2","2.75968992248062","0.0","0.36235955056179775","1.0","6","4","false","Psca","17.5","0","6","0","0.9600070472163496","false","0","Psca","0","0.3723404255319149"
