"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","weight"
"139250","48.90495007","interacts with","ENSMUSG00000019817 (interacts with) ENSMUSG00000054690","false","interacts with","ENSMUSG00000019817 (interacts with) ENSMUSG00000054690","0.0265007913943104"
"139248","236.16817769","interacts with","ENSMUSG00000029178 (interacts with) ENSMUSG00000026339","false","interacts with","ENSMUSG00000029178 (interacts with) ENSMUSG00000026339","0.0265086873611794"
"139251","103.92343226","interacts with","ENSMUSG00000001542 (interacts with) ENSMUSG00000054499","false","interacts with","ENSMUSG00000001542 (interacts with) ENSMUSG00000054499","0.0264959986930654"
"147444","41.6293605","interacts with","ENSMUSG00000023951 (interacts with) ENSMUSG00000022468","false","interacts with","ENSMUSG00000023951 (interacts with) ENSMUSG00000022468","0.0176282175052086"
"147447","105.45702897","interacts with","ENSMUSG00000032035 (interacts with) ENSMUSG00000029512","false","interacts with","ENSMUSG00000032035 (interacts with) ENSMUSG00000029512","0.0176273716725148"
"139262","110.30287077","interacts with","ENSMUSG00000079037 (interacts with) ENSMUSG00000020486","false","interacts with","ENSMUSG00000079037 (interacts with) ENSMUSG00000020486","0.0264739325339556"
"139265","57.9895603","interacts with","ENSMUSG00000019817 (interacts with) ENSMUSG00000025127","false","interacts with","ENSMUSG00000019817 (interacts with) ENSMUSG00000025127","0.0264602344646047"
"139266","97.53452078","interacts with","ENSMUSG00000033542 (interacts with) ENSMUSG00000023348","false","interacts with","ENSMUSG00000033542 (interacts with) ENSMUSG00000023348","0.0264579203777084"
"139270","30.81932056","interacts with","ENSMUSG00000046179 (interacts with) ENSMUSG00000074227","false","interacts with","ENSMUSG00000046179 (interacts with) ENSMUSG00000074227","0.0264509818816981"
"139267","36.30303795","interacts with","ENSMUSG00000032035 (interacts with) ENSMUSG00000026728","false","interacts with","ENSMUSG00000032035 (interacts with) ENSMUSG00000026728","0.0264562148685283"
"139273","41.1511622","interacts with","ENSMUSG00000073197 (interacts with) ENSMUSG00000032327","false","interacts with","ENSMUSG00000073197 (interacts with) ENSMUSG00000032327","0.0264477735950852"
"147465","110.95102709","interacts with","ENSMUSG00000001542 (interacts with) ENSMUSG00000061111","false","interacts with","ENSMUSG00000001542 (interacts with) ENSMUSG00000061111","0.0176124603618918"
"147469","211.10555363","interacts with","ENSMUSG00000028799 (interacts with) ENSMUSG00000022179","false","interacts with","ENSMUSG00000028799 (interacts with) ENSMUSG00000022179","0.0176102633725096"
"139277","60.44275694","interacts with","ENSMUSG00000009569 (interacts with) ENSMUSG00000046179","false","interacts with","ENSMUSG00000009569 (interacts with) ENSMUSG00000046179","0.0264417812137548"
"147467","311.82074806","interacts with","ENSMUSG00000026037 (interacts with) ENSMUSG00000040818","false","interacts with","ENSMUSG00000026037 (interacts with) ENSMUSG00000040818","0.0176119258701942"
"139280","44.4104926","interacts with","ENSMUSG00000009569 (interacts with) ENSMUSG00000019843","false","interacts with","ENSMUSG00000009569 (interacts with) ENSMUSG00000019843","0.02643567665269"
"139294","133.89514357","interacts with","ENSMUSG00000001542 (interacts with) ENSMUSG00000022844","false","interacts with","ENSMUSG00000001542 (interacts with) ENSMUSG00000022844","0.0263863509378266"
"147489","253.07929688","interacts with","ENSMUSG00000023348 (interacts with) ENSMUSG00000020451","false","interacts with","ENSMUSG00000023348 (interacts with) ENSMUSG00000020451","0.0175971758269537"
"147490","222.94272065","interacts with","ENSMUSG00000079037 (interacts with) ENSMUSG00000079092","false","interacts with","ENSMUSG00000079037 (interacts with) ENSMUSG00000079092","0.017596641989616"
"147487","76.06097305","interacts with","ENSMUSG00000079037 (interacts with) ENSMUSG00000037440","false","interacts with","ENSMUSG00000079037 (interacts with) ENSMUSG00000037440","0.0175972402155224"
"147494","69.21475451","interacts with","ENSMUSG00000028101 (interacts with) ENSMUSG00000043154","false","interacts with","ENSMUSG00000028101 (interacts with) ENSMUSG00000043154","0.0175949327148879"
"139299","65.25320703","interacts with","ENSMUSG00000052712 (interacts with) ENSMUSG00000034845","false","interacts with","ENSMUSG00000052712 (interacts with) ENSMUSG00000034845","0.0263676939914184"
"139306","41.09738408","interacts with","ENSMUSG00000046470 (interacts with) ENSMUSG00000044562","false","interacts with","ENSMUSG00000046470 (interacts with) ENSMUSG00000044562","0.026347165396828"
"139307","43.93644459","interacts with","ENSMUSG00000032035 (interacts with) ENSMUSG00000029718","false","interacts with","ENSMUSG00000032035 (interacts with) ENSMUSG00000029718","0.0263469897604289"
"139313","108.76370949","interacts with","ENSMUSG00000071766 (interacts with) ENSMUSG00000009035","false","interacts with","ENSMUSG00000071766 (interacts with) ENSMUSG00000009035","0.0263305109817125"
"139317","42.1881285","interacts with","ENSMUSG00000032035 (interacts with) ENSMUSG00000037348","false","interacts with","ENSMUSG00000032035 (interacts with) ENSMUSG00000037348","0.0263244192918252"
"139318","31.48849369","interacts with","ENSMUSG00000023348 (interacts with) ENSMUSG00000029413","false","interacts with","ENSMUSG00000023348 (interacts with) ENSMUSG00000029413","0.0263219228246281"
"139315","101.09116045","interacts with","ENSMUSG00000023348 (interacts with) ENSMUSG00000015441","false","interacts with","ENSMUSG00000023348 (interacts with) ENSMUSG00000015441","0.0263287491866708"
"147514","89.13193125","interacts with","ENSMUSG00000071766 (interacts with) ENSMUSG00000023926","false","interacts with","ENSMUSG00000071766 (interacts with) ENSMUSG00000023926","0.0175872762518664"
"139320","32.78417813","interacts with","ENSMUSG00000026176 (interacts with) ENSMUSG00000014361","false","interacts with","ENSMUSG00000026176 (interacts with) ENSMUSG00000014361","0.026318657422737"
"139325","51.56752168","interacts with","ENSMUSG00000038393 (interacts with) ENSMUSG00000023972","false","interacts with","ENSMUSG00000038393 (interacts with) ENSMUSG00000023972","0.0263015508605447"
"147517","83.25334947","interacts with","ENSMUSG00000049892 (interacts with) ENSMUSG00000050379","false","interacts with","ENSMUSG00000049892 (interacts with) ENSMUSG00000050379","0.0175852503947391"
"147516","116.90952606","interacts with","ENSMUSG00000028799 (interacts with) ENSMUSG00000022403","false","interacts with","ENSMUSG00000028799 (interacts with) ENSMUSG00000022403","0.0175858936115737"
"139329","80.47830035","interacts with","ENSMUSG00000020656 (interacts with) ENSMUSG00000050854","false","interacts with","ENSMUSG00000020656 (interacts with) ENSMUSG00000050854","0.0262944194975017"
"139333","28.23924786","interacts with","ENSMUSG00000073197 (interacts with) ENSMUSG00000004885","false","interacts with","ENSMUSG00000073197 (interacts with) ENSMUSG00000004885","0.0262893849331775"
"139337","35.55325108","interacts with","ENSMUSG00000038393 (interacts with) ENSMUSG00000039461","false","interacts with","ENSMUSG00000038393 (interacts with) ENSMUSG00000039461","0.0262798098160772"
"147530","330.21723152","interacts with","ENSMUSG00000079037 (interacts with) ENSMUSG00000053411","false","interacts with","ENSMUSG00000079037 (interacts with) ENSMUSG00000053411","0.0175795330535063"
"139338","43.22028824","interacts with","ENSMUSG00000049892 (interacts with) ENSMUSG00000034312","false","interacts with","ENSMUSG00000049892 (interacts with) ENSMUSG00000034312","0.0262792683151385"
"147534","55.40321295","interacts with","ENSMUSG00000073197 (interacts with) ENSMUSG00000045092","false","interacts with","ENSMUSG00000073197 (interacts with) ENSMUSG00000045092","0.0175783622503025"
"147531","65.01273417","interacts with","ENSMUSG00000028101 (interacts with) ENSMUSG00000031995","false","interacts with","ENSMUSG00000028101 (interacts with) ENSMUSG00000031995","0.0175792197854487"
"139340","62.66644399","interacts with","ENSMUSG00000038393 (interacts with) ENSMUSG00000034675","false","interacts with","ENSMUSG00000038393 (interacts with) ENSMUSG00000034675","0.0262755214151605"
