"SUID","__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"135459","3","2.05817175","5.835E-5","0.4858681","0.56410256","13","3","false","ENSMUSG00000027624","106.07692308","13","0","0","0.78836565","false","0","ENSMUSG00000027624","744","0.32439426"
"135465","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000037962","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000037962","208","0.51698606"
"138535","3","2.54570637","0.0","0.39281828","1.0","4","4","false","ENSMUSG00000034295","103.0","4","0","0","0.69085873","false","0","ENSMUSG00000034295","0","0.63580247"
"136488","3","2.14958449","2.056E-5","0.46520619","0.5","5","4","false","ENSMUSG00000021400","126.4","5","0","0","0.7700831","false","0","ENSMUSG00000021400","306","0.41578947"
"137006","3","2.0498615","8.21E-5","0.48783784","0.56190476","15","3","false","ENSMUSG00000061111","111.73333333","15","0","0","0.7900277","false","0","ENSMUSG00000061111","1242","0.34065041"
"137003","3","2.02216066","7.3E-5","0.49452055","0.51282051","13","3","false","ENSMUSG00000025795","117.07692308","13","0","0","0.79556787","false","0","ENSMUSG00000025795","1178","0.34434389"
"143659","3","2.38781163","4.3612E-4","0.4187935","0.2","5","4","false","ENSMUSG00000031119","73.6","5","0","0","0.72243767","false","0","ENSMUSG00000031119","1084","0.33824885"
"137516","3","2.09418283","6.094E-5","0.47751323","0.70512821","13","4","false","ENSMUSG00000024538","132.0","13","0","0","0.78116343","false","0","ENSMUSG00000024538","572","0.41772152"
"139057","3","2.06371191","3.907E-5","0.48456376","0.60606061","12","3","false","ENSMUSG00000038239","107.41666667","12","0","0","0.78725762","false","0","ENSMUSG00000038239","526","0.32949898"
"135983","3","2.11080332","1.226E-5","0.47375328","0.78787879","12","4","false","ENSMUSG00000004837","111.75","12","0","0","0.77783934","false","0","ENSMUSG00000004837","118","0.35932476"
"137014","3","2.04432133","4.556E-5","0.48915989","0.58181818","11","3","false","ENSMUSG00000034612","106.0","11","0","0","0.79113573","false","0","ENSMUSG00000034612","630","0.31736527"
"135476","3","2.07479224","1.889E-5","0.48197597","0.75757576","12","4","false","ENSMUSG00000022816","125.5","12","0","0","0.78504155","false","0","ENSMUSG00000022816","202","0.38734568"
"137530","3","2.12465374","1.932E-5","0.47066493","0.57142857","7","4","false","ENSMUSG00000030494","120.71428571","7","0","0","0.77506925","false","0","ENSMUSG00000030494","138","0.38814883"
"137528","3","2.03878116","6.372E-5","0.49048913","0.48484848","12","3","false","ENSMUSG00000031375","114.66666667","12","0","0","0.79224377","false","0","ENSMUSG00000031375","892","0.34228856"
"135480","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000044864","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000044864","208","0.51698606"
"141112","3","2.2299169","6.77E-6","0.4484472","0.33333333","3","3","false","ENSMUSG00000028944","130.0","3","0","0","0.75401662","false","0","ENSMUSG00000028944","90","0.47323601"
"135992","3","2.19113573","2.071E-5","0.45638432","0.72222222","9","4","false","ENSMUSG00000034675","109.66666667","9","0","0","0.76177285","false","0","ENSMUSG00000034675","148","0.38479532"
"135486","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000025451","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000025451","208","0.51698606"
"135996","3","2.02216066","5.994E-5","0.49452055","0.59340659","14","3","false","ENSMUSG00000021033","113.64285714","14","0","0","0.79556787","false","0","ENSMUSG00000021033","870","0.33522967"
"138044","3","2.06371191","4.51E-5","0.48456376","0.55555556","10","4","false","ENSMUSG00000023008","119.5","10","0","0","0.78725762","false","0","ENSMUSG00000023008","730","0.36212121"
"142145","3","2.21883657","7.7E-7","0.45068664","0.8","5","4","false","ENSMUSG00000074489","164.0","5","0","0","0.75623269","false","0","ENSMUSG00000074489","12","0.58781362"
"135489","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000034981","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000034981","208","0.51698606"
"136511","3","2.04709141","7.011E-5","0.48849797","0.53333333","10","3","false","ENSMUSG00000001240","120.9","10","0","0","0.79058172","false","0","ENSMUSG00000001240","612","0.36197605"
"135491","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000037012","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000037012","208","0.51698606"
"148302","3","3.19944598","0.0","0.31255411","0.0","1","5","false","ENSMUSG00000030246","40.0","1","0","0","0.5601108","false","0","ENSMUSG00000030246","0","0.0"
"138574","3","2.1634349","1.326E-5","0.46222791","0.6","6","4","false","ENSMUSG00000034135","138.5","6","0","0","0.76731302","false","0","ENSMUSG00000034135","94","0.4647651"
"135499","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000039157","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000039157","208","0.51698606"
"137548","3","2.25761773","5.719E-5","0.44294479","0.5","5","3","false","ENSMUSG00000008348","82.0","5","0","0","0.74847645","false","0","ENSMUSG00000008348","624","0.31178707"
"135505","3","1.86703601","0.01453018","0.53560831","0.13994817","79","3","false","ENSMUSG00000038025","22.58108108","79","0","5","0.8265928","false","0","ENSMUSG00000038025","16772","0.06740621"
"138578","3","2.20775623","6.58E-6","0.45294856","0.66666667","3","3","false","ENSMUSG00000028458","172.0","3","0","0","0.75844875","false","0","ENSMUSG00000028458","130","0.60777385"
"136015","3","2.30747922","4.0E-6","0.43337335","0.80952381","7","4","false","ENSMUSG00000021676","92.42857143","7","0","0","0.73850416","false","0","ENSMUSG00000021676","36","0.37725948"
"137045","3","2.18559557","6.013E-5","0.45754119","0.64285714","8","3","false","ENSMUSG00000029106","84.125","8","0","0","0.76288089","false","0","ENSMUSG00000029106","586","0.29414336"
"136531","3","2.23822715","2.772E-5","0.44678218","0.8","6","3","false","ENSMUSG00000060012","85.33333333","6","0","0","0.75235457","false","0","ENSMUSG00000060012","310","0.31722429"
"135514","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000040447","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000040447","208","0.51698606"
"136026","3","2.18559557","6.013E-5","0.45754119","0.64285714","8","3","false","ENSMUSG00000027519","84.125","8","0","0","0.76288089","false","0","ENSMUSG00000027519","586","0.29414336"
"135512","3","2.05263158","1.1189E-4","0.48717949","0.23809524","7","3","false","ENSMUSG00000000804","107.14285714","7","0","0","0.78947368","false","0","ENSMUSG00000000804","1014","0.32089232"
"135517","3","1.98614958","1.2087E-4","0.50348675","0.55128205","13","3","false","ENSMUSG00000032194","133.84615385","13","0","0","0.80277008","false","0","ENSMUSG00000032194","1090","0.37916757"
"148315","3","2.1634349","3.29E-6","0.46222791","0.66666667","4","3","false","ENSMUSG00000021453","158.0","4","0","0","0.76731302","false","0","ENSMUSG00000021453","34","0.53020134"
"136546","3","2.02216066","6.539E-5","0.49452055","0.56043956","14","3","false","ENSMUSG00000034312","115.78571429","14","0","0","0.79556787","false","0","ENSMUSG00000034312","950","0.34155078"
"136544","3","2.18836565","2.322E-5","0.45696203","0.66666667","9","4","false","ENSMUSG00000035914","92.66666667","9","0","0","0.76232687","false","0","ENSMUSG00000035914","140","0.32400932"
"139621","3","2.11634349","9.39E-6","0.47251309","0.66666667","9","4","false","ENSMUSG00000037440","136.55555556","9","0","0","0.7767313","false","0","ENSMUSG00000037440","104","0.43767806"
"139107","3","2.08310249","3.292E-5","0.48005319","0.64444444","10","3","false","ENSMUSG00000032394","109.4","10","0","0","0.7833795","false","0","ENSMUSG00000032394","520","0.34080997"
"135523","3","1.80055402","0.03021763","0.55538462","0.08421053","101","3","false","ENSMUSG00000009569","19.84375","101","0","5","0.8398892","false","0","ENSMUSG00000009569","31548","0.05888353"
"135524","3","2.01108033","4.6539E-4","0.49724518","0.57692308","13","3","false","ENSMUSG00000047181","91.61538462","13","0","0","0.79778393","false","0","ENSMUSG00000047181","2412","0.26632379"
"136041","3","2.23545706","1.641E-5","0.44733581","0.8","10","4","false","ENSMUSG00000039208","90.6","10","0","0","0.75290859","false","0","ENSMUSG00000039208","136","0.3380597"
"136039","3","1.96952909","1.3331E-4","0.50773558","0.55","16","3","false","ENSMUSG00000031239","129.125","16","0","0","0.80609418","false","0","ENSMUSG00000031239","1310","0.36271067"
"135528","3","2.1966759","4.72E-6","0.45523329","0.5","4","4","false","ENSMUSG00000032380","120.5","4","0","0","0.76066482","false","0","ENSMUSG00000032380","52","0.42045455"
"136552","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000024160","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000024160","208","0.51698606"
"136560","3","2.07479224","5.163E-5","0.48197597","0.59090909","12","3","false","ENSMUSG00000014599","106.66666667","12","0","0","0.78504155","false","0","ENSMUSG00000014599","756","0.33126294"
"140144","3","2.17451524","2.013E-5","0.45987261","0.66666667","6","4","false","ENSMUSG00000031974","132.5","6","0","0","0.76509695","false","0","ENSMUSG00000031974","168","0.45068027"
"137589","3","2.06094183","2.567E-5","0.48521505","0.73076923","13","4","false","ENSMUSG00000037348","128.84615385","13","0","0","0.78781163","false","0","ENSMUSG00000037348","282","0.39282364"
"135542","3","2.36288089","9.4E-7","0.42321219","0.83333333","4","4","false","ENSMUSG00000026853","122.5","4","0","0","0.72742382","false","0","ENSMUSG00000026853","8","0.5326087"
"143219","3","2.28531856","1.57E-6","0.43757576","0.8","5","4","false","ENSMUSG00000026837","127.8","5","0","0","0.74293629","false","0","ENSMUSG00000026837","16","0.49921875"
"137081","3","1.9833795","8.81E-5","0.50418994","0.59340659","14","3","false","ENSMUSG00000062382","126.35714286","14","0","0","0.8033241","false","0","ENSMUSG00000062382","840","0.35795225"
"137593","3","2.21883657","4.43E-5","0.45068664","0.71428571","7","3","false","ENSMUSG00000001467","81.57142857","7","0","0","0.75623269","false","0","ENSMUSG00000001467","466","0.29662338"
"138622","3","2.15512465","3.26E-6","0.46401028","0.33333333","3","4","false","ENSMUSG00000022947","124.0","3","0","0","0.76897507","false","0","ENSMUSG00000022947","38","0.40949227"
"140158","3","2.03878116","1.1271E-4","0.49048913","0.54545455","11","3","false","ENSMUSG00000000901","122.63636364","11","0","0","0.79224377","false","0","ENSMUSG00000000901","1492","0.36498918"
"135547","3","1.77839335","0.02689002","0.5623053","0.12405358","107","3","false","ENSMUSG00000046179","24.69607843","107","0","5","0.84432133","false","0","ENSMUSG00000046179","30146","0.07284979"
"135548","3","2.06371191","5.892E-5","0.48456376","0.57575758","12","3","false","ENSMUSG00000022844","114.33333333","12","0","0","0.78725762","false","0","ENSMUSG00000022844","928","0.35071575"
"138114","3","2.27700831","4.339E-5","0.43917275","0.66666667","6","3","false","ENSMUSG00000022351","79.16666667","6","0","0","0.74459834","false","0","ENSMUSG00000022351","454","0.31045752"
"135551","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000027931","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000027931","208","0.51698606"
"135557","3","2.04709141","1.896E-5","0.48849797","0.64285714","8","3","false","ENSMUSG00000026003","159.75","8","0","0","0.79058172","false","0","ENSMUSG00000026003","266","0.47544643"
"136070","3","2.03878116","9.973E-5","0.49048913","0.46666667","10","3","false","ENSMUSG00000054435","136.6","10","0","0","0.79224377","false","0","ENSMUSG00000054435","1262","0.40534125"
"136582","3","2.31855956","4.0E-6","0.43130227","0.73333333","6","4","false","ENSMUSG00000087006","90.33333333","6","0","0","0.73628809","false","0","ENSMUSG00000087006","36","0.37327824"
"137603","3","2.04432133","3.151E-5","0.48915989","0.75757576","12","3","false","ENSMUSG00000010797","111.0","12","0","0","0.79113573","false","0","ENSMUSG00000010797","290","0.33333333"
"137092","3","2.1966759","4.72E-6","0.45523329","0.5","4","4","false","ENSMUSG00000006369","120.5","4","0","0","0.76066482","false","0","ENSMUSG00000006369","52","0.42045455"
"135561","3","1.92797784","0.01633738","0.51867816","0.12654321","87","3","false","ENSMUSG00000073197","21.58024691","87","0","6","0.81440443","false","0","ENSMUSG00000073197","17472","0.07071443"
"135562","3","2.25484765","2.389E-5","0.44348894","0.66666667","7","4","false","ENSMUSG00000022156","86.28571429","7","0","0","0.74903047","false","0","ENSMUSG00000022156","142","0.32683983"
"141709","3","2.17174515","1.749E-5","0.46045918","0.80952381","7","4","false","ENSMUSG00000057092","115.71428571","7","0","0","0.76565097","false","0","ENSMUSG00000057092","302","0.39358601"
"136078","3","2.02493075","1.474E-5","0.49384405","0.71428571","8","3","false","ENSMUSG00000036580","163.625","8","0","0","0.79501385","false","0","ENSMUSG00000036580","262","0.47565407"
"135566","3","2.06094183","2.186E-5","0.48521505","0.60714286","8","3","false","ENSMUSG00000028970","160.375","8","0","0","0.78781163","false","0","ENSMUSG00000028970","362","0.48451662"
"137612","3","2.07479224","4.277E-5","0.48197597","0.62121212","12","3","false","ENSMUSG00000057440","106.83333333","12","0","0","0.78504155","false","0","ENSMUSG00000057440","590","0.33178054"
"135569","3","1.966759","0.00955248","0.5084507","0.15","42","4","false","ENSMUSG00000026037","24.15","42","0","2","0.8066482","false","0","ENSMUSG00000026037","10876","0.07244745"
"135570","3","2.30747922","4.0E-6","0.43337335","0.80952381","7","4","false","ENSMUSG00000040284","92.42857143","7","0","0","0.73850416","false","0","ENSMUSG00000040284","36","0.37725948"
"137107","3","2.03878116","1.0209E-4","0.49048913","0.63636364","11","3","false","ENSMUSG00000060181","134.18181818","11","0","0","0.79224377","false","0","ENSMUSG00000060181","1108","0.39935065"
"136084","3","2.05263158","3.513E-5","0.48717949","0.6952381","15","4","false","ENSMUSG00000033585","124.13333333","15","0","0","0.78947368","false","0","ENSMUSG00000033585","404","0.37730496"
"138132","3","2.22160665","5.02E-6","0.45012469","0.66666667","7","4","false","ENSMUSG00000028601","144.42857143","7","0","0","0.75567867","false","0","ENSMUSG00000028601","44","0.52140278"
"135575","3","2.01939058","2.532E-5","0.4951989","0.5","9","3","false","ENSMUSG00000026478","152.77777778","9","0","0","0.79612188","false","0","ENSMUSG00000026478","388","0.44283414"
"136091","3","2.09141274","1.58E-4","0.4781457","0.63888889","9","3","false","ENSMUSG00000020818","85.22222222","9","0","0","0.78171745","false","0","ENSMUSG00000020818","1078","0.2671543"
"136604","3","2.03601108","4.262E-5","0.49115646","0.59090909","12","3","false","ENSMUSG00000057170","111.08333333","12","0","0","0.79279778","false","0","ENSMUSG00000057170","652","0.33060516"
"136097","3","2.07202216","2.558E-5","0.48262032","0.73076923","13","4","false","ENSMUSG00000078202","127.15384615","13","0","0","0.78559557","false","0","ENSMUSG00000078202","300","0.39245014"
"139680","3","2.77562327","0.0","0.36027944","1.0","2","4","false","ENSMUSG00000040818","60.5","2","0","0","0.64487535","false","0","ENSMUSG00000040818","0","0.66483516"
"135590","3","2.02770083","1.586E-5","0.4931694","0.57142857","8","3","false","ENSMUSG00000035085","162.75","8","0","0","0.79445983","false","0","ENSMUSG00000035085","264","0.4744898"
"136106","3","2.10803324","5.318E-5","0.47437582","0.67857143","8","3","false","ENSMUSG00000036599","113.75","8","0","0","0.77839335","false","0","ENSMUSG00000036599","408","0.36226115"
"135592","3","1.9833795","1.2253E-4","0.50418994","0.58241758","14","3","false","ENSMUSG00000039461","133.5","14","0","0","0.8033241","false","0","ENSMUSG00000039461","1700","0.37818697"
"140717","3","2.25207756","0.0","0.44403444","1.0","4","4","false","ENSMUSG00000055912","157.75","4","0","0","0.74958449","false","0","ENSMUSG00000055912","0","0.58643123"
"137134","3","2.1966759","4.72E-6","0.45523329","0.5","4","4","false","ENSMUSG00000027654","120.5","4","0","0","0.76066482","false","0","ENSMUSG00000027654","52","0.42045455"
"136110","3","1.96952909","2.0626E-4","0.50773558","0.51470588","17","3","false","ENSMUSG00000035232","112.29411765","17","0","0","0.80609418","false","0","ENSMUSG00000035232","2166","0.31632146"
"135596","3","2.24930748","1.531E-5","0.44458128","0.77777778","9","4","false","ENSMUSG00000023926","92.11111111","9","0","0","0.7501385","false","0","ENSMUSG00000023926","134","0.34890572"
"135599","3","2.04432133","2.7683E-4","0.48915989","0.62222222","10","3","false","ENSMUSG00000027805","86.1","10","0","0","0.79113573","false","0","ENSMUSG00000027805","1544","0.25701493"
"137653","3","2.08587258","1.931E-5","0.47941567","0.79487179","13","4","false","ENSMUSG00000043154","128.76923077","13","0","0","0.78282548","false","0","ENSMUSG00000043154","242","0.4036653"
