regulatoryGene	targetGene	weight
ENSMUSG00000027230	ENSMUSG00000078517	0.0948154841729413
ENSMUSG00000042750	ENSMUSG00000022914	0.0912476264407302
ENSMUSG00000042750	ENSMUSG00000040681	0.0814362118340833
ENSMUSG00000031134	ENSMUSG00000024308	0.0776153513829524
ENSMUSG00000027230	ENSMUSG00000058407	0.076545100800439
ENSMUSG00000015522	ENSMUSG00000035799	0.0753266145236512
ENSMUSG00000027230	ENSMUSG00000059005	0.0751863211416738
ENSMUSG00000015217	ENSMUSG00000006673	0.0750772108336773
ENSMUSG00000027230	ENSMUSG00000019338	0.075034693459428
ENSMUSG00000031134	ENSMUSG00000022841	0.0747094455936283
ENSMUSG00000042750	ENSMUSG00000006673	0.073928764562996
ENSMUSG00000024369	ENSMUSG00000024827	0.0736207604322996
ENSMUSG00000015217	ENSMUSG00000058407	0.0733034827371381
ENSMUSG00000027230	ENSMUSG00000025856	0.0726003535325455
ENSMUSG00000056758	ENSMUSG00000035799	0.07198394410572
ENSMUSG00000042750	ENSMUSG00000035478	0.0718508944060318
ENSMUSG00000027230	ENSMUSG00000015749	0.0717699907691419
ENSMUSG00000042750	ENSMUSG00000025856	0.0712318287147809
ENSMUSG00000031134	ENSMUSG00000034525	0.0712034084113865
ENSMUSG00000015217	ENSMUSG00000019338	0.0708568960804699
ENSMUSG00000022178	ENSMUSG00000020986	0.0707170626267071
ENSMUSG00000027230	ENSMUSG00000004937	0.070534869923526
ENSMUSG00000015217	ENSMUSG00000022914	0.0698413740990694
ENSMUSG00000007415	ENSMUSG00000037351	0.0698204179411581
ENSMUSG00000027230	ENSMUSG00000040681	0.0696497144877006
ENSMUSG00000042750	ENSMUSG00000025173	0.0693029594717237
ENSMUSG00000027230	ENSMUSG00000016619	0.0685936425513822
ENSMUSG00000061887	ENSMUSG00000037058	0.0676789164464714
ENSMUSG00000027230	ENSMUSG00000022914	0.0672271377803392
ENSMUSG00000042750	ENSMUSG00000059005	0.0671490561272274
ENSMUSG00000027230	ENSMUSG00000024045	0.0671015425637744
ENSMUSG00000042750	ENSMUSG00000059208	0.0667768433989795
ENSMUSG00000024369	ENSMUSG00000007872	0.0666773520614137
ENSMUSG00000015217	ENSMUSG00000005687	0.0663182766760409
ENSMUSG00000022961	ENSMUSG00000025856	0.0662025401978911
ENSMUSG00000015217	ENSMUSG00000033499	0.0660813776911078
ENSMUSG00000015217	ENSMUSG00000025856	0.0658889089302018
ENSMUSG00000015217	ENSMUSG00000016619	0.0658311010815996
ENSMUSG00000029994	ENSMUSG00000042557	0.0652040918865182
ENSMUSG00000022961	ENSMUSG00000035799	0.0647144270776958
ENSMUSG00000015217	ENSMUSG00000059208	0.0646330196968746
ENSMUSG00000041215	ENSMUSG00000024098	0.0645817551277435
ENSMUSG00000027230	ENSMUSG00000066357	0.0641234430549077
ENSMUSG00000042750	ENSMUSG00000016619	0.0640513750700438
ENSMUSG00000015217	ENSMUSG00000035575	0.0638289177202747
ENSMUSG00000027230	ENSMUSG00000066900	0.0636990014579441
ENSMUSG00000015217	ENSMUSG00000066735	0.0635895954688679
ENSMUSG00000022961	ENSMUSG00000022914	0.0627460798559488
ENSMUSG00000042557	ENSMUSG00000052593	0.0626061825678741
ENSMUSG00000031161	ENSMUSG00000035799	0.0624414733372264
ENSMUSG00000027230	ENSMUSG00000036580	0.0624112544287038
ENSMUSG00000015522	ENSMUSG00000013787	0.062360908475477
ENSMUSG00000090083	ENSMUSG00000037351	0.0623466926820932
ENSMUSG00000042750	ENSMUSG00000009291	0.062320131465209
ENSMUSG00000015217	ENSMUSG00000003731	0.0623037922349056
ENSMUSG00000015217	ENSMUSG00000078517	0.0622043618877505
ENSMUSG00000031134	ENSMUSG00000028763	0.0620710115426749
ENSMUSG00000038615	ENSMUSG00000015165	0.0620043889574681
ENSMUSG00000042750	ENSMUSG00000033499	0.0614805009682664
ENSMUSG00000027230	ENSMUSG00000027423	0.0613613022154179
ENSMUSG00000028890	ENSMUSG00000047844	0.0612267303065853
ENSMUSG00000015217	ENSMUSG00000027423	0.0609728230823658
ENSMUSG00000015522	ENSMUSG00000023832	0.0608287492779386
ENSMUSG00000042750	ENSMUSG00000053436	0.0607762006192174
ENSMUSG00000031161	ENSMUSG00000067276	0.0607178560238449
ENSMUSG00000015217	ENSMUSG00000024045	0.0606756299038885
ENSMUSG00000036940	ENSMUSG00000037058	0.0605416429521782
ENSMUSG00000022961	ENSMUSG00000025173	0.0603400209616045
ENSMUSG00000022961	ENSMUSG00000019338	0.0602154459561271
ENSMUSG00000035873	ENSMUSG00000024827	0.060184903848991
ENSMUSG00000060373	ENSMUSG00000052593	0.060174176894235
ENSMUSG00000031134	ENSMUSG00000025780	0.0599713749592679
