"SUID","automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"15289","0.053","0.062","0.903","0.9","316.31616661","0.0","0","0.0","interacts with","Cttn (interacts with) Igf2r","0","10090.ENSMUSP00000099368","10090.ENSMUSP00000024599","0","false","interacts with","Cttn (interacts with) Igf2r"
"15288","0.701","0.0","0.701","0.0","411.56738817","0.0","0","0.0","interacts with","Cttn (interacts with) Nexn","0","10090.ENSMUSP00000099368","10090.ENSMUSP00000037120","0","false","interacts with","Cttn (interacts with) Nexn"
"12658","0.592","0.0","0.617","0.0","374.0","0.1","0","0.0","interacts with","Hes7 (interacts with) Rbpj","0","10090.ENSMUSP00000024543","10090.ENSMUSP00000040694","0","false","interacts with","Hes7 (interacts with) Rbpj"
"15286","0.359","0.061","0.699","0.0","441.81056832","0.541","0","0.0","interacts with","Cttn (interacts with) Mapk1","0","10090.ENSMUSP00000099368","10090.ENSMUSP00000065983","0","false","interacts with","Cttn (interacts with) Mapk1"
"12657","0.765","0.0","0.977","0.9","374.0","0.1","0","0.0","interacts with","Hey2 (interacts with) Rbpj","0","10090.ENSMUSP00000019924","10090.ENSMUSP00000040694","0","false","interacts with","Hey2 (interacts with) Rbpj"
"15285","0.122","0.0","0.908","0.9","80.9281506","0.0","0","0.0","interacts with","Cttn (interacts with) Dab2","0","10090.ENSMUSP00000099368","10090.ENSMUSP00000079689","0","false","interacts with","Cttn (interacts with) Dab2"
"15284","0.738","0.0","0.976","0.9","247.6497114","0.159","0","0.0","interacts with","Cttn (interacts with) Sh3pxd2a","0","10090.ENSMUSP00000099368","10090.ENSMUSP00000080325","0","false","interacts with","Cttn (interacts with) Sh3pxd2a"
"15283","0.559","0.0","0.559","0.0","374.0","0.0","0","0.0","interacts with","Cttn (interacts with) Ssh1","0","10090.ENSMUSP00000099368","10090.ENSMUSP00000124312","0","false","interacts with","Cttn (interacts with) Ssh1"
"15281","0.126","0.062","0.91","0.9","84.39157911","0.0","0","0.0","interacts with","Cttn (interacts with) Stam2","0","10090.ENSMUSP00000099368","10090.ENSMUSP00000099820","0","false","interacts with","Cttn (interacts with) Stam2"
"15280","0.373","0.0","0.934","0.9","77.52437542","0.0","0","0.0","interacts with","Cttn (interacts with) Pacsin2","0","10090.ENSMUSP00000099368","10090.ENSMUSP00000130098","0","false","interacts with","Cttn (interacts with) Pacsin2"
"15560","0.593","0.061","0.601","0.0","135.10583568","0.0","0","0.0","interacts with","Hmgcs1 (interacts with) Srebf1","0","10090.ENSMUSP00000136944","10090.ENSMUSP00000020846","0","false","interacts with","Hmgcs1 (interacts with) Srebf1"
"12542","0.819","0.0","0.819","0.0","744.0","0.0","0","0.0","interacts with","Ppp1r14a (interacts with) Rock2","0","10090.ENSMUSP00000035642","10090.ENSMUSP00000020904","0","false","interacts with","Ppp1r14a (interacts with) Rock2"
"15557","0.541","0.078","0.559","0.0","69.01730657","0.0","0","0.0","interacts with","Hmgcs1 (interacts with) Scd1","0","10090.ENSMUSP00000136944","10090.ENSMUSP00000036936","0","false","interacts with","Hmgcs1 (interacts with) Scd1"
"15510","0.066","0.06","0.92","0.9","234.08057797","0.205","0","0.0","interacts with","Hmha1 (interacts with) Mapk1","0","10090.ENSMUSP00000097100","10090.ENSMUSP00000065983","0","false","interacts with","Hmha1 (interacts with) Mapk1"
"14027","0.305","0.466","0.776","0.0","283.53831169","0.447","0","0.0","interacts with","Ankrd40 (interacts with) Sec23a","0","10090.ENSMUSP00000103448","10090.ENSMUSP00000021375","0","false","interacts with","Ankrd40 (interacts with) Sec23a"
"14026","0.625","0.0","0.625","0.0","176.39978355","0.0","0","0.0","interacts with","Ankrd40 (interacts with) Supt20","0","10090.ENSMUSP00000103448","10090.ENSMUSP00000131454","0","false","interacts with","Ankrd40 (interacts with) Supt20"
"15204","0.0","0.0","0.9","0.9","10.62142857","0.0","0","0.0","interacts with","Ano6 (interacts with) Mospd2","0","10090.ENSMUSP00000071770","10090.ENSMUSP00000004715","0","false","interacts with","Ano6 (interacts with) Mospd2"
