"SUID","automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"5132","0.779","0.049","0.781","0.0","616.46504094","0.0","0","0.0","interacts with","Slc26a4 (interacts with) Slc4a4","0","10090.ENSMUSP00000001253","10090.ENSMUSP00000121744","0","false","interacts with","Slc26a4 (interacts with) Slc4a4"
"11684","0.751","0.06","0.756","0.0","414.0","0.0","0","0.0","interacts with","Aacs (interacts with) Unc119","0","10090.ENSMUSP00000031445","10090.ENSMUSP00000002127","0","false","interacts with","Aacs (interacts with) Unc119"
"4695","0.552","0.0","0.552","0.0","644.63287362","0.0","0","0.0","interacts with","Slc26a7 (interacts with) Slc4a1","0","10090.ENSMUSP00000041789","10090.ENSMUSP00000006749","0","false","interacts with","Slc26a7 (interacts with) Slc4a1"
"11683","0.282","0.427","0.571","0.0","572.50467093","0.0","0","0.0","interacts with","Aacs (interacts with) Sqle","0","10090.ENSMUSP00000031445","10090.ENSMUSP00000022977","0","false","interacts with","Aacs (interacts with) Sqle"
"4694","0.557","0.0","0.557","0.0","141.95959953","0.0","0","0.0","interacts with","Slc26a7 (interacts with) Slc4a4","0","10090.ENSMUSP00000041789","10090.ENSMUSP00000121744","0","false","interacts with","Slc26a7 (interacts with) Slc4a4"
"4693","0.605","0.0","0.917","0.8","157.37387854","0.0","0","0.0","interacts with","Slc26a7 (interacts with) Slc4a2","0","10090.ENSMUSP00000041789","10090.ENSMUSP00000078972","0","false","interacts with","Slc26a7 (interacts with) Slc4a2"
"9410","0.109","0.053","0.915","0.9","47.35238177","0.119","0","0.0","interacts with","Slc2a5 (interacts with) Stom","0","10090.ENSMUSP00000030826","10090.ENSMUSP00000028241","0","false","interacts with","Slc2a5 (interacts with) Stom"
"5053","0.706","0.0","0.706","0.0","73.59684806","0.0","0","0.0","interacts with","Slc39a14 (interacts with) Slc40a1","0","10090.ENSMUSP00000066108","10090.ENSMUSP00000027137","0","false","interacts with","Slc39a14 (interacts with) Slc40a1"
"11679","0.397","0.628","0.766","0.0","251.49532907","0.0","0","0.0","interacts with","Aacs (interacts with) Lss","0","10090.ENSMUSP00000031445","10090.ENSMUSP00000046856","0","false","interacts with","Aacs (interacts with) Lss"
"5052","0.697","0.061","0.704","0.0","94.18454801","0.0","0","0.0","interacts with","Slc39a14 (interacts with) Steap3","0","10090.ENSMUSP00000066108","10090.ENSMUSP00000108260","0","false","interacts with","Slc39a14 (interacts with) Steap3"
