transcripts mean_cts_scaled time value ens_gene ext_gene
10 ENSMUST00000000033.11 -1.17882350775827 e7.5 2 ENSMUSG00000048583 Igf2
11 ENSMUST00000000033.11 0.192271405794576 e8.5 2 ENSMUSG00000048583 Igf2
12 ENSMUST00000000033.11 0.948097820804785 e9.5 2 ENSMUSG00000048583 Igf2
13 ENSMUST00000000058.6 -0.676583623383145 e7.5 2 ENSMUSG00000000058 Cav2
14 ENSMUST00000000058.6 -0.507869902290344 e8.5 2 ENSMUSG00000000058 Cav2
15 ENSMUST00000000058.6 1.28602750613156 e9.5 2 ENSMUSG00000000058 Cav2
22 ENSMUST00000000094.13 -0.529485612415054 e7.5 2 ENSMUSG00000061689 Dlgap4
23 ENSMUST00000000094.13 -0.310616786591646 e8.5 2 ENSMUSG00000061689 Dlgap4
24 ENSMUST00000000094.13 0.902225756325028 e9.5 2 ENSMUSG00000061689 Dlgap4
25 ENSMUST00000000095.6 -1.11288599100327 e7.5 2 ENSMUSG00000000093 Tbx2
26 ENSMUST00000000095.6 -0.0439648116344768 e8.5 2 ENSMUSG00000000093 Tbx2
27 ENSMUST00000000095.6 1.16564376496465 e9.5 2 ENSMUSG00000000093 Tbx2
28 ENSMUST00000000096.11 -1.08168837348397 e7.5 2 ENSMUSG00000000094 Tbx4
29 ENSMUST00000000096.11 0.33022320493437 e8.5 2 ENSMUSG00000000094 Tbx4
30 ENSMUST00000000096.11 0.685420527562721 e9.5 2 ENSMUSG00000000094 Tbx4
31 ENSMUST00000000122.6 -1.21121955691173 e7.5 2 ENSMUSG00000000120 Ngfr
32 ENSMUST00000000122.6 0.676673788325882 e8.5 2 ENSMUSG00000000120 Ngfr
33 ENSMUST00000000122.6 0.399211010920676 e9.5 2 ENSMUSG00000000120 Ngfr
34 ENSMUST00000000127.5 -0.835228550618652 e7.5 2 ENSMUSG00000000125 Wnt3
35 ENSMUST00000000127.5 -0.392031264029319 e8.5 2 ENSMUSG00000000125 Wnt3
36 ENSMUST00000000127.5 1.30566606745383 e9.5 2 ENSMUSG00000000125 Wnt3
43 ENSMUST00000000153.8 -0.945542212438812 e7.5 2 ENSMUSG00000000149 Gna12
44 ENSMUST00000000153.8 -0.242046540639601 e8.5 2 ENSMUSG00000000149 Gna12
45 ENSMUST00000000153.8 1.23599806120633 e9.5 2 ENSMUSG00000000149 Gna12
49 ENSMUST00000000175.5 -0.694708449311221 e7.5 2 ENSMUSG00000000171 Sdhd
50 ENSMUST00000000175.5 0.0221812468884445 e8.5 2 ENSMUSG00000000171 Sdhd
51 ENSMUST00000000175.5 0.668090953045089 e9.5 2 ENSMUSG00000000171 Sdhd
