regulatoryGene	targetGene	weight
ENSMUSG00000006715	ENSMUSG00000056071	0.0964912109675582
ENSMUSG00000022255	ENSMUSG00000056071	0.0937034057585697
ENSMUSG00000063972	ENSMUSG00000056071	0.0881276449359972
ENSMUSG00000031987	ENSMUSG00000073940	0.0855275103126086
ENSMUSG00000031565	ENSMUSG00000025967	0.0853936122561474
ENSMUSG00000031565	ENSMUSG00000078795	0.0844696179169302
ENSMUSG00000006715	ENSMUSG00000027398	0.0834428878764998
ENSMUSG00000006715	ENSMUSG00000006490	0.0832966396951791
ENSMUSG00000042354	ENSMUSG00000026981	0.0823446510214074
ENSMUSG00000079658	ENSMUSG00000027398	0.0819792106606979
ENSMUSG00000054766	ENSMUSG00000056071	0.0818393588022229
ENSMUSG00000031565	ENSMUSG00000063952	0.0808347783197868
ENSMUSG00000031565	ENSMUSG00000052305	0.0808254243543398
ENSMUSG00000031565	ENSMUSG00000042306	0.0807844828724579
ENSMUSG00000042354	ENSMUSG00000033213	0.0806152049243156
ENSMUSG00000056071	ENSMUSG00000027398	0.0802487241948903
ENSMUSG00000042354	ENSMUSG00000056071	0.0793853057960838
ENSMUSG00000031565	ENSMUSG00000020701	0.0788297514738632
ENSMUSG00000031565	ENSMUSG00000040296	0.0778646716649336
ENSMUSG00000031565	ENSMUSG00000114635	0.0769974835063682
ENSMUSG00000079658	ENSMUSG00000056071	0.0768236173232917
ENSMUSG00000054766	ENSMUSG00000027398	0.0756880212479213
ENSMUSG00000027186	ENSMUSG00000073940	0.0732572359989141
ENSMUSG00000031939	ENSMUSG00000056071	0.0721838486283155
ENSMUSG00000063972	ENSMUSG00000025467	0.0721353314498485
ENSMUSG00000056071	ENSMUSG00000073412	0.0718648351079303
ENSMUSG00000031939	ENSMUSG00000027398	0.071788202881898
ENSMUSG00000022255	ENSMUSG00000020077	0.0713433249214171
ENSMUSG00000063972	ENSMUSG00000040658	0.0710313475096009
ENSMUSG00000020923	ENSMUSG00000025467	0.0710306962722916
ENSMUSG00000031565	ENSMUSG00000032363	0.0709050952993629
ENSMUSG00000063972	ENSMUSG00000027398	0.0707649479304295
ENSMUSG00000031939	ENSMUSG00000074896	0.069906740525475
ENSMUSG00000031939	ENSMUSG00000026981	0.069512824661836
ENSMUSG00000042354	ENSMUSG00000006490	0.0690597977315928
ENSMUSG00000063972	ENSMUSG00000026981	0.0689719202262087
ENSMUSG00000056071	ENSMUSG00000051439	0.0688010555698268
ENSMUSG00000031565	ENSMUSG00000060036	0.0687582127785158
ENSMUSG00000054766	ENSMUSG00000051439	0.0685604053306806
ENSMUSG00000022255	ENSMUSG00000051439	0.0684335875215533
ENSMUSG00000038437	ENSMUSG00000025467	0.0682068141166255
ENSMUSG00000042354	ENSMUSG00000042993	0.0681433378103219
ENSMUSG00000031565	ENSMUSG00000090733	0.0676484780925523
ENSMUSG00000063972	ENSMUSG00000028010	0.0671939885821455
ENSMUSG00000006715	ENSMUSG00000026981	0.0669122154036917
ENSMUSG00000054766	ENSMUSG00000073412	0.0665004321423191
ENSMUSG00000063972	ENSMUSG00000018259	0.065480191517318
ENSMUSG00000006715	ENSMUSG00000033213	0.0653053399169728
ENSMUSG00000048897	ENSMUSG00000018259	0.0647329096574707
ENSMUSG00000006715	ENSMUSG00000020077	0.0646670059929001
ENSMUSG00000006715	ENSMUSG00000051439	0.0638280673839823
ENSMUSG00000056071	ENSMUSG00000026981	0.0636786972334592
ENSMUSG00000042354	ENSMUSG00000027398	0.0636558629201373
ENSMUSG00000006715	ENSMUSG00000074896	0.0632810929458895
ENSMUSG00000063972	ENSMUSG00000020077	0.0632782658509405
ENSMUSG00000031939	ENSMUSG00000073412	0.0631870450447241
ENSMUSG00000063972	ENSMUSG00000003161	0.0629772997477401
ENSMUSG00000022831	ENSMUSG00000042993	0.0628785131057983
ENSMUSG00000021025	ENSMUSG00000031565	0.0625778269915892
ENSMUSG00000054766	ENSMUSG00000020077	0.0618546996886378
ENSMUSG00000022255	ENSMUSG00000027398	0.0617837932417251
ENSMUSG00000054766	ENSMUSG00000030157	0.0615349227784272
ENSMUSG00000031939	ENSMUSG00000051439	0.0610627337889267
ENSMUSG00000022255	ENSMUSG00000073412	0.0606371980794666
ENSMUSG00000063972	ENSMUSG00000030157	0.0605621360526542
ENSMUSG00000079658	ENSMUSG00000030157	0.0603864707066652
ENSMUSG00000006715	ENSMUSG00000030157	0.0602369039780471
ENSMUSG00000042354	ENSMUSG00000030157	0.0600419762186884
ENSMUSG00000079658	ENSMUSG00000051439	0.0594618847620873
