regulatoryGene	targetGene	weight
ENSMUSG00000031565	ENSMUSG00000025967	0.107254834792729
ENSMUSG00000006715	ENSMUSG00000056071	0.0929982163057268
ENSMUSG00000031565	ENSMUSG00000114635	0.0915869448190097
ENSMUSG00000042354	ENSMUSG00000026981	0.0879881542728243
ENSMUSG00000031565	ENSMUSG00000078795	0.0868673072545999
ENSMUSG00000031565	ENSMUSG00000042306	0.0834935315856241
ENSMUSG00000079658	ENSMUSG00000027398	0.0824482624424141
ENSMUSG00000056071	ENSMUSG00000027398	0.0820174485740608
ENSMUSG00000054766	ENSMUSG00000056071	0.0811956875613212
ENSMUSG00000063972	ENSMUSG00000051439	0.0791846357905202
ENSMUSG00000031565	ENSMUSG00000020701	0.0787027321866438
ENSMUSG00000079658	ENSMUSG00000056071	0.0772489717993207
ENSMUSG00000031939	ENSMUSG00000027398	0.0765631331445525
ENSMUSG00000063972	ENSMUSG00000027398	0.0757481934749229
ENSMUSG00000006715	ENSMUSG00000006490	0.0757052969891866
ENSMUSG00000042354	ENSMUSG00000056071	0.075477838349589
ENSMUSG00000054766	ENSMUSG00000027398	0.0748931290730271
ENSMUSG00000031565	ENSMUSG00000040296	0.0746371420923633
ENSMUSG00000022255	ENSMUSG00000056071	0.07446605458747
ENSMUSG00000063972	ENSMUSG00000025467	0.0741886673319278
ENSMUSG00000038437	ENSMUSG00000025467	0.0724557251095041
ENSMUSG00000063972	ENSMUSG00000056071	0.0717801162196721
ENSMUSG00000022255	ENSMUSG00000020077	0.0713585014463844
ENSMUSG00000042354	ENSMUSG00000033213	0.0712799371726942
ENSMUSG00000038437	ENSMUSG00000040658	0.0708488253765732
ENSMUSG00000031939	ENSMUSG00000051439	0.0706555136785446
ENSMUSG00000001156	ENSMUSG00000060036	0.0705621650951957
ENSMUSG00000056071	ENSMUSG00000051439	0.0702670614521824
ENSMUSG00000031565	ENSMUSG00000090733	0.0700325477283472
ENSMUSG00000031565	ENSMUSG00000032363	0.0698135714585478
ENSMUSG00000006715	ENSMUSG00000020077	0.0692982954994076
ENSMUSG00000020923	ENSMUSG00000025467	0.0688638825942893
ENSMUSG00000031939	ENSMUSG00000056071	0.0687595644079289
ENSMUSG00000063972	ENSMUSG00000028010	0.0683522069441784
ENSMUSG00000042354	ENSMUSG00000027398	0.0683216827933274
ENSMUSG00000048897	ENSMUSG00000018259	0.0682360057328245
ENSMUSG00000031565	ENSMUSG00000052305	0.0681161360644933
ENSMUSG00000031565	ENSMUSG00000063952	0.0671884475593674
ENSMUSG00000054766	ENSMUSG00000030157	0.0671808257188063
ENSMUSG00000006715	ENSMUSG00000074896	0.0667901483486572
ENSMUSG00000027186	ENSMUSG00000073940	0.0664123906752578
ENSMUSG00000020923	ENSMUSG00000040658	0.0660722875140461
ENSMUSG00000022255	ENSMUSG00000030157	0.0657311574579142
ENSMUSG00000022831	ENSMUSG00000042993	0.0646948431818452
