"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","weight"
"144005","35.92373337","interacts with","ENSMUSG00000074102 (interacts with) ENSMUSG00000053192","false","interacts with","ENSMUSG00000074102 (interacts with) ENSMUSG00000053192","0.0201223664344269"
"135811","163.98299377","interacts with","ENSMUSG00000034205 (interacts with) ENSMUSG00000002249","false","interacts with","ENSMUSG00000034205 (interacts with) ENSMUSG00000002249","0.0424183579835297"
"152201","90.14055533","interacts with","ENSMUSG00000043059 (interacts with) ENSMUSG00000025239","false","interacts with","ENSMUSG00000043059 (interacts with) ENSMUSG00000025239","0.0153001585793796"
"135821","242.64157093","interacts with","ENSMUSG00000034205 (interacts with) ENSMUSG00000007812","false","interacts with","ENSMUSG00000034205 (interacts with) ENSMUSG00000007812","0.0422580956047601"
"144014","54.08082154","interacts with","ENSMUSG00000024515 (interacts with) ENSMUSG00000034258","false","interacts with","ENSMUSG00000024515 (interacts with) ENSMUSG00000034258","0.0201149911246879"
"144011","43.74448676","interacts with","ENSMUSG00000015839 (interacts with) ENSMUSG00000034868","false","interacts with","ENSMUSG00000015839 (interacts with) ENSMUSG00000034868","0.0201170922316749"
"152203","120.25258997","interacts with","ENSMUSG00000048878 (interacts with) ENSMUSG00000021947","false","interacts with","ENSMUSG00000048878 (interacts with) ENSMUSG00000021947","0.0152998056240823"
"152213","49.40476735","interacts with","ENSMUSG00000006200 (interacts with) ENSMUSG00000025495","false","interacts with","ENSMUSG00000006200 (interacts with) ENSMUSG00000025495","0.0152950401873354"
"152217","159.09047568","interacts with","ENSMUSG00000075595 (interacts with) ENSMUSG00000055320","false","interacts with","ENSMUSG00000075595 (interacts with) ENSMUSG00000055320","0.0152920869118882"
"152221","47.54560477","interacts with","ENSMUSG00000012076 (interacts with) ENSMUSG00000010080","false","interacts with","ENSMUSG00000012076 (interacts with) ENSMUSG00000010080","0.015288203938496"
"144033","32.78936417","interacts with","ENSMUSG00000025239 (interacts with) ENSMUSG00000020393","false","interacts with","ENSMUSG00000025239 (interacts with) ENSMUSG00000020393","0.0201010082485388"
"152226","62.47861584","interacts with","ENSMUSG00000042812 (interacts with) ENSMUSG00000033685","false","interacts with","ENSMUSG00000042812 (interacts with) ENSMUSG00000033685","0.0152867585696246"
"144031","41.57271755","interacts with","ENSMUSG00000034673 (interacts with) ENSMUSG00000031586","false","interacts with","ENSMUSG00000034673 (interacts with) ENSMUSG00000031586","0.0201029026025849"
"152224","151.71587769","interacts with","ENSMUSG00000042812 (interacts with) ENSMUSG00000027602","false","interacts with","ENSMUSG00000042812 (interacts with) ENSMUSG00000027602","0.0152871427807164"
