"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","weight"
"114673","138.35665098","interacts with","ENSMUSG00000032113 (interacts with) ENSMUSG00000042029","false","interacts with","ENSMUSG00000032113 (interacts with) ENSMUSG00000042029","0.0203602864466702"
"114675","118.60433741","interacts with","ENSMUSG00000056758 (interacts with) ENSMUSG00000015522","false","interacts with","ENSMUSG00000056758 (interacts with) ENSMUSG00000015522","0.0203601733763051"
"110579","28.882415","interacts with","ENSMUSG00000035478 (interacts with) ENSMUSG00000000420","false","interacts with","ENSMUSG00000035478 (interacts with) ENSMUSG00000000420","0.0330043647333194"
"110582","24.19505416","interacts with","ENSMUSG00000026873 (interacts with) ENSMUSG00000035621","false","interacts with","ENSMUSG00000026873 (interacts with) ENSMUSG00000035621","0.0329674493057199"
"114681","22.17068537","interacts with","ENSMUSG00000037169 (interacts with) ENSMUSG00000022962","false","interacts with","ENSMUSG00000037169 (interacts with) ENSMUSG00000022962","0.0203517914243408"
"114684","78.86882576","interacts with","ENSMUSG00000044791 (interacts with) ENSMUSG00000032481","false","interacts with","ENSMUSG00000044791 (interacts with) ENSMUSG00000032481","0.0203487987436228"
"114687","27.84981906","interacts with","ENSMUSG00000040857 (interacts with) ENSMUSG00000007850","false","interacts with","ENSMUSG00000040857 (interacts with) ENSMUSG00000007850","0.0203380650085679"
"110591","37.47301537","interacts with","ENSMUSG00000034042 (interacts with) ENSMUSG00000040029","false","interacts with","ENSMUSG00000034042 (interacts with) ENSMUSG00000040029","0.0329239999591064"
"114690","94.26086049","interacts with","ENSMUSG00000056758 (interacts with) ENSMUSG00000028560","false","interacts with","ENSMUSG00000056758 (interacts with) ENSMUSG00000028560","0.0203349987901212"
"114694","43.95015934","interacts with","ENSMUSG00000026873 (interacts with) ENSMUSG00000000838","false","interacts with","ENSMUSG00000026873 (interacts with) ENSMUSG00000000838","0.0203257482899844"
"110600","135.28327747","interacts with","ENSMUSG00000027478 (interacts with) ENSMUSG00000029174","false","interacts with","ENSMUSG00000027478 (interacts with) ENSMUSG00000029174","0.0328590829778332"
"114698","50.72728352","interacts with","ENSMUSG00000035478 (interacts with) ENSMUSG00000032607","false","interacts with","ENSMUSG00000035478 (interacts with) ENSMUSG00000032607","0.0203229039139407"
"110601","69.42336861","interacts with","ENSMUSG00000001472 (interacts with) ENSMUSG00000029405","false","interacts with","ENSMUSG00000001472 (interacts with) ENSMUSG00000029405","0.0328588827499572"
"114700","39.0712207","interacts with","ENSMUSG00000057113 (interacts with) ENSMUSG00000038909","false","interacts with","ENSMUSG00000057113 (interacts with) ENSMUSG00000038909","0.0203186466431747"
"114704","76.02260094","interacts with","ENSMUSG00000072889 (interacts with) ENSMUSG00000020840","false","interacts with","ENSMUSG00000072889 (interacts with) ENSMUSG00000020840","0.0203164133924596"
"114706","24.94708862","interacts with","ENSMUSG00000035478 (interacts with) ENSMUSG00000007415","false","interacts with","ENSMUSG00000035478 (interacts with) ENSMUSG00000007415","0.0203153506548226"
"114710","54.6016792","interacts with","ENSMUSG00000026605 (interacts with) ENSMUSG00000093930","false","interacts with","ENSMUSG00000026605 (interacts with) ENSMUSG00000093930","0.0203115133880342"
