"SUID","EdgeBetweenness","interaction","name","regulatoryGene","selected","shared interaction","shared name","weight"
"49137","27.0633333","interacts with","5730507C01Rik (interacts with) Aard","ENSMUSG00000073197","false","interacts with","5730507C01Rik (interacts with) Aard","0.0372910889632441"
"49138","51.80662511","interacts with","Pias3 (interacts with) Ppp1r3g","ENSMUSG00000028101","false","interacts with","Pias3 (interacts with) Ppp1r3g","0.0372875709097808"
"49139","146.15912553","interacts with","Pias1 (interacts with) Rhog","ENSMUSG00000032405","false","interacts with","Pias1 (interacts with) Rhog","0.0372859429951253"
"57332","113.27095828","interacts with","Taf9b (interacts with) Hba-x","ENSMUSG00000047242","false","interacts with","Taf9b (interacts with) Hba-x","0.0225268209703551"
"49140","51.89930901","interacts with","Zfp362 (interacts with) Aard","ENSMUSG00000028799","false","interacts with","Zfp362 (interacts with) Aard","0.0372812430366602"
"49141","47.39853975","interacts with","Ell2 (interacts with) Kazn","ENSMUSG00000001542","false","interacts with","Ell2 (interacts with) Kazn","0.0372788995286934"
"57338","51.80662511","interacts with","Pias3 (interacts with) Wfdc2","ENSMUSG00000028101","false","interacts with","Pias3 (interacts with) Wfdc2","0.0225214350867626"
"49147","12.72816752","interacts with","Mrtfb (interacts with) Nrk","ENSMUSG00000009569","false","interacts with","Mrtfb (interacts with) Nrk","0.0372477366419497"
"57341","22.13163485","interacts with","Ccnd1 (interacts with) Rassf3","ENSMUSG00000070348","false","interacts with","Ccnd1 (interacts with) Rassf3","0.0225169151438274"
"57342","27.86645713","interacts with","Rasd1 (interacts with) Bgn","ENSMUSG00000049892","false","interacts with","Rasd1 (interacts with) Bgn","0.022516899911157"
"49151","117.49102631","interacts with","Klf3 (interacts with) Abhd3","ENSMUSG00000029178","false","interacts with","Klf3 (interacts with) Abhd3","0.0372358043763798"
"65535","22.50301058","interacts with","Taf9b (interacts with) Tle5","ENSMUSG00000047242","false","interacts with","Taf9b (interacts with) Tle5","0.0173903186792132"
"49155","51.84739665","interacts with","Plagl1 (interacts with) Gcnt1","ENSMUSG00000019817","false","interacts with","Plagl1 (interacts with) Gcnt1","0.0372087574279367"
"49156","22.32164899","interacts with","Ets1 (interacts with) Plvap","ENSMUSG00000032035","false","interacts with","Ets1 (interacts with) Plvap","0.0372074402175327"
"49157","25.76053994","interacts with","5730507C01Rik (interacts with) Sptb","ENSMUSG00000073197","false","interacts with","5730507C01Rik (interacts with) Sptb","0.0372067934202853"
"49158","34.0054698","interacts with","Ctdsp1 (interacts with) Eva1b","ENSMUSG00000026176","false","interacts with","Ctdsp1 (interacts with) Eva1b","0.0372043234039266"
"49159","56.96021972","interacts with","BC004004 (interacts with) Trf","ENSMUSG00000052712","false","interacts with","BC004004 (interacts with) Trf","0.0372000326963624"
"49161","103.76647185","interacts with","Trip6 (interacts with) Limk2","ENSMUSG00000023348","false","interacts with","Trip6 (interacts with) Limk2","0.0371916092267788"
"57354","33.65650835","interacts with","Tead2 (interacts with) Slc6a12","ENSMUSG00000030796","false","interacts with","Tead2 (interacts with) Slc6a12","0.0225039634980249"
"49163","31.88979253","interacts with","Tead2 (interacts with) Emcn","ENSMUSG00000030796","false","interacts with","Tead2 (interacts with) Emcn","0.0371845323109054"
"49164","23.58268841","interacts with","Cebpb (interacts with) St14","ENSMUSG00000056501","false","interacts with","Cebpb (interacts with) St14","0.0371722690895629"
"57357","14.5513246","interacts with","Tal1 (interacts with) Pdia5","ENSMUSG00000028717","false","interacts with","Tal1 (interacts with) Pdia5","0.0225021723240023"
"57358","51.98604789","interacts with","Tgfb1 (interacts with) Fadd","ENSMUSG00000002603","false","interacts with","Tgfb1 (interacts with) Fadd","0.022501791104483"
"65555","88.1341955","interacts with","Phf2 (interacts with) Dlk1","ENSMUSG00000038025","false","interacts with","Phf2 (interacts with) Dlk1","0.0173780199140127"
"49173","48.72589374","interacts with","Zfp362 (interacts with) Aplnr","ENSMUSG00000028799","false","interacts with","Zfp362 (interacts with) Aplnr","0.0371271656917617"
"49174","53.98274913","interacts with","Pias3 (interacts with) Mmp14","ENSMUSG00000028101","false","interacts with","Pias3 (interacts with) Mmp14","0.0371127885897113"
"49176","96.59330816","interacts with","Pitx1 (interacts with) Gna12","ENSMUSG00000021506","false","interacts with","Pitx1 (interacts with) Gna12","0.037108864869483"
"49177","21.24891743","interacts with","Ripply1 (interacts with) Cavin3","ENSMUSG00000072945","false","interacts with","Ripply1 (interacts with) Cavin3","0.0370889439547408"
"49181","38.87857641","interacts with","Arhgef5 (interacts with) Fstl1","ENSMUSG00000033542","false","interacts with","Arhgef5 (interacts with) Fstl1","0.0370791521881062"
"49186","124.7416007","interacts with","Zfp362 (interacts with) Fgfrl1","ENSMUSG00000028799","false","interacts with","Zfp362 (interacts with) Fgfrl1","0.0370612772477074"
"49189","117.49102631","interacts with","Klf3 (interacts with) Rragc","ENSMUSG00000029178","false","interacts with","Klf3 (interacts with) Rragc","0.0370411366546464"
"49191","44.98224669","interacts with","Rasd1 (interacts with) Endou","ENSMUSG00000049892","false","interacts with","Rasd1 (interacts with) Endou","0.0370301377130785"
"65576","680.0","interacts with","Ets1 (interacts with) Scly","ENSMUSG00000032035","false","interacts with","Ets1 (interacts with) Scly","0.0173678663361437"
"49192","51.84739665","interacts with","Plagl1 (interacts with) Lama4","ENSMUSG00000019817","false","interacts with","Plagl1 (interacts with) Lama4","0.0370281973695629"
"65578","32.67305063","interacts with","Rasd1 (interacts with) Mpp7","ENSMUSG00000049892","false","interacts with","Rasd1 (interacts with) Mpp7","0.0173671045323975"
"57387","34.12037779","interacts with","Bhlhe40 (interacts with) Ulk1","ENSMUSG00000030103","false","interacts with","Bhlhe40 (interacts with) Ulk1","0.0224740915432609"
"49198","136.11508572","interacts with","Grhl1 (interacts with) Smtn","ENSMUSG00000020656","false","interacts with","Grhl1 (interacts with) Smtn","0.0370058833664124"
"57391","21.97654996","interacts with","Ccnd1 (interacts with) Alas1","ENSMUSG00000070348","false","interacts with","Ccnd1 (interacts with) Alas1","0.0224700276985628"
"49199","121.64576803","interacts with","Ell2 (interacts with) Dmrtc1c2","ENSMUSG00000001542","false","interacts with","Ell2 (interacts with) Dmrtc1c2","0.0370022529793166"
"49200","27.542821","interacts with","Rasd1 (interacts with) 4930402H24Rik","ENSMUSG00000049892","false","interacts with","Rasd1 (interacts with) 4930402H24Rik","0.0369825956328731"
"49202","58.41641164","interacts with","5730507C01Rik (interacts with) Gzmf","ENSMUSG00000073197","false","interacts with","5730507C01Rik (interacts with) Gzmf","0.0369688575277452"
"49203","36.69103228","interacts with","Taf9b (interacts with) Phf2","ENSMUSG00000047242","false","interacts with","Taf9b (interacts with) Phf2","0.0369661667237785"
"49204","94.50640043","interacts with","Klf3 (interacts with) Lum","ENSMUSG00000029178","false","interacts with","Klf3 (interacts with) Lum","0.0369599480921122"
"49206","51.80662511","interacts with","Pias3 (interacts with) Atp5g2","ENSMUSG00000028101","false","interacts with","Pias3 (interacts with) Atp5g2","0.0369553858556769"
"57399","123.45216377","interacts with","Zfp326 (interacts with) Agpat2","ENSMUSG00000029290","false","interacts with","Zfp326 (interacts with) Agpat2","0.0224652014237602"
"49207","51.80662511","interacts with","Pias3 (interacts with) Dkkl1","ENSMUSG00000028101","false","interacts with","Pias3 (interacts with) Dkkl1","0.0369459374639816"
"49209","21.84807473","interacts with","Taf9b (interacts with) Gstz1","ENSMUSG00000047242","false","interacts with","Taf9b (interacts with) Gstz1","0.0369382668809459"
"49212","88.16674883","interacts with","Klf3 (interacts with) Maea","ENSMUSG00000029178","false","interacts with","Klf3 (interacts with) Maea","0.036931380743498"
"49215","38.87857641","interacts with","Arhgef5 (interacts with) Gcgr","ENSMUSG00000033542","false","interacts with","Arhgef5 (interacts with) Gcgr","0.0369230729632924"
"57409","197.25263606","interacts with","Txnip (interacts with) Cbx7","ENSMUSG00000038393","false","interacts with","Txnip (interacts with) Cbx7","0.0224601377843553"
"49217","74.516938","interacts with","Ccnd1 (interacts with) Ell2","ENSMUSG00000070348","false","interacts with","Ccnd1 (interacts with) Ell2","0.0369220381700031"
"49218","51.84739665","interacts with","Plagl1 (interacts with) Gcgr","ENSMUSG00000019817","false","interacts with","Plagl1 (interacts with) Gcgr","0.0369212336934724"
"57411","22.32164899","interacts with","Ets1 (interacts with) Cd59a","ENSMUSG00000032035","false","interacts with","Ets1 (interacts with) Cd59a","0.0224590961497416"
"49219","55.26258276","interacts with","Zfp326 (interacts with) Irs2","ENSMUSG00000029290","false","interacts with","Zfp326 (interacts with) Irs2","0.0369189178129797"
"49220","51.89930901","interacts with","Zfp362 (interacts with) Ptk7","ENSMUSG00000028799","false","interacts with","Zfp362 (interacts with) Ptk7","0.0369162983197135"
"57416","20.85821922","interacts with","Erf (interacts with) Hrc","ENSMUSG00000040857","false","interacts with","Erf (interacts with) Hrc","0.0224543673636832"
"49224","208.2865309","interacts with","Pias1 (interacts with) Gzmf","ENSMUSG00000032405","false","interacts with","Pias1 (interacts with) Gzmf","0.0369084815145747"
"49230","199.76992378","interacts with","Zfp326 (interacts with) Grhl1","ENSMUSG00000029290","false","interacts with","Zfp326 (interacts with) Grhl1","0.0368704570878269"
"57422","190.96419025","interacts with","Pias1 (interacts with) Rhbdf1","ENSMUSG00000032405","false","interacts with","Pias1 (interacts with) Rhbdf1","0.022447497161645"
"57425","27.542821","interacts with","Rasd1 (interacts with) Gap43","ENSMUSG00000049892","false","interacts with","Rasd1 (interacts with) Gap43","0.022441331683803"
"49235","176.96815172","interacts with","Tead2 (interacts with) Pias1","ENSMUSG00000030796","false","interacts with","Tead2 (interacts with) Pias1","0.0368516464575729"
"49237","25.48502447","interacts with","Tead2 (interacts with) Gstz1","ENSMUSG00000030796","false","interacts with","Tead2 (interacts with) Gstz1","0.0368416459893842"
"49245","53.5957556","interacts with","Grhl1 (interacts with) Kazn","ENSMUSG00000020656","false","interacts with","Grhl1 (interacts with) Kazn","0.0368352644506409"
"57439","28.19194196","interacts with","Sox18 (interacts with) D5Ertd579e","ENSMUSG00000046470","false","interacts with","Sox18 (interacts with) D5Ertd579e","0.0224239981946263"
"49247","48.61007366","interacts with","Pias1 (interacts with) Tmem119","ENSMUSG00000032405","false","interacts with","Pias1 (interacts with) Tmem119","0.0368259079632871"
"49250","19.65617023","interacts with","Ets1 (interacts with) Aplnr","ENSMUSG00000032035","false","interacts with","Ets1 (interacts with) Aplnr","0.0368008876512149"
"49253","23.75283244","interacts with","Tead2 (interacts with) Wscd2","ENSMUSG00000030796","false","interacts with","Tead2 (interacts with) Wscd2","0.036791766841423"
"49254","38.55831677","interacts with","Cbx7 (interacts with) E2f8","ENSMUSG00000053411","false","interacts with","Cbx7 (interacts with) E2f8","0.0367690506603348"
"57450","45.90398152","interacts with","Sox18 (interacts with) Stmn1","ENSMUSG00000046470","false","interacts with","Sox18 (interacts with) Stmn1","0.0224150082485861"
"49261","197.76213656","interacts with","Plagl1 (interacts with) Entpd4b","ENSMUSG00000019817","false","interacts with","Plagl1 (interacts with) Entpd4b","0.0367437182743428"
"57456","299.80973252","interacts with","Pitx1 (interacts with) Acaa1a","ENSMUSG00000021506","false","interacts with","Pitx1 (interacts with) Acaa1a","0.0224121220971623"
"49269","128.52172759","interacts with","Pitx1 (interacts with) Dlk1","ENSMUSG00000021506","false","interacts with","Pitx1 (interacts with) Dlk1","0.0367246683874471"
"49271","124.7416007","interacts with","Zfp362 (interacts with) 1700020L24Rik","ENSMUSG00000028799","false","interacts with","Zfp362 (interacts with) 1700020L24Rik","0.0367225371753746"
