"SUID","EdgeBetweenness","interaction","name","regulatoryGene","selected","shared interaction","shared name","weight"
"65520","27.26052362","interacts with","Dapk3 (interacts with) Dap","ENSMUSG00000034974","false","interacts with","Dapk3 (interacts with) Dap","0.0173941706711884"
"57328","43.11556179","interacts with","Lhx2 (interacts with) Mvb12b","ENSMUSG00000000247","false","interacts with","Lhx2 (interacts with) Mvb12b","0.0225347073346605"
"65519","51.00332585","interacts with","Limd1 (interacts with) Etfdh","ENSMUSG00000025239","false","interacts with","Limd1 (interacts with) Etfdh","0.0173942909680157"
"57329","35.76954528","interacts with","Thyn1 (interacts with) Capn2","ENSMUSG00000035443","false","interacts with","Thyn1 (interacts with) Capn2","0.022532281186963"
"65521","19.15410574","interacts with","Batf3 (interacts with) Mgst3","ENSMUSG00000026630","false","interacts with","Batf3 (interacts with) Mgst3","0.0173941535355055"
"57330","23.13698518","interacts with","Elmsan1 (interacts with) Exoc3l4","ENSMUSG00000042507","false","interacts with","Elmsan1 (interacts with) Exoc3l4","0.0225322402564138"
"65524","40.01929258","interacts with","Smad4 (interacts with) Abhd17c","ENSMUSG00000024515","false","interacts with","Smad4 (interacts with) Abhd17c","0.0173927488322738"
"57331","26.04407899","interacts with","Rbm15b (interacts with) Unc119","ENSMUSG00000074102","false","interacts with","Rbm15b (interacts with) Unc119","0.0225299463884024"
"65526","54.07319151","interacts with","Ncor2 (interacts with) Fip1l1","ENSMUSG00000029478","false","interacts with","Ncor2 (interacts with) Fip1l1","0.0173924482246335"
"57334","43.11556179","interacts with","Lhx2 (interacts with) Hemgn","ENSMUSG00000000247","false","interacts with","Lhx2 (interacts with) Hemgn","0.0225257198970711"
"65528","62.91119212","interacts with","Loxl2 (interacts with) Mdh1","ENSMUSG00000034205","false","interacts with","Loxl2 (interacts with) Mdh1","0.0173921576419439"
"57336","40.71256789","interacts with","Cbx4 (interacts with) Prss8","ENSMUSG00000039989","false","interacts with","Cbx4 (interacts with) Prss8","0.0225231195440929"
"49145","44.02332151","interacts with","Pcgf5 (interacts with) Slco2a1","ENSMUSG00000024805","false","interacts with","Pcgf5 (interacts with) Slco2a1","0.0372619736194096"
"57339","36.34451119","interacts with","Tox2 (interacts with) Mvb12b","ENSMUSG00000074607","false","interacts with","Tox2 (interacts with) Mvb12b","0.022520857517613"
"65531","676.0","interacts with","Sin3b (interacts with) Cryl1","ENSMUSG00000031622","false","interacts with","Sin3b (interacts with) Cryl1","0.0173911461519566"
"65534","25.38270838","interacts with","Zfp652 (interacts with) Strada","ENSMUSG00000075595","false","interacts with","Zfp652 (interacts with) Strada","0.0173903407646741"
"65533","100.24936225","interacts with","Jade1 (interacts with) Gnas","ENSMUSG00000025764","false","interacts with","Jade1 (interacts with) Gnas","0.0173906260526366"
"57344","21.77802812","interacts with","Rhox9 (interacts with) Bclaf3","ENSMUSG00000068048","false","interacts with","Rhox9 (interacts with) Bclaf3","0.0225166482476172"
"57345","18.61104138","interacts with","Chd8 (interacts with) C130074G19Rik","ENSMUSG00000053754","false","interacts with","Chd8 (interacts with) C130074G19Rik","0.0225162132517612"
"57346","66.32982913","interacts with","Tead1 (interacts with) Arhgap28","ENSMUSG00000055320","false","interacts with","Tead1 (interacts with) Arhgap28","0.022513287779775"
"65537","88.95156225","interacts with","Loxl2 (interacts with) Peg10","ENSMUSG00000034205","false","interacts with","Loxl2 (interacts with) Peg10","0.0173865993772201"
"65539","70.39586793","interacts with","Tead1 (interacts with) Fuca2","ENSMUSG00000055320","false","interacts with","Tead1 (interacts with) Fuca2","0.0173859261059426"
"57348","37.55200116","interacts with","Tox2 (interacts with) B3galt4","ENSMUSG00000074607","false","interacts with","Tox2 (interacts with) B3galt4","0.0225092578707595"
"65541","18.29163328","interacts with","Rhox6 (interacts with) Prss8","ENSMUSG00000006200","false","interacts with","Rhox6 (interacts with) Prss8","0.0173849244391562"
"57352","19.63479915","interacts with","Lhx2 (interacts with) Slc13a4","ENSMUSG00000000247","false","interacts with","Lhx2 (interacts with) Slc13a4","0.0225045992865791"
"57355","54.86573121","interacts with","Smad5 (interacts with) Ncor2","ENSMUSG00000021540","false","interacts with","Smad5 (interacts with) Ncor2","0.0225039351011796"
"57360","38.85108888","interacts with","Pcgf5 (interacts with) Hexim1","ENSMUSG00000024805","false","interacts with","Pcgf5 (interacts with) Hexim1","0.02249843224211"
"65554","49.29157926","interacts with","Tox2 (interacts with) Arhgap28","ENSMUSG00000074607","false","interacts with","Tox2 (interacts with) Arhgap28","0.0173781097357491"
"49170","125.49578367","interacts with","Adnp2 (interacts with) Pfn2","ENSMUSG00000053950","false","interacts with","Adnp2 (interacts with) Pfn2","0.0371368158895585"
"57364","31.38479655","interacts with","Hsbp1 (interacts with) Tmem254b","ENSMUSG00000031839","false","interacts with","Hsbp1 (interacts with) Tmem254b","0.0224944430626667"
"65560","31.31444235","interacts with","Dapk3 (interacts with) Smoc1","ENSMUSG00000034974","false","interacts with","Dapk3 (interacts with) Smoc1","0.0173753011975989"
"65559","81.59141237","interacts with","Zxdc (interacts with) Acadm","ENSMUSG00000034430","false","interacts with","Zxdc (interacts with) Acadm","0.0173754587017869"
"57369","29.19036745","interacts with","Mta3 (interacts with) Mtfr1l","ENSMUSG00000055817","false","interacts with","Mta3 (interacts with) Mtfr1l","0.0224904006890484"
