"SUID","EdgeBetweenness","interaction","name","regulatoryGene","selected","shared interaction","shared name","weight"
"57327","171.11902161","interacts with","Prnp (interacts with) Dhx32","ENSMUSG00000079037","false","interacts with","Prnp (interacts with) Dhx32","0.0225357086723582"
"49136","135.53873463","interacts with","Phf8 (interacts with) Tmed1","ENSMUSG00000041229","false","interacts with","Phf8 (interacts with) Tmed1","0.0372922393677645"
"65522","139.3821395","interacts with","Yap1 (interacts with) Foxo3","ENSMUSG00000053110","false","interacts with","Yap1 (interacts with) Foxo3","0.0173941020550519"
"57333","57.39428169","interacts with","Foxo3 (interacts with) Parp4","ENSMUSG00000048756","false","interacts with","Foxo3 (interacts with) Parp4","0.0225259806630034"
"49142","47.06584361","interacts with","2700081O15Rik (interacts with) Tnfrsf12a","ENSMUSG00000053080","false","interacts with","2700081O15Rik (interacts with) Tnfrsf12a","0.037272397763425"
"65525","57.49049521","interacts with","Arrb1 (interacts with) Atp11a","ENSMUSG00000018909","false","interacts with","Arrb1 (interacts with) Atp11a","0.0173925867030547"
"57335","166.12871444","interacts with","Arrb1 (interacts with) Ppl","ENSMUSG00000018909","false","interacts with","Arrb1 (interacts with) Ppl","0.0225247396761539"
"65527","53.04505511","interacts with","Phf8 (interacts with) Ttyh3","ENSMUSG00000041229","false","interacts with","Phf8 (interacts with) Ttyh3","0.0173923568397311"
"49144","156.23735342","interacts with","Hif1an (interacts with) Adgrg3","ENSMUSG00000036450","false","interacts with","Hif1an (interacts with) Adgrg3","0.037263603140334"
"65529","59.34408261","interacts with","Arrb1 (interacts with) Tfrc","ENSMUSG00000018909","false","interacts with","Arrb1 (interacts with) Tfrc","0.0173916539582055"
"65532","21.39607111","interacts with","Srebf2 (interacts with) Ubtd1","ENSMUSG00000022463","false","interacts with","Srebf2 (interacts with) Ubtd1","0.0173907085710595"
"49148","100.77409487","interacts with","Calcoco1 (interacts with) Arid1b","ENSMUSG00000023055","false","interacts with","Calcoco1 (interacts with) Arid1b","0.0372475808707906"
"65536","151.00649704","interacts with","Prmt2 (interacts with) Serinc5","ENSMUSG00000020230","false","interacts with","Prmt2 (interacts with) Serinc5","0.017388927977706"
"57343","38.65039214","interacts with","Ankrd2 (interacts with) Folr1","ENSMUSG00000025172","false","interacts with","Ankrd2 (interacts with) Folr1","0.0225168990859028"
"57349","70.91636195","interacts with","Zfp260 (interacts with) Hamp","ENSMUSG00000049421","false","interacts with","Zfp260 (interacts with) Hamp","0.0225077221297862"
"57351","21.39466233","interacts with","Mlxip (interacts with) Pla2g4e","ENSMUSG00000038342","false","interacts with","Mlxip (interacts with) Pla2g4e","0.0225061683311695"
"65544","67.00054316","interacts with","Rb1 (interacts with) Usp6nl","ENSMUSG00000022105","false","interacts with","Rb1 (interacts with) Usp6nl","0.0173827927436857"
"49160","21.82534269","interacts with","Gcm1 (interacts with) Fut8","ENSMUSG00000023333","false","interacts with","Gcm1 (interacts with) Fut8","0.0371929791524424"
"65543","70.60120909","interacts with","Ash1l (interacts with) Csnk1g3","ENSMUSG00000028053","false","interacts with","Ash1l (interacts with) Csnk1g3","0.0173830938596025"
"57353","97.31232993","interacts with","Foxo3 (interacts with) Myl4","ENSMUSG00000048756","false","interacts with","Foxo3 (interacts with) Myl4","0.0225043161476569"
"65546","62.92798482","interacts with","Fam129b (interacts with) P3h4","ENSMUSG00000026796","false","interacts with","Fam129b (interacts with) P3h4","0.0173813826952664"
"65545","35.16836808","interacts with","Tfeb (interacts with) Pcdh1","ENSMUSG00000023990","false","interacts with","Tfeb (interacts with) Pcdh1","0.0173825529161655"
"65548","154.3148732","interacts with","Etv3 (interacts with) Rela","ENSMUSG00000003382","false","interacts with","Etv3 (interacts with) Rela","0.0173810838240506"
"65547","44.60367464","interacts with","Ski (interacts with) Tmed3","ENSMUSG00000029050","false","interacts with","Ski (interacts with) Tmed3","0.0173811623976481"
"57356","36.70239725","interacts with","Ski (interacts with) Prl3b1","ENSMUSG00000029050","false","interacts with","Ski (interacts with) Prl3b1","0.0225035680455315"
"65550","28.8334231","interacts with","Cdip1 (interacts with) Plekhd1","ENSMUSG00000004071","false","interacts with","Cdip1 (interacts with) Plekhd1","0.0173808843155014"
"49166","35.75206188","interacts with","Ncoa3 (interacts with) Snx30","ENSMUSG00000027678","false","interacts with","Ncoa3 (interacts with) Snx30","0.0371639576862198"
"57361","19.1939243","interacts with","Rap2c (interacts with) Parp4","ENSMUSG00000050029","false","interacts with","Rap2c (interacts with) Parp4","0.022498416739851"
"57362","75.99544404","interacts with","Nsd1 (interacts with) Sparc","ENSMUSG00000021488","false","interacts with","Nsd1 (interacts with) Sparc","0.0224980331668584"
"57363","66.88984965","interacts with","Epas1 (interacts with) Mfsd11","ENSMUSG00000024140","false","interacts with","Epas1 (interacts with) Mfsd11","0.0224979520355917"
"65556","18.37825506","interacts with","Rap2c (interacts with) Stk40","ENSMUSG00000050029","false","interacts with","Rap2c (interacts with) Stk40","0.0173767418802288"
"65558","84.08096953","interacts with","Zbtb7b (interacts with) Etv3","ENSMUSG00000028042","false","interacts with","Zbtb7b (interacts with) Etv3","0.0173755962401949"
"57366","32.52403493","interacts with","Elf1 (interacts with) Slc34a2","ENSMUSG00000036461","false","interacts with","Elf1 (interacts with) Slc34a2","0.022493208883913"
"65557","25.50288805","interacts with","Nrip1 (interacts with) Prl2c5","ENSMUSG00000048490","false","interacts with","Nrip1 (interacts with) Prl2c5","0.0173762599718811"
"49175","36.16281439","interacts with","Esx1 (interacts with) Snx30","ENSMUSG00000023443","false","interacts with","Esx1 (interacts with) Snx30","0.0371123589826184"
"57367","38.4575023","interacts with","Ski (interacts with) Wapl","ENSMUSG00000029050","false","interacts with","Ski (interacts with) Wapl","0.0224926832291293"
"57368","34.93548259","interacts with","Myb (interacts with) Clip1","ENSMUSG00000019982","false","interacts with","Myb (interacts with) Clip1","0.0224907165929742"
"57370","39.11786495","interacts with","Mllt3 (interacts with) Rgl1","ENSMUSG00000028496","false","interacts with","Mllt3 (interacts with) Rgl1","0.0224869255889818"
"49179","34.97323162","interacts with","Ovol2 (interacts with) Fut8","ENSMUSG00000037279","false","interacts with","Ovol2 (interacts with) Fut8","0.0370852378114863"
"49180","21.82534269","interacts with","Gcm1 (interacts with) Eci1","ENSMUSG00000023333","false","interacts with","Gcm1 (interacts with) Eci1","0.0370821927030047"
"65563","204.3404201","interacts with","Klf11 (interacts with) Epas1","ENSMUSG00000020653","false","interacts with","Klf11 (interacts with) Epas1","0.0173728868946125"
"57373","33.57563197","interacts with","Fam129b (interacts with) Plekhd1","ENSMUSG00000026796","false","interacts with","Fam129b (interacts with) Plekhd1","0.0224860748555275"
"65566","91.55194592","interacts with","Foxo3 (interacts with) Phyhipl","ENSMUSG00000048756","false","interacts with","Foxo3 (interacts with) Phyhipl","0.017371818997289"
"49183","118.01014155","interacts with","Arid1b (interacts with) Nrp1","ENSMUSG00000069729","false","interacts with","Arid1b (interacts with) Nrp1","0.0370781436281247"
"57375","48.95369432","interacts with","Cdk5 (interacts with) Tmed3","ENSMUSG00000028969","false","interacts with","Cdk5 (interacts with) Tmed3","0.0224837103968873"
"65567","135.48982653","interacts with","Rela (interacts with) Ap1g1","ENSMUSG00000024927","false","interacts with","Rela (interacts with) Ap1g1","0.0173717892072894"
"57378","31.71510327","interacts with","Prmt2 (interacts with) Slc26a2","ENSMUSG00000020230","false","interacts with","Prmt2 (interacts with) Slc26a2","0.0224825005124764"
"57379","33.3692671","interacts with","Myb (interacts with) Inafm2","ENSMUSG00000019982","false","interacts with","Myb (interacts with) Inafm2","0.0224821107462164"
"65571","49.80325216","interacts with","Rela (interacts with) Mtss2","ENSMUSG00000024927","false","interacts with","Rela (interacts with) Mtss2","0.0173699167659107"
"57380","41.77995133","interacts with","Calcoco1 (interacts with) Keap1","ENSMUSG00000023055","false","interacts with","Calcoco1 (interacts with) Keap1","0.0224816114310385"
"57381","58.87225166","interacts with","Phf8 (interacts with) Pard6b","ENSMUSG00000041229","false","interacts with","Phf8 (interacts with) Pard6b","0.0224812703152284"
"49190","56.15398287","interacts with","Plagl2 (interacts with) Cyp17a1","ENSMUSG00000051413","false","interacts with","Plagl2 (interacts with) Cyp17a1","0.0370342354524366"
"65573","35.65872448","interacts with","Yap1 (interacts with) Sulf2","ENSMUSG00000053110","false","interacts with","Yap1 (interacts with) Sulf2","0.0173688636582851"
"57383","55.02887965","interacts with","Hcfc2 (interacts with) Msrb3","ENSMUSG00000020246","false","interacts with","Hcfc2 (interacts with) Msrb3","0.0224798626866177"
"65575","43.48889253","interacts with","Cdip1 (interacts with) Npepl1","ENSMUSG00000004071","false","interacts with","Cdip1 (interacts with) Npepl1","0.0173681799288381"
"49195","156.23735342","interacts with","Hif1an (interacts with) Ppp2r2c","ENSMUSG00000036450","false","interacts with","Hif1an (interacts with) Ppp2r2c","0.0370266872843005"
"57388","51.40692344","interacts with","Zfx (interacts with) Pxmp4","ENSMUSG00000079509","false","interacts with","Zfx (interacts with) Pxmp4","0.0224735876921996"
"65579","439.69642795","interacts with","Cdk5 (interacts with) Ing2","ENSMUSG00000028969","false","interacts with","Cdk5 (interacts with) Ing2","0.0173669900323294"
"65581","48.78152778","interacts with","Tob2 (interacts with) Lats2","ENSMUSG00000048546","false","interacts with","Tob2 (interacts with) Lats2","0.0173666121908957"
"65584","48.11359156","interacts with","Cdip1 (interacts with) Slc27a3","ENSMUSG00000004071","false","interacts with","Cdip1 (interacts with) Slc27a3","0.017364540478304"
"65583","51.83054887","interacts with","Pparg (interacts with) Lpcat1","ENSMUSG00000000440","false","interacts with","Pparg (interacts with) Lpcat1","0.0173649489048261"
"49201","56.15398287","interacts with","Plagl2 (interacts with) Postn","ENSMUSG00000051413","false","interacts with","Plagl2 (interacts with) Postn","0.0369765196720755"
"57393","33.4782746","interacts with","Ncoa3 (interacts with) Pik3r3","ENSMUSG00000027678","false","interacts with","Ncoa3 (interacts with) Pik3r3","0.0224686547398362"
"65588","67.6585475","interacts with","Ankrd2 (interacts with) Phyhipl","ENSMUSG00000025172","false","interacts with","Ankrd2 (interacts with) Phyhipl","0.0173622102845387"
"57396","71.13535785","interacts with","Hcfc2 (interacts with) Prex1","ENSMUSG00000020246","false","interacts with","Hcfc2 (interacts with) Prex1","0.0224676986934652"
"65587","254.83891624","interacts with","Arrb1 (interacts with) Crb3","ENSMUSG00000018909","false","interacts with","Arrb1 (interacts with) Crb3","0.0173622693655435"
"65592","47.30100651","interacts with","Ash1l (interacts with) Kif16b","ENSMUSG00000028053","false","interacts with","Ash1l (interacts with) Kif16b","0.0173607057654851"
"57400","330.5928282","interacts with","Arrb1 (interacts with) Prmt2","ENSMUSG00000018909","false","interacts with","Arrb1 (interacts with) Prmt2","0.0224644136749602"
"65594","45.33830461","interacts with","Vgll4 (interacts with) Fam111a","ENSMUSG00000030315","false","interacts with","Vgll4 (interacts with) Fam111a","0.0173604820902005"
"57401","48.88390883","interacts with","Hes6 (interacts with) Itpkb","ENSMUSG00000067071","false","interacts with","Hes6 (interacts with) Itpkb","0.0224643466964089"
"65593","89.23483465","interacts with","Zfp422 (interacts with) Epb41l5","ENSMUSG00000059878","false","interacts with","Zfp422 (interacts with) Epb41l5","0.0173605677761998"
"65596","656.78412486","interacts with","Nsd1 (interacts with) Dok1","ENSMUSG00000021488","false","interacts with","Nsd1 (interacts with) Dok1","0.0173598465788064"
"57403","50.07441473","interacts with","Zfp260 (interacts with) Slc11a2","ENSMUSG00000049421","false","interacts with","Zfp260 (interacts with) Slc11a2","0.0224624175409466"
"57404","26.87445371","interacts with","2700081O15Rik (interacts with) Rufy1","ENSMUSG00000053080","false","interacts with","2700081O15Rik (interacts with) Rufy1","0.0224615724026091"
"65595","55.06000363","interacts with","Ski (interacts with) Plat","ENSMUSG00000029050","false","interacts with","Ski (interacts with) Plat","0.0173600499414465"
"65597","98.66742376","interacts with","Plagl2 (interacts with) Vnn1","ENSMUSG00000051413","false","interacts with","Plagl2 (interacts with) Vnn1","0.01735923835348"
"57408","30.7228282","interacts with","Cdip1 (interacts with) Fam90a1b","ENSMUSG00000004071","false","interacts with","Cdip1 (interacts with) Fam90a1b","0.0224604011654108"
"65604","180.90582732","interacts with","Dlx3 (interacts with) Lsm10","ENSMUSG00000001510","false","interacts with","Dlx3 (interacts with) Lsm10","0.0173574622252277"
"57412","24.21880459","interacts with","Cdip1 (interacts with) Cdc42bpg","ENSMUSG00000004071","false","interacts with","Cdip1 (interacts with) Cdc42bpg","0.0224575727085068"
"65605","142.20718004","interacts with","Zfp422 (interacts with) St13","ENSMUSG00000059878","false","interacts with","Zfp422 (interacts with) St13","0.0173570608139096"
"57414","47.2692409","interacts with","Zfx (interacts with) Sik1","ENSMUSG00000079509","false","interacts with","Zfx (interacts with) Sik1","0.0224567825314709"
"49223","240.05265571","interacts with","Mllt3 (interacts with) Lama5","ENSMUSG00000028496","false","interacts with","Mllt3 (interacts with) Lama5","0.0369136610304981"
"57415","156.23735342","interacts with","Hif1an (interacts with) Rnf128","ENSMUSG00000036450","false","interacts with","Hif1an (interacts with) Rnf128","0.0224555046802711"
"65607","37.411723","interacts with","Calcoco1 (interacts with) Slc46a1","ENSMUSG00000023055","false","interacts with","Calcoco1 (interacts with) Slc46a1","0.0173563302609612"
"57417","75.5408038","interacts with","Cited4 (interacts with) Tspan9","ENSMUSG00000070803","false","interacts with","Cited4 (interacts with) Tspan9","0.0224530909126085"
"49225","69.84873837","interacts with","Cited4 (interacts with) Tut4","ENSMUSG00000070803","false","interacts with","Cited4 (interacts with) Tut4","0.0369049834746521"
"57418","61.70299506","interacts with","2700081O15Rik (interacts with) Tmem184a","ENSMUSG00000053080","false","interacts with","2700081O15Rik (interacts with) Tmem184a","0.0224518563663531"
"49226","39.70090267","interacts with","Cavin1 (interacts with) Clec2l","ENSMUSG00000004044","false","interacts with","Cavin1 (interacts with) Clec2l","0.0368947294532967"
"65611","108.75172601","interacts with","Zbtb7b (interacts with) Als2","ENSMUSG00000028042","false","interacts with","Zbtb7b (interacts with) Als2","0.0173549415804861"
"65616","56.37264539","interacts with","Ovol2 (interacts with) Fam90a1b","ENSMUSG00000037279","false","interacts with","Ovol2 (interacts with) Fam90a1b","0.0173535924358986"
"49233","52.10953532","interacts with","Tulp1 (interacts with) Cited4","ENSMUSG00000037446","false","interacts with","Tulp1 (interacts with) Cited4","0.0368541714303252"
"65618","77.12333329","interacts with","Calcoco1 (interacts with) Igfbp2","ENSMUSG00000023055","false","interacts with","Calcoco1 (interacts with) Igfbp2","0.0173521145862369"
"57426","48.67718277","interacts with","Calcoco1 (interacts with) B4galt4","ENSMUSG00000023055","false","interacts with","Calcoco1 (interacts with) B4galt4","0.02244060268021"
"65617","49.38048884","interacts with","Bbx (interacts with) Gab2","ENSMUSG00000022641","false","interacts with","Bbx (interacts with) Gab2","0.0173521659566284"
"57427","30.8203971","interacts with","2700081O15Rik (interacts with) Stk40","ENSMUSG00000053080","false","interacts with","2700081O15Rik (interacts with) Stk40","0.0224377471708864"
