"SUID","__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"40948","1","2.90625","0.00134405","0.34408602","0.66666667","4","6","false","Ski","27.0","4","0","0","0.78819444","false","0","Ski","1084","0.31764706"
"34807","1","3.2578125","1.8746E-4","0.30695444","0.66666667","4","7","false","Vldlr","23.0","4","0","0","0.74913194","false","0","Vldlr","78","0.41071429"
"34810","1","2.8046875","0.00601634","0.35654596","0.61538462","14","6","false","Fzd5","21.35714286","14","0","0","0.79947917","false","0","Fzd5","3848","0.20340136"
"38913","1","4.76171875","0.0","0.2100082","0.0","1","7","false","Gadd45g","2.0","1","0","0","0.58203125","false","0","Gadd45g","0","0.0"
"38914","1","3.765625","0.0078125","0.26556017","0.0","2","6","false","Tesk1","5.0","2","0","0","0.69270833","false","0","Tesk1","1286","0.5"
"34818","1","3.359375","0.00257705","0.29767442","0.52777778","9","7","false","Ror2","18.66666667","9","0","0","0.73784722","false","0","Ror2","902","0.37868481"
"37891","1","2.99609375","0.0","0.33376793","0.0","1","6","false","Eme2","78.0","1","0","0","0.77821181","false","0","Eme2","0","0.0"
"37386","1","3.46875","0.01556373","0.28828829","0.66666667","6","6","false","Dab2ip","8.83333333","6","0","0","0.72569444","false","0","Dab2ip","5588","0.33333333"
"40971","1","3.515625","0.0078125","0.28444444","0.0","2","7","false","Pmepa1","17.0","2","0","0","0.72048611","false","0","Pmepa1","1116","0.5"
"34319","1","2.52734375","0.04694252","0.39567233","0.53359684","23","5","false","Arrb1","19.56521739","23","0","0","0.83029514","false","0","Arrb1","15514","0.14492754"
"37391","1","2.77734375","0.02519185","0.36005626","0.47222222","9","5","false","Spred1","17.88888889","9","0","0","0.80251736","false","0","Spred1","7176","0.1760176"
"35856","1","3.609375","0.00211909","0.27705628","0.5","4","6","false","Ripk3","5.25","4","0","0","0.71006944","false","0","Ripk3","328","0.38461538"
"34832","1","2.83203125","0.01301809","0.35310345","0.25","9","6","false","Numb","19.55555556","9","0","0","0.79644097","false","0","Numb","3706","0.19444444"
"37394","1","3.47265625","1.1698E-4","0.287964","0.8","6","6","false","Rasal1","10.33333333","6","0","0","0.72526042","false","0","Rasal1","66","0.3974359"
"37396","1","4.45703125","0.0078125","0.22436459","0.0","2","7","false","Trim62","3.5","2","0","0","0.61588542","false","0","Trim62","2796","0.5"
"39444","1","3.4375","4.415E-5","0.29090909","0.0","2","7","false","Ubfd1","22.5","2","0","0","0.72916667","false","0","Ubfd1","20","0.5375"
"37399","1","3.47265625","1.1698E-4","0.287964","0.8","6","6","false","Rasa3","10.33333333","6","0","0","0.72526042","false","0","Rasa3","66","0.3974359"
"37405","1","3.30859375","0.00393773","0.30224321","0.42222222","10","7","false","Vangl1","14.4","10","0","0","0.74348958","false","0","Vangl1","2400","0.32"
"34336","1","2.66796875","0.0","0.37481698","1.0","15","6","false","Agfg1","24.93333333","15","0","0","0.81467014","false","0","Agfg1","0","0.21310541"
"34337","1","2.61328125","0.02255749","0.38266069","0.45666667","25","6","false","Ap2a2","18.32","25","0","0","0.82074653","false","0","Ap2a2","9832","0.15140496"
"34341","1","2.625","0.02901809","0.38095238","0.57894737","20","6","false","Bin1","19.4","20","0","0","0.81944444","false","0","Bin1","6306","0.15991736"
"40486","1","3.5","3.2482E-4","0.28571429","0.0","2","7","false","Maged1","17.5","2","0","0","0.72222222","false","0","Maged1","210","0.5"
"35366","1","3.57421875","5.76E-5","0.27978142","0.33333333","3","7","false","Hif1an","14.66666667","3","0","0","0.71397569","false","0","Hif1an","24","0.42156863"
"34346","1","2.65234375","0.00950658","0.37702504","0.81617647","17","6","false","Ldlrap1","22.82352941","17","0","0","0.81640625","false","0","Ldlrap1","2820","0.19292124"
