"__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4","5.587301587301587","0.1341051523432476","0.17897727272727273","0.2","5","11","false","B4galt4","4.4","0","5","0","0.582972582972583","false","0","B4galt4","4214","0.26666666666666666"
"4","6.063492063492063","0.0","0.1649214659685864","0.0","1","11","false","Igfbpl1","9.0","0","1","0","0.5396825396825397","false","0","Igfbpl1","0","0.0"
"4","8.452380952380953","0.031619047619047616","0.11830985915492957","0.0","3","14","false","Gpr153","1.6666666666666667","0","3","0","0.32251082251082247","false","0","Gpr153","894","0.3333333333333333"
"4","7.531746031746032","0.015873015873015872","0.1327713382507903","0.0","2","13","false","Ushbp1","3.0","0","2","0","0.40620490620490624","false","0","Ushbp1","448","0.5"
"4","8.523809523809524","0.0","0.11731843575418995","0.0","1","14","false","Cdc42ep1","2.0","0","1","0","0.31601731601731603","false","0","Cdc42ep1","0","0.0"
"4","7.119047619047619","0.0","0.14046822742474918","0.0","1","13","false","Chst1","5.0","0","1","0","0.44372294372294374","false","0","Chst1","0","0.0"
"4","7.563492063492063","0.0","0.1322140608604407","0.0","1","12","false","Tprn","4.0","0","1","0","0.40331890331890335","false","0","Tprn","0","0.0"
"4","7.492063492063492","0.046857142857142854","0.13347457627118645","0.3333333333333333","3","13","false","Gpr56","3.3333333333333335","0","3","0","0.4098124098124098","false","0","Gpr56","1332","0.42857142857142855"
"4","8.873015873015873","0.0","0.11270125223613595","0.0","1","14","false","Emc9","2.0","0","1","0","0.28427128427128423","false","0","Emc9","0","0.0"
"4","9.444444444444445","0.0","0.10588235294117647","0.0","1","15","false","Caskin1","3.0","0","1","0","0.2323232323232323","false","0","Caskin1","0","0.0"
"4","7.182539682539683","0.015873015873015872","0.13922651933701657","0.6","5","13","false","Chst11","4.6","0","5","0","0.4379509379509379","false","0","Chst11","728","0.55"
"4","7.563492063492063","0.0","0.1322140608604407","0.0","1","12","false","Zfp652","4.0","0","1","0","0.40331890331890335","false","0","Zfp652","0","0.0"
"4","9.444444444444445","0.0","0.10588235294117647","0.0","1","15","false","Gpr146","3.0","0","1","0","0.2323232323232323","false","0","Gpr146","0","0.0"
"4","8.174603174603174","0.0","0.12233009708737864","0.0","1","14","false","Arsb","5.0","0","1","0","0.34776334776334783","false","0","Arsb","0","0.0"
"4","6.904761904761905","0.03149206349206349","0.14482758620689654","0.0","2","12","false","Ngly1","2.5","0","2","0","0.4632034632034632","false","0","Ngly1","788","0.5"
