"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","weight"
"147442","43.87405332","interacts with","ENSMUSG00000025172 (interacts with) ENSMUSG00000026317","false","interacts with","ENSMUSG00000025172 (interacts with) ENSMUSG00000026317","0.0176291842449926"
"139253","131.95982408","interacts with","ENSMUSG00000029050 (interacts with) ENSMUSG00000018909","false","interacts with","ENSMUSG00000029050 (interacts with) ENSMUSG00000018909","0.0264917312448124"
"147446","42.30237422","interacts with","ENSMUSG00000037032 (interacts with) ENSMUSG00000052911","false","interacts with","ENSMUSG00000037032 (interacts with) ENSMUSG00000052911","0.0176274596462882"
"139255","102.9321496","interacts with","ENSMUSG00000020230 (interacts with) ENSMUSG00000031996","false","interacts with","ENSMUSG00000020230 (interacts with) ENSMUSG00000031996","0.0264873967279299"
"147448","58.35311013","interacts with","ENSMUSG00000059878 (interacts with) ENSMUSG00000029370","false","interacts with","ENSMUSG00000059878 (interacts with) ENSMUSG00000029370","0.01762730029071"
"147454","89.73403594","interacts with","ENSMUSG00000029603 (interacts with) ENSMUSG00000004044","false","interacts with","ENSMUSG00000029603 (interacts with) ENSMUSG00000004044","0.0176214709828152"
"147458","28.92160266","interacts with","ENSMUSG00000024140 (interacts with) ENSMUSG00000005615","false","interacts with","ENSMUSG00000024140 (interacts with) ENSMUSG00000005615","0.0176181207935146"
"147455","60.5126421","interacts with","ENSMUSG00000041229 (interacts with) ENSMUSG00000043549","false","interacts with","ENSMUSG00000041229 (interacts with) ENSMUSG00000043549","0.0176211084582936"
"147462","41.05364292","interacts with","ENSMUSG00000026796 (interacts with) ENSMUSG00000009281","false","interacts with","ENSMUSG00000026796 (interacts with) ENSMUSG00000009281","0.0176161583373022"
"139278","55.05297992","interacts with","ENSMUSG00000029603 (interacts with) ENSMUSG00000039886","false","interacts with","ENSMUSG00000029603 (interacts with) ENSMUSG00000039886","0.0264414196975085"
"139281","106.65081525","interacts with","ENSMUSG00000020230 (interacts with) ENSMUSG00000116207","false","interacts with","ENSMUSG00000020230 (interacts with) ENSMUSG00000116207","0.0264310172500446"
"139282","34.02683368","interacts with","ENSMUSG00000022010 (interacts with) ENSMUSG00000029581","false","interacts with","ENSMUSG00000022010 (interacts with) ENSMUSG00000029581","0.0264238472034382"
"147474","68.73390986","interacts with","ENSMUSG00000068267 (interacts with) ENSMUSG00000027306","false","interacts with","ENSMUSG00000068267 (interacts with) ENSMUSG00000027306","0.0176071031428709"
"147471","27.22743702","interacts with","ENSMUSG00000038342 (interacts with) ENSMUSG00000029999","false","interacts with","ENSMUSG00000038342 (interacts with) ENSMUSG00000029999","0.0176095449259654"
"147477","192.91929818","interacts with","ENSMUSG00000029050 (interacts with) ENSMUSG00000028496","false","interacts with","ENSMUSG00000029050 (interacts with) ENSMUSG00000028496","0.0176042380845729"
"139285","30.29873354","interacts with","ENSMUSG00000029050 (interacts with) ENSMUSG00000029602","false","interacts with","ENSMUSG00000029050 (interacts with) ENSMUSG00000029602","0.026419535744687"
"147478","90.28764049","interacts with","ENSMUSG00000040713 (interacts with) ENSMUSG00000021703","false","interacts with","ENSMUSG00000040713 (interacts with) ENSMUSG00000021703","0.0176028978466236"
"139286","35.57330956","interacts with","ENSMUSG00000037279 (interacts with) ENSMUSG00000021432","false","interacts with","ENSMUSG00000037279 (interacts with) ENSMUSG00000021432","0.0264167011789025"
"147475","41.50211751","interacts with","ENSMUSG00000037032 (interacts with) ENSMUSG00000043549","false","interacts with","ENSMUSG00000037032 (interacts with) ENSMUSG00000043549","0.0176059750681981"
"147476","31.40319795","interacts with","ENSMUSG00000028969 (interacts with) ENSMUSG00000021432","false","interacts with","ENSMUSG00000028969 (interacts with) ENSMUSG00000021432","0.0176054852026643"
"147481","49.99854621","interacts with","ENSMUSG00000004071 (interacts with) ENSMUSG00000019055","false","interacts with","ENSMUSG00000004071 (interacts with) ENSMUSG00000019055","0.0176020295954743"
"139289","41.0903446","interacts with","ENSMUSG00000026796 (interacts with) ENSMUSG00000024769","false","interacts with","ENSMUSG00000026796 (interacts with) ENSMUSG00000024769","0.0263973089863975"
"139290","45.05172522","interacts with","ENSMUSG00000020246 (interacts with) ENSMUSG00000022438","false","interacts with","ENSMUSG00000020246 (interacts with) ENSMUSG00000022438","0.0263951471663814"
"147479","43.34030326","interacts with","ENSMUSG00000036461 (interacts with) ENSMUSG00000021693","false","interacts with","ENSMUSG00000036461 (interacts with) ENSMUSG00000021693","0.0176025039759374"
"139288","28.72056993","interacts with","ENSMUSG00000024140 (interacts with) ENSMUSG00000040928","false","interacts with","ENSMUSG00000024140 (interacts with) ENSMUSG00000040928","0.0263985572428403"
"139293","282.35603835","interacts with","ENSMUSG00000023055 (interacts with) ENSMUSG00000018909","false","interacts with","ENSMUSG00000023055 (interacts with) ENSMUSG00000018909","0.0263889120767501"
"139292","30.82932902","interacts with","ENSMUSG00000037279 (interacts with) ENSMUSG00000035769","false","interacts with","ENSMUSG00000037279 (interacts with) ENSMUSG00000035769","0.026389464636755"
"147484","126.23514601","interacts with","ENSMUSG00000037032 (interacts with) ENSMUSG00000048756","false","interacts with","ENSMUSG00000037032 (interacts with) ENSMUSG00000048756","0.0175992786911089"
"139298","54.68642764","interacts with","ENSMUSG00000048756 (interacts with) ENSMUSG00000051375","false","interacts with","ENSMUSG00000048756 (interacts with) ENSMUSG00000051375","0.0263763914318025"
"147493","42.24864849","interacts with","ENSMUSG00000002265 (interacts with) ENSMUSG00000040918","false","interacts with","ENSMUSG00000002265 (interacts with) ENSMUSG00000040918","0.0175960523482089"
"147491","64.12257051","interacts with","ENSMUSG00000050029 (interacts with) ENSMUSG00000020721","false","interacts with","ENSMUSG00000050029 (interacts with) ENSMUSG00000020721","0.017596540969037"
"139300","164.376885","interacts with","ENSMUSG00000018909 (interacts with) ENSMUSG00000022265","false","interacts with","ENSMUSG00000018909 (interacts with) ENSMUSG00000022265","0.0263656076704748"
"147497","48.59219116","interacts with","ENSMUSG00000025151 (interacts with) ENSMUSG00000060962","false","interacts with","ENSMUSG00000025151 (interacts with) ENSMUSG00000060962","0.0175927962676715"
"147495","99.87088756","interacts with","ENSMUSG00000020246 (interacts with) ENSMUSG00000001127","false","interacts with","ENSMUSG00000020246 (interacts with) ENSMUSG00000001127","0.0175944584659921"
"147496","215.93983912","interacts with","ENSMUSG00000038342 (interacts with) ENSMUSG00000021506","false","interacts with","ENSMUSG00000038342 (interacts with) ENSMUSG00000021506","0.0175939320860759"
"139309","53.73191931","interacts with","ENSMUSG00000037446 (interacts with) ENSMUSG00000032802","false","interacts with","ENSMUSG00000037446 (interacts with) ENSMUSG00000032802","0.0263402574306438"
"139310","336.3235214","interacts with","ENSMUSG00000037279 (interacts with) ENSMUSG00000018909","false","interacts with","ENSMUSG00000037279 (interacts with) ENSMUSG00000018909","0.0263395287185907"
"147506","115.29618234","interacts with","ENSMUSG00000050029 (interacts with) ENSMUSG00000043262","false","interacts with","ENSMUSG00000050029 (interacts with) ENSMUSG00000043262","0.0175891694884272"
"139311","61.37665517","interacts with","ENSMUSG00000068267 (interacts with) ENSMUSG00000022463","false","interacts with","ENSMUSG00000068267 (interacts with) ENSMUSG00000022463","0.0263370131236397"
"147507","67.7241898","interacts with","ENSMUSG00000028969 (interacts with) ENSMUSG00000035551","false","interacts with","ENSMUSG00000028969 (interacts with) ENSMUSG00000035551","0.0175886250486659"
