regulatoryGene	targetGene	weight
ENSMUSG00000028799	ENSMUSG00000073002	0.0723570408708231
ENSMUSG00000029178	ENSMUSG00000028001	0.0667699292976926
ENSMUSG00000004044	ENSMUSG00000050043	0.0638996031090689
ENSMUSG00000018909	ENSMUSG00000030605	0.0637580693767008
ENSMUSG00000029178	ENSMUSG00000040722	0.0631397496117168
ENSMUSG00000028799	ENSMUSG00000026280	0.0628328780423471
ENSMUSG00000021506	ENSMUSG00000021273	0.0618726190231336
ENSMUSG00000052712	ENSMUSG00000072235	0.0617579364408421
ENSMUSG00000029178	ENSMUSG00000045330	0.061678850647549
ENSMUSG00000028101	ENSMUSG00000032554	0.0614446565805586
ENSMUSG00000052712	ENSMUSG00000079197	0.0606239004005968
ENSMUSG00000001542	ENSMUSG00000032035	0.0606103107125833
ENSMUSG00000052712	ENSMUSG00000053080	0.0602824317533785
ENSMUSG00000068267	ENSMUSG00000024962	0.0600434843059295
ENSMUSG00000018909	ENSMUSG00000022010	0.0597804273826697
ENSMUSG00000055320	ENSMUSG00000028969	0.0596922114639205
ENSMUSG00000049892	ENSMUSG00000038393	0.0596673048440423
ENSMUSG00000021506	ENSMUSG00000028969	0.0594479855983316
ENSMUSG00000042812	ENSMUSG00000050043	0.0593705437864757
ENSMUSG00000028101	ENSMUSG00000040584	0.0592506162377832
ENSMUSG00000034205	ENSMUSG00000041351	0.059075536322255
ENSMUSG00000029178	ENSMUSG00000032554	0.0590687464969155
ENSMUSG00000042812	ENSMUSG00000041351	0.0588646613534135
ENSMUSG00000029178	ENSMUSG00000073982	0.0581465528417408
ENSMUSG00000004044	ENSMUSG00000022742	0.0579673513282248
ENSMUSG00000028799	ENSMUSG00000040584	0.0576017375067645
ENSMUSG00000028101	ENSMUSG00000073982	0.0575785262277684
ENSMUSG00000029178	ENSMUSG00000050732	0.0575423216870423
ENSMUSG00000028799	ENSMUSG00000032554	0.0574317580787069
ENSMUSG00000029178	ENSMUSG00000041187	0.0573726665189377
