"SUID","automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"10578","0.147","0.0","0.647","0.6","1711.96037202","0.049","0","0.0","interacts with","Calm1 (interacts with) Plcg2","0","10090.ENSMUSP00000105709","10090.ENSMUSP00000079991","0","false","interacts with","Calm1 (interacts with) Plcg2"
"10575","0.11","0.0","0.628","0.6","402.0","0.0","0","0.0","interacts with","Calm1 (interacts with) Ppp1r3f","0","10090.ENSMUSP00000105709","10090.ENSMUSP00000122903","0","false","interacts with","Calm1 (interacts with) Ppp1r3f"
"10574","0.138","0.0","0.697","0.0","559.92619847","0.664","0","0.0","interacts with","Calm1 (interacts with) Dapk3","0","10090.ENSMUSP00000105709","10090.ENSMUSP00000137333","0","false","interacts with","Calm1 (interacts with) Dapk3"
"10572","0.295","0.0","0.766","0.0","1022.68558698","0.682","0","0.0","interacts with","Calm1 (interacts with) Kcnn4","0","10090.ENSMUSP00000105709","10090.ENSMUSP00000133065","0","false","interacts with","Calm1 (interacts with) Kcnn4"
"5367","0.632","0.0","0.643","0.0","402.0","0.071","0","0.0","interacts with","Emp2 (interacts with) Lpar6","0","10090.ENSMUSP00000077466","10090.ENSMUSP00000042327","0","false","interacts with","Emp2 (interacts with) Lpar6"
"10322","0.714","0.0","0.714","0.0","402.0","0.0","0","0.0","interacts with","Gamt (interacts with) Slc6a8","0","10090.ENSMUSP00000101002","10090.ENSMUSP00000033752","0","false","interacts with","Gamt (interacts with) Slc6a8"
"5358","0.0","0.636","0.636","0.0","402.0","0.0","0","0.988","interacts with","Entpd4 (interacts with) Gm21685","0","10090.ENSMUSP00000138944","10090.ENSMUSP00000139202","0","false","interacts with","Entpd4 (interacts with) Gm21685"
"9886","0.085","0.0","0.904","0.9","126.29446982","0.0","0","0.0","interacts with","Aplnr (interacts with) Lpar3","0","10090.ENSMUSP00000053638","10090.ENSMUSP00000037712","0","false","interacts with","Aplnr (interacts with) Lpar3"
"9885","0.096","0.061","0.909","0.9","7.43333333","0.056","0","0.0","interacts with","Aplnr (interacts with) S1pr1","0","10090.ENSMUSP00000053638","10090.ENSMUSP00000050897","0","false","interacts with","Aplnr (interacts with) S1pr1"
"9884","0.272","0.0","0.924","0.9","23.15293108","0.0","0","0.0","interacts with","Aplnr (interacts with) S1pr2","0","10090.ENSMUSP00000053638","10090.ENSMUSP00000053394","0","false","interacts with","Aplnr (interacts with) S1pr2"
"9883","0.138","0.058","0.913","0.9","23.15293108","0.056","0","0.0","interacts with","Aplnr (interacts with) S1pr3","0","10090.ENSMUSP00000053638","10090.ENSMUSP00000085293","0","false","interacts with","Aplnr (interacts with) S1pr3"
"9882","0.09","0.053","0.921","0.9","104.36428086","0.196","0","0.0","interacts with","Aplnr (interacts with) Gnai1","0","10090.ENSMUSP00000053638","10090.ENSMUSP00000074259","0","false","interacts with","Aplnr (interacts with) Gnai1"
"10786","0.73","0.15","0.785","0.0","32.61642036","0.137","0","0.0","interacts with","Smtn (interacts with) Tagln","0","10090.ENSMUSP00000020721","10090.ENSMUSP00000034590","0","false","interacts with","Smtn (interacts with) Tagln"
"5118","0.461","0.061","0.851","0.0","1060.06553936","0.73","0","0.0","interacts with","Nkx2-3 (interacts with) Tbx5","0","10090.ENSMUSP00000050933","10090.ENSMUSP00000018407","0","false","interacts with","Nkx2-3 (interacts with) Tbx5"
"5117","0.574","0.0","0.581","0.0","296.95546986","0.056","0","0.0","interacts with","Nkx2-3 (interacts with) Spns2","0","10090.ENSMUSP00000050933","10090.ENSMUSP00000044418","0","false","interacts with","Nkx2-3 (interacts with) Spns2"
"5116","0.486","0.056","0.578","0.0","700.58720568","0.2","0","0.0","interacts with","Nkx2-3 (interacts with) Tbx20","0","10090.ENSMUSP00000050933","10090.ENSMUSP00000052591","0","false","interacts with","Nkx2-3 (interacts with) Tbx20"
"10127","0.056","0.0","0.655","0.65","29.80068376","0.0","0","0.0","interacts with","Nme3 (interacts with) Npr1","0","10090.ENSMUSP00000024978","10090.ENSMUSP00000029540","0","false","interacts with","Nme3 (interacts with) Npr1"
"10126","0.101","0.062","0.816","0.8","38.13333333","0.0","0","0.0","interacts with","Nme3 (interacts with) Pklr","0","10090.ENSMUSP00000024978","10090.ENSMUSP00000035417","0","false","interacts with","Nme3 (interacts with) Pklr"
"10125","0.042","0.0","0.9","0.9","123.59172513","0.0","0","0.0","interacts with","Gcgr (interacts with) Gpr4","0","10090.ENSMUSP00000026119","10090.ENSMUSP00000061243","0","false","interacts with","Gcgr (interacts with) Gpr4"
"7907","0.228","0.0","0.945","0.9","1022.25368741","0.355","0","0.0","interacts with","Kalrn (interacts with) Rhoc","0","10090.ENSMUSP00000110611","10090.ENSMUSP00000002303","0","false","interacts with","Kalrn (interacts with) Rhoc"
"10124","0.0","0.0","0.9","0.9","606.38536604","0.0","0","0.0","interacts with","Gcgr (interacts with) Pik3r3","0","10090.ENSMUSP00000026119","10090.ENSMUSP00000030464","0","false","interacts with","Gcgr (interacts with) Pik3r3"
"7906","0.0","0.0","0.9","0.9","347.05304254","0.0","0","0.0","interacts with","Kalrn (interacts with) Lpar3","0","10090.ENSMUSP00000110611","10090.ENSMUSP00000037712","0","false","interacts with","Kalrn (interacts with) Lpar3"
"10123","0.0","0.0","0.9","0.9","78.92531138","0.0","0","0.0","interacts with","Gcgr (interacts with) Lpar6","0","10090.ENSMUSP00000026119","10090.ENSMUSP00000042327","0","false","interacts with","Gcgr (interacts with) Lpar6"
"7905","0.0","0.0","0.9","0.9","141.63819565","0.0","0","0.0","interacts with","Kalrn (interacts with) Lpar6","0","10090.ENSMUSP00000110611","10090.ENSMUSP00000042327","0","false","interacts with","Kalrn (interacts with) Lpar6"
"10122","0.0","0.0","0.9","0.9","446.75131173","0.0","0","0.0","interacts with","Gcgr (interacts with) Kalrn","0","10090.ENSMUSP00000026119","10090.ENSMUSP00000110611","0","false","interacts with","Gcgr (interacts with) Kalrn"
"7904","0.048","0.0","0.9","0.9","76.97791373","0.0","0","0.0","interacts with","Kalrn (interacts with) Lpar4","0","10090.ENSMUSP00000110611","10090.ENSMUSP00000053986","0","false","interacts with","Kalrn (interacts with) Lpar4"
"10121","0.0","0.0","0.9","0.9","111.73944099","0.0","0","0.0","interacts with","Gcgr (interacts with) Gpr20","0","10090.ENSMUSP00000026119","10090.ENSMUSP00000063910","0","false","interacts with","Gcgr (interacts with) Gpr20"
"7903","0.094","0.0","0.928","0.9","529.83405237","0.269","0","0.0","interacts with","Kalrn (interacts with) Rhoj","0","10090.ENSMUSP00000110611","10090.ENSMUSP00000059498","0","false","interacts with","Kalrn (interacts with) Rhoj"
"7902","0.548","0.0","0.964","0.9","534.58209822","0.269","0","0.0","interacts with","Kalrn (interacts with) Rhog","0","10090.ENSMUSP00000110611","10090.ENSMUSP00000095832","0","false","interacts with","Kalrn (interacts with) Rhog"
"10119","0.067","0.0","0.903","0.9","76.89615708","0.048","0","0.0","interacts with","Gcgr (interacts with) Tbxa2r","0","10090.ENSMUSP00000026119","10090.ENSMUSP00000100962","0","false","interacts with","Gcgr (interacts with) Tbxa2r"
"7901","0.0","0.0","0.9","0.9","72.78159951","0.0","0","0.0","interacts with","Kalrn (interacts with) Tbxa2r","0","10090.ENSMUSP00000110611","10090.ENSMUSP00000100962","0","false","interacts with","Kalrn (interacts with) Tbxa2r"
"10118","0.063","0.06","0.905","0.9","129.76062388","0.048","0","0.0","interacts with","Gcgr (interacts with) Lpar3","0","10090.ENSMUSP00000026119","10090.ENSMUSP00000037712","0","false","interacts with","Gcgr (interacts with) Lpar3"
"10117","0.111","0.0","0.907","0.9","42.65624543","0.0","0","0.0","interacts with","Gcgr (interacts with) Lpar4","0","10090.ENSMUSP00000026119","10090.ENSMUSP00000053986","0","false","interacts with","Gcgr (interacts with) Lpar4"
"10116","0.0","0.163","0.912","0.9","199.516603","0.0","0","0.0","interacts with","Gcgr (interacts with) Gm28040","0","10090.ENSMUSP00000026119","10090.ENSMUSP00000138922","0","false","interacts with","Gcgr (interacts with) Gm28040"
"10115","0.144","0.0","0.925","0.9","45.74441669","0.197","0","0.0","interacts with","Gcgr (interacts with) Gnas","0","10090.ENSMUSP00000026119","10090.ENSMUSP00000079341","0","false","interacts with","Gcgr (interacts with) Gnas"
"10114","0.586","0.061","0.965","0.9","111.73944099","0.207","0","0.0","interacts with","Gcgr (interacts with) Ramp2","0","10090.ENSMUSP00000026119","10090.ENSMUSP00000122072","0","false","interacts with","Gcgr (interacts with) Ramp2"
"11053","0.733","0.06","0.738","0.0","65.81790019","0.0","0","0.0","interacts with","Sphk2 (interacts with) Spns2","0","10090.ENSMUSP00000072615","10090.ENSMUSP00000044418","0","false","interacts with","Sphk2 (interacts with) Spns2"
"5122","0.763","0.079","0.772","0.0","2.0","0.0","0","0.0","interacts with","Kcnc4 (interacts with) Plekha6","0","10090.ENSMUSP00000009617","10090.ENSMUSP00000048214","0","false","interacts with","Kcnc4 (interacts with) Plekha6"
"4913","0.27","0.0","0.847","0.8","177.67108382","0.0","0","0.0","interacts with","Kcnj13 (interacts with) Kcnk5","0","10090.ENSMUSP00000108838","10090.ENSMUSP00000024011","0","false","interacts with","Kcnj13 (interacts with) Kcnk5"
"4912","0.148","0.0","0.822","0.8","224.32891618","0.0","0","0.0","interacts with","Kcnj13 (interacts with) Kcnn4","0","10090.ENSMUSP00000108838","10090.ENSMUSP00000133065","0","false","interacts with","Kcnj13 (interacts with) Kcnn4"
"5089","0.529","0.06","0.903","0.8","342.89587582","0.0","0","0.0","interacts with","Kcnk5 (interacts with) Kcnn4","0","10090.ENSMUSP00000024011","10090.ENSMUSP00000133065","0","false","interacts with","Kcnk5 (interacts with) Kcnn4"
"6498","0.558","0.0","0.558","0.0","464.95957255","0.0","0","0.0","interacts with","Kcnn4 (interacts with) Stim1","0","10090.ENSMUSP00000133065","10090.ENSMUSP00000033289","0","false","interacts with","Kcnn4 (interacts with) Stim1"
"7721","0.596","0.06","0.604","0.0","800.0","0.0","0","0.0","interacts with","Ccm2l (interacts with) Fam43a","0","10090.ENSMUSP00000105425","10090.ENSMUSP00000056555","0","false","interacts with","Ccm2l (interacts with) Fam43a"
