"SUID","__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"39826","6","4.04975124","8.171E-5","0.24692875","0.8","5","8","false","Ipmk","7.6","5","0","0","0.72274989","false","0","Ipmk","30","0.54285714"
"40342","6","4.23383085","0.01985075","0.23619271","0.0","3","8","false","Zcchc11","8.33333333","3","0","0","0.70601538","false","0","Zcchc11","4166","0.33333333"
"34207","6","2.88059701","0.24981269","0.34715026","0.18614719","22","7","false","Adcy4","8.22727273","22","0","0","0.82903664","false","0","Adcy4","46430","0.12307692"
"34208","6","3.7761194","0.01434302","0.26482213","0.52380952","7","8","false","Nme3","9.0","7","0","0","0.74762551","false","0","Nme3","2894","0.2952381"
"34210","6","3.15920398","0.04194422","0.31653543","0.53216374","19","8","false","Gcgr","13.78947368","19","0","0","0.80370873","false","0","Gcgr","8084","0.22605695"
"34212","6","3.87562189","0.0","0.25802311","0.0","1","8","false","Pde8a","22.0","1","0","0","0.73857983","false","0","Pde8a","0","0.0"
"34214","6","3.87562189","0.0","0.25802311","0.0","1","8","false","Ccdc3","22.0","1","0","0","0.73857983","false","0","Ccdc3","0","0.0"
"34216","6","3.69651741","0.00386194","0.2705249","0.60714286","8","8","false","Npr1","10.5","8","0","0","0.75486205","false","0","Npr1","888","0.27631579"
"34218","6","3.76119403","0.0249782","0.26587302","0.47222222","9","8","false","Gucy1b3","7.88888889","9","0","0","0.74898236","false","0","Gucy1b3","3090","0.25089606"
"34220","6","3.72139303","0.03208552","0.26871658","0.36111111","9","8","false","Pklr","7.88888889","9","0","0","0.75260063","false","0","Pklr","7518","0.23202614"
"34222","6","3.16915423","0.08163513","0.3155416","0.2","6","8","false","Arap3","19.0","6","0","0","0.80280416","false","0","Arap3","17752","0.30327869"
"34735","6","5.39303483","0.0","0.18542435","0.0","1","10","false","Anxa6","3.0","1","0","0","0.6006332","false","0","Anxa6","0","0.0"
"34224","6","3.87562189","0.0","0.25802311","0.0","1","8","false","Pde4a","22.0","1","0","0","0.73857983","false","0","Pde4a","0","0.0"
"34226","6","3.8159204","0.0090036","0.26205997","0.46666667","6","8","false","Pde3a","9.33333333","6","0","0","0.74400724","false","0","Pde3a","2828","0.34567901"
