"SUID","__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"16623","5","2.78807947","5.999E-4","0.35866983","0.60714286","8","5","false","Rad54b","24.125","8","0","0","0.70198675","false","0","Rad54b","164","0.3954918"
"16368","5","3.00662252","0.0","0.33259912","1.0","3","5","false","Trim24","30.0","3","0","0","0.66556291","false","0","Trim24","0","0.88235294"
"16370","5","2.37086093","0.04087084","0.42178771","0.28676471","17","5","false","Bard1","18.52941176","17","0","0","0.77152318","false","0","Bard1","7450","0.19924099"
"16627","5","2.84768212","0.00404797","0.35116279","0.51111111","10","5","false","Mdc1","12.9","10","0","0","0.69205298","false","0","Mdc1","1126","0.24807692"
"16372","5","2.9602649","0.01331678","0.33780761","0.33333333","4","5","false","Nap1l4","16.5","4","0","0","0.67328918","false","0","Nap1l4","1826","0.47794118"
"16375","5","2.41721854","0.01592381","0.41369863","0.75213675","27","4","false","Klhl13","23.74074074","27","0","0","0.76379691","false","0","Klhl13","3532","0.33385498"
"16377","5","2.31788079","0.01323205","0.43142857","0.90909091","22","4","false","Dzip3","26.86363636","22","0","0","0.7803532","false","0","Dzip3","2852","0.30132789"
"16633","5","3.28476821","0.02667014","0.30443548","0.33333333","6","5","false","Kat7","6.5","6","0","0","0.6192053","false","0","Kat7","2512","0.3245614"
"16121","5","3.66225166","0.0","0.27305606","1.0","3","6","false","Aff4","7.33333333","3","0","0","0.55629139","false","0","Aff4","0","0.48888889"
"16635","5","3.1589404","0.0","0.31656184","1.0","5","5","false","Rif1","10.2","5","0","0","0.6401766","false","0","Rif1","0","0.44347826"
"16123","5","2.77483444","0.05347427","0.36038186","0.12121212","12","5","false","Ssrp1","7.66666667","12","0","0","0.70419426","false","0","Ssrp1","7316","0.14705882"
"17147","5","3.37748344","0.0","0.29607843","1.0","3","6","false","Iqgap3","31.66666667","3","0","0","0.60375276","false","0","Iqgap3","0","0.83333333"
