"SUID","automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"14363","0.0","0.0","0.9","0.9","30.45810903","0.0","0","0.0","interacts with","Anapc1 (interacts with) Fbxl5","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000045792","0","false","interacts with","Anapc1 (interacts with) Fbxl5"
"13898","0.271","0.767","0.823","0.0","39.35561927","0.0","0","0.0","interacts with","Hells (interacts with) Zwilch","0","10090.ENSMUSP00000025965","10090.ENSMUSP00000112790","0","false","interacts with","Hells (interacts with) Zwilch"
"14362","0.0","0.06","0.901","0.9","31.73743837","0.0","0","0.0","interacts with","Anapc1 (interacts with) Ubr2","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000108961","0","false","interacts with","Anapc1 (interacts with) Ubr2"
"14360","0.0","0.06","0.901","0.9","55.72492812","0.0","0","0.0","interacts with","Anapc1 (interacts with) Gan","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000124904","0","false","interacts with","Anapc1 (interacts with) Gan"
"14359","0.0","0.061","0.902","0.9","135.68229073","0.0","0","0.0","interacts with","Anapc1 (interacts with) Keap1","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000131029","0","false","interacts with","Anapc1 (interacts with) Keap1"
"14358","0.0","0.061","0.903","0.9","25.61472466","0.056","0","0.0","interacts with","Anapc1 (interacts with) Ube3b","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000073652","0","false","interacts with","Anapc1 (interacts with) Ube3b"
"12656","0.583","0.129","0.725","0.0","302.0","0.643","0","0.728","interacts with","Hmgb3 (interacts with) Ssrp1","0","10090.ENSMUSP00000110229","10090.ENSMUSP00000076971","0","false","interacts with","Hmgb3 (interacts with) Ssrp1"
"14357","0.059","0.062","0.904","0.9","30.4057593","0.0","0","0.0","interacts with","Anapc1 (interacts with) Ube4a","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000113346","0","false","interacts with","Anapc1 (interacts with) Ube4a"
"14356","0.0","0.076","0.905","0.9","39.47975698","0.056","0","0.0","interacts with","Anapc1 (interacts with) Nedd4","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000034740","0","false","interacts with","Anapc1 (interacts with) Nedd4"
"14355","0.051","0.093","0.907","0.9","110.02837676","0.056","0","0.0","interacts with","Anapc1 (interacts with) Ube3a","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000103161","0","false","interacts with","Anapc1 (interacts with) Ube3a"
"14354","0.089","0.062","0.907","0.9","30.45810903","0.0","0","0.0","interacts with","Anapc1 (interacts with) Fbxw11","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000075721","0","false","interacts with","Anapc1 (interacts with) Fbxw11"
"14353","0.125","0.0","0.908","0.9","35.22994985","0.0","0","0.0","interacts with","Anapc1 (interacts with) Cul5","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000034529","0","false","interacts with","Anapc1 (interacts with) Cul5"
"14352","0.0","0.086","0.91","0.9","63.43928242","0.096","0","0.0","interacts with","Anapc1 (interacts with) Fbxl19","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000033081","0","false","interacts with","Anapc1 (interacts with) Fbxl19"
"13802","0.0","0.052","0.901","0.9","120.76023056","0.0","0","0.0","interacts with","Hmgn1 (interacts with) Pold3","0","10090.ENSMUSP00000061012","10090.ENSMUSP00000032969","0","false","interacts with","Hmgn1 (interacts with) Pold3"
"14351","0.0","0.125","0.91","0.9","80.55842484","0.056","0","0.0","interacts with","Anapc1 (interacts with) Trip12","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000027421","0","false","interacts with","Anapc1 (interacts with) Trip12"
"13800","0.863","0.212","0.901","0.0","302.0","0.158","0","0.0","interacts with","Hmgn1 (interacts with) Hmgn2","0","10090.ENSMUSP00000061012","10090.ENSMUSP00000099613","0","false","interacts with","Hmgn1 (interacts with) Hmgn2"
"14350","0.152","0.079","0.915","0.9","49.75641241","0.0","0","0.0","interacts with","Anapc1 (interacts with) Cul3","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000130738","0","false","interacts with","Anapc1 (interacts with) Cul3"
"13799","0.238","0.0","0.92","0.9","174.4173857","0.0","0","0.0","interacts with","Hmgn1 (interacts with) Usp7","0","10090.ENSMUSP00000061012","10090.ENSMUSP00000124093","0","false","interacts with","Hmgn1 (interacts with) Usp7"
"14349","0.139","0.06","0.922","0.9","29.6673322","0.156","0","0.0","interacts with","Anapc1 (interacts with) Ube2k","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000122471","0","false","interacts with","Anapc1 (interacts with) Ube2k"
"14348","0.198","0.111","0.923","0.9","89.398661","0.056","0","0.0","interacts with","Anapc1 (interacts with) Huwe1","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000026292","0","false","interacts with","Anapc1 (interacts with) Huwe1"
"14347","0.284","0.074","0.936","0.9","289.9102271","0.154","0","0.0","interacts with","Anapc1 (interacts with) Ccna2","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000029270","0","false","interacts with","Anapc1 (interacts with) Ccna2"
"14346","0.39","0.062","0.941","0.9","416.95424124","0.096","0","0.0","interacts with","Anapc1 (interacts with) Ccnb1","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000071989","0","false","interacts with","Anapc1 (interacts with) Ccnb1"
"14345","0.764","0.23","0.996","0.9","4.79166667","0.84","0","0.0","interacts with","Anapc1 (interacts with) Cdc23","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000122420","0","false","interacts with","Anapc1 (interacts with) Cdc23"
"14344","0.84","0.153","0.997","0.9","12.42572787","0.856","0","0.0","interacts with","Anapc1 (interacts with) Cdc27","0","10090.ENSMUSP00000014499","10090.ENSMUSP00000091452","0","false","interacts with","Anapc1 (interacts with) Cdc27"
"14017","0.353","0.157","0.833","0.72","123.93815734","0.0","0","0.0","interacts with","Anp32e (interacts with) Trrap","0","10090.ENSMUSP00000128483","10090.ENSMUSP00000098035","0","false","interacts with","Anp32e (interacts with) Trrap"
