"SUID","__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4080","2","3.08856089","0.0","0.32377539","0.0","1","5","false","Alg14","44.0","1","0","0","0.58228782","false","0","Alg14","0","0.0"
"3568","2","2.70110701","4.044E-5","0.37021858","0.33333333","3","4","false","Sfxn2","49.66666667","3","0","0","0.6597786","false","0","Sfxn2","130","0.4789644"
"498","2","3.20664207","1.2383E-4","0.3118527","0.0","2","4","false","Bnip3","33.5","2","0","0","0.55867159","false","0","Bnip3","218","0.60185185"
"3061","2","2.84132841","0.0","0.35194805","1.0","2","4","false","Snx22","49.0","2","0","0","0.63173432","false","0","Snx22","0","0.59756098"
"4600","2","3.00369004","0.0","0.33292383","0.0","1","4","false","Sypl","53.0","1","0","0","0.59926199","false","0","Sypl","0","0.0"
"3584","2","3.02214022","0.0","0.33089133","0.0","1","5","false","Mppe1","59.0","1","0","0","0.59557196","false","0","Mppe1","0","0.0"
"2050","2","2.39483395","3.0923E-4","0.41756549","0.26666667","6","4","false","Midn","50.83333333","6","0","0","0.72103321","false","0","Midn","914","0.30439122"
"2058","2","2.06273063","0.00307936","0.48479428","0.33088235","17","4","false","Lhfp","50.82352941","17","0","0","0.78745387","false","0","Lhfp","7638","0.21265075"
"522","2","2.20664207","0.00252116","0.45317726","0.34545455","11","3","false","Ear6","59.81818182","11","0","0","0.75867159","false","0","Ear6","4818","0.29322638"
"2571","2","2.56826568","4.887E-5","0.38936782","0.5","4","4","false","Enho","45.25","4","0","0","0.68634686","false","0","Enho","84","0.39347826"
"3598","2","3.12546125","0.0","0.31995277","0.0","1","5","false","Pla2g12a","45.0","1","0","0","0.57490775","false","0","Pla2g12a","0","0.0"
"2579","2","3.0","0.0","0.33333333","0.0","1","4","false","Hax1","70.0","1","0","0","0.6","false","0","Hax1","0","0.0"
"2073","2","2.46125461","4.38E-6","0.40629685","0.83333333","4","4","false","Qtrt1","78.0","4","0","0","0.70774908","false","0","Qtrt1","18","0.52"
"1564","2","2.46494465","2.2418E-4","0.40568862","0.6","5","4","false","Nars","65.4","5","0","0","0.70701107","false","0","Nars","1076","0.43892617"
"5151","2","3.48708487","0.0","0.28677249","0.0","1","5","false","Tbc1d12","45.0","1","0","0","0.50258303","false","0","Tbc1d12","0","0.0"
"2080","2","2.27675277","7.9864E-4","0.43922204","0.23809524","7","4","false","2900026A02Rik","53.85714286","7","0","0","0.74464945","false","0","2900026A02Rik","2180","0.28270677"
"3106","2","2.64944649","1.0295E-4","0.37743733","0.0","3","4","false","Mpeg1","49.0","3","0","0","0.6701107","false","0","Mpeg1","280","0.42105263"
"2085","2","2.18081181","0.00114402","0.45854484","0.30909091","11","3","false","Slc35g1","49.0","11","0","0","0.76383764","false","0","Slc35g1","2556","0.23290043"
"2602","2","2.54243542","4.6162E-4","0.39332366","0.13333333","6","4","false","Amot","41.33333333","6","0","0","0.69151292","false","0","Amot","992","0.31060606"
"3630","2","2.53874539","2.1286E-4","0.39389535","0.2","5","4","false","Capn1","41.8","5","0","0","0.69225092","false","0","Capn1","390","0.3234375"
