"SUID","automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"12880","0.0","0.818","0.818","0.0","22.40474453","0.0","0","0.0","interacts with","Polr1e (interacts with) Pwp1","0","10090.ENSMUSP00000121007","10090.ENSMUSP00000001836","0","false","interacts with","Polr1e (interacts with) Pwp1"
"12879","0.137","0.821","0.839","0.0","50.39800574","0.0","0","0.0","interacts with","Polr1e (interacts with) Pwp2","0","10090.ENSMUSP00000121007","10090.ENSMUSP00000045812","0","false","interacts with","Polr1e (interacts with) Pwp2"
"12835","0.815","0.062","0.819","0.0","27.44005205","0.0","0","0.0","interacts with","Hmga2 (interacts with) Lin28a","0","10090.ENSMUSP00000072556","10090.ENSMUSP00000050488","0","false","interacts with","Hmga2 (interacts with) Lin28a"
"12878","0.0","0.82","0.82","0.0","75.13235064","0.0","0","0.0","interacts with","Polr1e (interacts with) Utp6","0","10090.ENSMUSP00000121007","10090.ENSMUSP00000046643","0","false","interacts with","Polr1e (interacts with) Utp6"
"12877","0.455","0.832","0.904","0.0","27.30041878","0.0","0","0.0","interacts with","Polr1e (interacts with) Wdr43","0","10090.ENSMUSP00000121007","10090.ENSMUSP00000048337","0","false","interacts with","Polr1e (interacts with) Wdr43"
"12876","0.0","0.828","0.828","0.0","37.63542948","0.0","0","0.0","interacts with","Polr1e (interacts with) Pum3","0","10090.ENSMUSP00000121007","10090.ENSMUSP00000075573","0","false","interacts with","Polr1e (interacts with) Pum3"
"12874","0.749","0.06","0.99","0.9","73.72361626","0.638","0","0.0","interacts with","Polr1e (interacts with) Ubtf","0","10090.ENSMUSP00000121007","10090.ENSMUSP00000133844","0","false","interacts with","Polr1e (interacts with) Ubtf"
"12540","0.65","0.117","0.751","0.0","266.0","0.259","0","0.0","interacts with","Ppp1r7 (interacts with) Ppp1r8","0","10090.ENSMUSP00000027494","10090.ENSMUSP00000030702","0","false","interacts with","Ppp1r7 (interacts with) Ppp1r8"
"14570","0.292","0.067","0.951","0.9","46.66148285","0.355","0","0.0","interacts with","Hnrnpa1 (interacts with) Prpf8","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000018449","0","false","interacts with","Hnrnpa1 (interacts with) Prpf8"
"14569","0.609","0.432","0.626","0.0","126.12778536","0.198","0","0.642","interacts with","Hnrnpa1 (interacts with) Ncl","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000027438","0","false","interacts with","Hnrnpa1 (interacts with) Ncl"
"14568","0.303","0.121","0.939","0.9","20.19641188","0.131","0","0.0","interacts with","Hnrnpa1 (interacts with) Hnrnpul1","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000037268","0","false","interacts with","Hnrnpa1 (interacts with) Hnrnpul1"
"14567","0.734","0.4","0.99","0.9","21.32550324","0.45","0","0.0","interacts with","Hnrnpa1 (interacts with) Hnrnpk","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000039269","0","false","interacts with","Hnrnpa1 (interacts with) Hnrnpk"
"14566","0.498","0.062","0.573","0.0","44.8380561","0.167","0","0.0","interacts with","Hnrnpa1 (interacts with) Srpk1","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000116259","0","false","interacts with","Hnrnpa1 (interacts with) Srpk1"
"14565","0.64","0.389","0.603","0.0","27.30140036","0.215","0","0.669","interacts with","Hnrnpa1 (interacts with) Tardbp","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000081142","0","false","interacts with","Hnrnpa1 (interacts with) Tardbp"
"14564","0.545","0.077","0.617","0.0","165.19406962","0.162","0","0.0","interacts with","Hnrnpa1 (interacts with) Lin28a","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000050488","0","false","interacts with","Hnrnpa1 (interacts with) Lin28a"
"14563","0.43","0.364","0.637","0.0","87.48565795","0.08","0","0.0","interacts with","Hnrnpa1 (interacts with) Ssb","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000088365","0","false","interacts with","Hnrnpa1 (interacts with) Ssb"
"14561","0.623","0.418","0.662","0.0","129.27932779","0.365","0","0.794","interacts with","Hnrnpa1 (interacts with) Hnrnpdl","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000121005","0","false","interacts with","Hnrnpa1 (interacts with) Hnrnpdl"
"14560","0.531","0.21","0.687","0.0","44.42147741","0.223","0","0.0","interacts with","Hnrnpa1 (interacts with) Pcbp2","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000076294","0","false","interacts with","Hnrnpa1 (interacts with) Pcbp2"
"14559","0.515","0.337","0.703","0.0","18.49919247","0.153","0","0.0","interacts with","Hnrnpa1 (interacts with) Ilf3","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000065770","0","false","interacts with","Hnrnpa1 (interacts with) Ilf3"
"14558","0.64","0.214","0.705","0.0","62.06074011","0.0","0","0.0","interacts with","Hnrnpa1 (interacts with) Srsf10","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000101479","0","false","interacts with","Hnrnpa1 (interacts with) Srsf10"
"14557","0.27","0.426","0.732","0.0","78.98806886","0.411","0","0.0","interacts with","Hnrnpa1 (interacts with) Npm1","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000075067","0","false","interacts with","Hnrnpa1 (interacts with) Npm1"
"14556","0.59","0.346","0.755","0.0","32.35819378","0.161","0","0.0","interacts with","Hnrnpa1 (interacts with) Matr3","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000125761","0","false","interacts with","Hnrnpa1 (interacts with) Matr3"
"14555","0.39","0.077","0.939","0.9","44.94594418","0.05","0","0.0","interacts with","Hnrnpa1 (interacts with) Srrm1","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000125003","0","false","interacts with","Hnrnpa1 (interacts with) Srrm1"
"14554","0.629","0.201","0.943","0.9","25.62261091","0.122","0","0.58","interacts with","Hnrnpa1 (interacts with) Rbmx","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000110374","0","false","interacts with","Hnrnpa1 (interacts with) Rbmx"
"14553","0.327","0.218","0.954","0.9","41.56669423","0.235","0","0.0","interacts with","Hnrnpa1 (interacts with) Rnps1","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000126345","0","false","interacts with","Hnrnpa1 (interacts with) Rnps1"
"14552","0.369","0.111","0.958","0.9","41.73974121","0.343","0","0.0","interacts with","Hnrnpa1 (interacts with) Sf1","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000121309","0","false","interacts with","Hnrnpa1 (interacts with) Sf1"
"14551","0.702","0.232","0.965","0.9","23.66864364","0.519","0","0.813","interacts with","Hnrnpa1 (interacts with) Hnrnpd","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000132735","0","false","interacts with","Hnrnpa1 (interacts with) Hnrnpd"
"14550","0.699","0.271","0.964","0.9","40.22920817","0.544","0","0.971","interacts with","Hnrnpa1 (interacts with) Hnrnpa3","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000107595","0","false","interacts with","Hnrnpa1 (interacts with) Hnrnpa3"
"14549","0.619","0.325","0.978","0.9","21.21410678","0.25","0","0.0","interacts with","Hnrnpa1 (interacts with) Srsf7","0","10090.ENSMUSP00000042658","10090.ENSMUSP00000070983","0","false","interacts with","Hnrnpa1 (interacts with) Srsf7"
"13407","0.338","0.062","0.564","0.0","21.17693095","0.355","0","0.0","interacts with","Prpf8 (interacts with) Srsf10","0","10090.ENSMUSP00000018449","10090.ENSMUSP00000101479","0","false","interacts with","Prpf8 (interacts with) Srsf10"
