"__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2","5.208530805687204","0.009478672985781991","0.19199272065514103","0.0","2","9","false","Lsp1","4.0","0","2","0","0.8441284886782517","false","0","Lsp1","1884","0.5"
"2","4.829383886255924","0.0","0.2070657507360157","0.0","1","8","false","Ank","13.0","0","1","0","0.8581709671757065","false","0","Ank","0","0.0"
"2","5.1469194312796205","5.642067253441661E-6","0.19429097605893186","0.6666666666666666","3","8","false","Hsd11b2","7.666666666666667","0","3","0","0.8464103914340881","false","0","Hsd11b2","2","0.696969696969697"
"2","4.2274881516587675","0.020438984428545883","0.23654708520179374","0.509090909090909","11","8","false","Dhcr24","9.0","0","11","0","0.8804634017904159","false","0","Dhcr24","6760","0.3103448275862069"
"2","5.355450236966824","0.0","0.18672566371681418","0.0","1","9","false","Fads3","7.0","0","1","0","0.838687028260488","false","0","Fads3","0","0.0"
"2","4.781990521327014","0.0","0.2091179385530228","0.0","1","9","false","Klhl30","14.0","0","1","0","0.8599262769878884","false","0","Klhl30","0","0.0"
"2","5.355450236966824","0.0","0.18672566371681418","0.0","1","9","false","Fam241a","7.0","0","1","0","0.838687028260488","false","0","Fam241a","0","0.0"
"2","4.7725118483412325","0.009478672985781991","0.20953326713008935","0.0","2","9","false","Klhl29","7.5","0","2","0","0.8602773389503248","false","0","Klhl29","1438","0.5"
"2","5.355450236966824","0.0","0.18672566371681418","0.0","1","9","false","Tm6sf1","7.0","0","1","0","0.838687028260488","false","0","Tm6sf1","0","0.0"
"2","3.8341232227488153","0.01891220943353645","0.26081582200247216","0.7051282051282052","13","7","false","Alpl","16.307692307692307","0","13","0","0.8950324732315253","false","0","Alpl","6126","0.5048076923076923"
"2","5.421800947867299","0.0","0.18444055944055943","0.0","1","11","false","Qpct","3.0","0","1","0","0.8362295945234335","false","0","Qpct","0","0.0"
"2","5.2559241706161135","0.0","0.19026149684400362","0.0","1","9","false","Pnpla8","6.0","0","1","0","0.8423731788660699","false","0","Pnpla8","0","0.0"
"2","4.516587677725118","0.0","0.22140608604407136","1.0","2","8","false","Myl4","6.0","0","2","0","0.8697560119361066","false","0","Myl4","0","0.6"
"2","4.090047393364929","0.0","0.2444959443800695","1.0","5","7","false","Gpc1","27.0","0","5","0","0.8855538002457434","false","0","Gpc1","0","1.0"
"2","5.767772511848341","0.0","0.1733771569433032","0.0","1","10","false","Qrich2","2.0","0","1","0","0.8234158328945058","false","0","Qrich2","0","0.0"
"2","5.298578199052133","1.5045512675844429E-5","0.1887298747763864","0.0","2","9","false","Slc4a2","3.5","0","2","0","0.8407934000351062","false","0","Slc4a2","2","0.8333333333333334"
"2","4.312796208530806","0.008460891117968506","0.23186813186813188","0.3333333333333333","4","8","false","Slc12a2","7.5","0","4","0","0.8773038441284887","false","0","Slc12a2","2322","0.31521739130434784"
"2","3.990521327014218","0.05444177415180746","0.2505938242280285","0.16666666666666666","4","7","false","Acsl3","7.5","0","4","0","0.8892399508513252","false","0","Acsl3","14982","0.28"
"2","6.587677725118484","0.009478672985781991","0.15179856115107912","0.0","2","10","false","Osbpl2","2.0","0","2","0","0.7930489731437599","false","0","Osbpl2","2026","0.5"
"2","3.559241706161137","0.08640279169397776","0.2809587217043942","0.5054945054945055","14","7","false","Faf2","9.785714285714286","0","14","0","0.90521327014218","false","0","Faf2","15918","0.25375939849624063"
"2","6.597156398104265","0.0","0.15158045977011494","0.0","1","10","false","Mettl26","3.0","0","1","0","0.7926979111813236","false","0","Mettl26","0","0.0"
"2","4.6350710900473935","0.05868118435090002","0.21574642126789365","0.1","5","8","false","Mgll","3.6","0","5","0","0.8653677374056521","false","0","Mgll","12372","0.23076923076923078"
"2","3.815165876777251","0.0","0.26211180124223604","1.0","10","8","false","Vat1","12.0","0","10","0","0.8957345971563981","false","0","Vat1","0","0.4"
"2","5.601895734597156","0.02825547280523584","0.17851099830795264","0.0","3","9","false","Abhd3","2.6666666666666665","0","3","0","0.8295594172371423","false","0","Abhd3","6070","0.3333333333333333"
"2","5.0","0.0","0.2","1.0","2","10","false","Slc39a8","8.5","0","2","0","0.8518518518518519","false","0","Slc39a8","0","0.7727272727272727"
"2","4.966824644549763","0.009478672985781991","0.20133587786259544","0.3333333333333333","3","9","false","Myo7a","3.3333333333333335","0","3","0","0.8530805687203791","false","0","Myo7a","2384","0.42857142857142855"
"2","2.971563981042654","0.14195256964164693","0.3365231259968102","0.49047619047619045","21","6","false","Gaa","16.857142857142858","0","21","0","0.9269791118132351","false","0","Gaa","35166","0.23026744944553162"
"2","4.360189573459715","0.052671456404287366","0.22934782608695653","0.047619047619047616","7","8","false","Elovl6","4.0","0","7","0","0.8755485343163069","false","0","Elovl6","12170","0.18253968253968253"
"2","3.815165876777251","0.0","0.26211180124223604","1.0","10","8","false","Ist1","12.0","0","10","0","0.8957345971563981","false","0","Ist1","0","0.4"
"2","5.23696682464455","0.01891220943353645","0.19095022624434388","0.0","3","9","false","Lyplal1","2.6666666666666665","0","3","0","0.8430753027909426","false","0","Lyplal1","2790","0.3333333333333333"
"2","3.990521327014218","0.06177912761725196","0.2505938242280285","0.2","6","8","false","Slc26a4","7.5","0","6","0","0.8892399508513252","false","0","Slc26a4","16534","0.1981981981981982"
"2","6.232227488151659","0.0","0.16045627376425856","0.0","1","10","false","Abhd17a","3.0","0","1","0","0.8062137967351238","false","0","Abhd17a","0","0.0"
"2","3.4312796208530805","0.0","0.2914364640883978","1.0","13","7","false","Cystm1","22.076923076923077","0","13","0","0.9099526066350712","false","0","Cystm1","0","0.4905982905982906"
"2","3.815165876777251","0.0","0.26211180124223604","1.0","10","8","false","Padi2","12.0","0","10","0","0.8957345971563981","false","0","Padi2","0","0.4"
"2","5.62085308056872","0.009478672985781991","0.1779089376053963","0.0","2","9","false","Naaa","3.0","0","2","0","0.8288572933122695","false","0","Naaa","2026","0.5"
"2","3.345971563981043","0.08191159821347041","0.2988668555240793","0.6153846153846154","13","7","false","Gca","11.615384615384615","0","13","0","0.9131121642969985","false","0","Gca","17898","0.2150997150997151"
"2","3.890995260663507","0.04103329663059599","0.2570036540803898","0.5111111111111111","10","8","false","Hmbs","8.9","0","10","0","0.8929261014569071","false","0","Hmbs","9162","0.24722222222222223"
"2","3.815165876777251","0.0","0.26211180124223604","1.0","10","8","false","Cyb5r3","12.0","0","10","0","0.8957345971563981","false","0","Cyb5r3","0","0.4"
"2","3.4312796208530805","0.0","0.2914364640883978","1.0","13","7","false","Rap2c","22.076923076923077","0","13","0","0.9099526066350712","false","0","Rap2c","0","0.4905982905982906"
"2","3.815165876777251","0.0","0.26211180124223604","1.0","10","8","false","Gm2a","12.0","0","10","0","0.8957345971563981","false","0","Gm2a","0","0.4"
"2","3.815165876777251","0.0","0.26211180124223604","1.0","10","8","false","Creg1","12.0","0","10","0","0.8957345971563981","false","0","Creg1","0","0.4"
"2","3.938388625592417","0.023393313943933857","0.2539109506618532","0.7857142857142857","8","8","false","Cpox","10.375","0","8","0","0.8911707916447253","false","0","Cpox","6680","0.32421875"
"2","4.341232227488152","0.0","0.23034934497816595","1.0","2","8","false","Trim10","15.5","0","2","0","0.8762506582411795","false","0","Trim10","0","0.7045454545454546"
"2","4.829383886255924","0.0","0.2070657507360157","0.0","1","8","false","Ica","13.0","0","1","0","0.8581709671757065","false","0","Ica","0","0.0"
"2","4.654028436018957","0.0","0.21486761710794297","0.0","1","9","false","Gm10116","16.0","0","1","0","0.8646656134807793","false","0","Gm10116","0","0.0"
"2","4.341232227488152","0.0","0.23034934497816595","0.0","1","8","false","Tpcn1","18.0","0","1","0","0.8762506582411795","false","0","Tpcn1","0","0.0"
"2","5.14218009478673","0.0","0.1944700460829493","1.0","2","9","false","Epb4.1l5","7.5","0","2","0","0.8465859224153063","false","0","Epb4.1l5","0","0.625"
"2","3.5213270142180093","0.09227180563180436","0.2839838492597577","0.19047619047619047","7","6","false","Scarb1","8.0","0","7","0","0.9066175179919256","false","0","Scarb1","17000","0.18466898954703834"
"2","5.156398104265403","0.0","0.19393382352941177","0.0","1","10","false","Epb4.1l4a","8.0","0","1","0","0.8460593294716517","false","0","Epb4.1l4a","0","0.0"
"2","4.161137440758294","0.009478672985781991","0.24031890660592253","0.75","8","9","false","Alad","8.875","0","8","0","0.8829208355274706","false","0","Alad","2076","0.4375"
"2","5.203791469194313","0.0","0.19216757741347906","1.0","2","9","false","Cryl1","11.0","0","2","0","0.8443040196594699","false","0","Cryl1","0","0.8461538461538461"
"2","5.4739336492890995","0.0","0.18268398268398267","1.0","3","10","false","Slc22a4","5.333333333333333","0","3","0","0.8342987537300333","false","0","Slc22a4","0","0.6666666666666666"
"2","3.7251184834123223","0.014869095143231925","0.2684478371501272","0.0","2","6","false","Hk1","12.0","0","2","0","0.8990696857995436","false","0","Hk1","2796","0.5"
"2","3.720379146919431","0.08756827403499774","0.26878980891719745","0.35555555555555557","10","7","false","Srebf2","9.4","0","10","0","0.8992452167807619","false","0","Srebf2","17336","0.23333333333333334"
"2","4.184834123222749","0.031690926766522756","0.23895809739524349","0.2222222222222222","10","7","false","Cyp11a1","6.0","0","10","0","0.8820431806213797","false","0","Cyp11a1","6742","0.2636363636363636"
"2","4.260663507109005","0.02023824523629099","0.2347052280311457","0.0","3","7","false","Akr1b7","5.666666666666667","0","3","0","0.8792346849218887","false","0","Akr1b7","3980","0.3333333333333333"
"2","5.402843601895735","0.0","0.1850877192982456","0.0","1","10","false","Atoh8","9.0","0","1","0","0.836931718448306","false","0","Atoh8","0","0.0"
"2","5.393364928909953","0.009478672985781991","0.18541300527240773","0.0","2","10","false","Twsg1","5.0","0","2","0","0.8372827804107424","false","0","Twsg1","2274","0.5"
"2","5.132701421800948","3.761378168961107E-5","0.1948291782086796","0.6666666666666666","3","9","false","Epb4.1l1","7.0","0","3","0","0.8469369843777427","false","0","Epb4.1l1","4","0.5384615384615384"
"2","5.104265402843602","0.0","0.1959145775301764","0.0","1","8","false","Ghitm","5.0","0","1","0","0.8479901702650517","false","0","Ghitm","0","0.0"
"2","4.151658767772512","0.02156593196705308","0.2408675799086758","0.3484848484848485","12","8","false","Epb4.1","9.083333333333334","0","12","0","0.8832718974899071","false","0","Epb4.1","8962","0.25952380952380955"
"2","4.696682464454977","0.0","0.21291624621594346","0.0","1","9","false","Tenm4","9.0","0","1","0","0.8630858346498157","false","0","Tenm4","0","0.0"
"2","4.360189573459715","0.005745397539631067","0.22934782608695653","0.6181818181818182","11","8","false","Fdft1","9.090909090909092","0","11","0","0.8755485343163069","false","0","Fdft1","2474","0.3787878787878788"
"2","4.464454976303317","0.003773230459319966","0.22399150743099788","0.5333333333333333","6","8","false","Dmtn","8.833333333333334","0","6","0","0.8716868527295069","false","0","Dmtn","1306","0.35333333333333333"
"2","4.682464454976303","7.738766912768267E-4","0.21356275303643724","0.0","2","9","false","Hook1","5.5","0","2","0","0.8636124275934702","false","0","Hook1","120","0.5"
"2","4.1469194312796205","0.004483768215378714","0.24114285714285716","0.5","4","7","false","Pafah2","8.75","0","4","0","0.8834474284711251","false","0","Pafah2","1284","0.3695652173913043"
"2","7.5829383886255926","0.0","0.131875","0.0","1","11","false","Rnf128","2.0","0","1","0","0.756187467087941","false","0","Rnf128","0","0.0"
"2","4.265402843601896","0.00903349580019731","0.23444444444444443","0.47619047619047616","7","8","false","Gypc","8.714285714285714","0","7","0","0.8790591539406705","false","0","Gypc","2532","0.30049261083743845"
"2","4.5545023696682465","0.0","0.21956295525494277","0.0","1","8","false","Ubxn4","14.0","0","1","0","0.8683517640863613","false","0","Ubxn4","0","0.0"
"2","4.071090047393365","0.005329505806190619","0.24563445867287545","0.3333333333333333","3","7","false","Prep","6.666666666666667","0","3","0","0.886255924170616","false","0","Prep","1110","0.37254901960784315"
"2","4.748815165876778","4.2487411184240816E-4","0.21057884231536925","0.0","2","8","false","Apeh","3.5","0","2","0","0.8611549938564157","false","0","Apeh","84","0.5"
"2","4.274881516587678","0.009478672985781991","0.23392461197339243","0.6","5","8","false","Gpd1l","8.2","0","5","0","0.8787080919782342","false","0","Gpd1l","3286","0.3333333333333333"
"2","3.5734597156398102","0.02896249358345635","0.27984084880636606","0.75","8","8","false","Folr1","12.0","0","8","0","0.9046866771985256","false","0","Folr1","11418","0.26988636363636365"
"2","5.251184834123222","0.0","0.1904332129963899","1.0","2","9","false","Mpp1","6.5","0","2","0","0.842548709847288","false","0","Mpp1","0","0.8125"
"2","4.5545023696682465","0.0","0.21956295525494277","0.0","1","8","false","Tomm40l","14.0","0","1","0","0.8683517640863613","false","0","Tomm40l","0","0.0"
"2","4.208530805687204","0.001141930446122797","0.23761261261261263","0.5714285714285714","7","8","false","Epb4.2","12.142857142857142","0","7","0","0.8811655257152887","false","0","Epb4.2","768","0.3794642857142857"
"2","4.194312796208531","0.0","0.23841807909604518","0.0","1","8","false","Scarf1","19.0","0","1","0","0.8816921186589433","false","0","Scarf1","0","0.0"
"2","4.222748815165877","0.027003397347826516","0.23681257014590346","0.3333333333333333","7","8","false","Tmod1","7.428571428571429","0","7","0","0.8806389327716341","false","0","Tmod1","5444","0.2602040816326531"
"2","3.7393364928909953","0.032851149515020675","0.2674271229404309","0.2","5","7","false","Tnnt2","7.4","0","5","0","0.8985430928558891","false","0","Tnnt2","6494","0.24"
