"__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1","3.700990099009901","0.0015107142887481263","0.2701979668271803","0.8201970443349754","29","9","false","Fbxl18","30.75862068965517","0","29","0","0.9778607368933615","false","0","Fbxl18","48116","0.17657550535077288"
"1","4.564356435643564","8.04209816444873E-4","0.2190889370932755","0.0","3","9","false","Rasd2","4.666666666666667","0","3","0","0.9707839636422659","false","0","Rasd2","14284","0.3333333333333333"
"2","4.073927392739274","0.0","0.24546338302009071","1.0","2","9","false","Ank","40.0","0","2","0","0.9748038738300059","false","0","Ank","0","0.547945205479452"
"3","3.302970297029703","0.006034598047499702","0.302757793764988","0.4073170731707317","41","8","false","Sparc","40.073170731707314","0","41","0","0.9811231942866417","false","0","Sparc","235756","0.11912020905923346"
"3","3.9247524752475247","8.13727635140703E-4","0.2547931382441978","0.3333333333333333","4","9","false","Cd248","35.25","0","4","0","0.9760266190553482","false","0","Cd248","15830","0.36082474226804123"
"1","3.702970297029703","4.366186488980148E-4","0.27005347593582885","0.9230769230769231","26","9","false","Pja2","33.03846153846154","0","26","0","0.9778445057620516","false","0","Pja2","5776","0.1875"
"3","3.883168316831683","6.449565958768592E-4","0.2575216726160122","0.1","5","9","false","Nsd1","26.0","0","5","0","0.9763674728128551","false","0","Nsd1","33904","0.2618556701030928"
"4","4.201980198019802","4.4586427677653824E-4","0.23798303487276154","0.06666666666666667","6","9","false","Chd8","5.833333333333333","0","6","0","0.9737542606719689","false","0","Chd8","8404","0.20666666666666667"
"3","3.8514851485148514","0.009590463127301338","0.2596401028277635","0.3333333333333333","13","9","false","Fkbp10","22.307692307692307","0","13","0","0.9766271709138127","false","0","Fkbp10","266290","0.20899854862119013"
"3","3.1986798679867987","0.01130755870668812","0.31262897234832854","0.14616755793226383","34","7","false","Sox9","29.529411764705884","0","34","0","0.9819780338689607","false","0","Sox9","304968","0.07476425684777728"
"5","4.103630363036304","1.47062000486471E-5","0.24368666559433808","0.0","2","9","false","Gas1","31.0","0","2","0","0.9745604068603582","false","0","Gas1","600","0.5084745762711864"
"2","3.6613861386138615","0.0030207144358672905","0.27312060573282854","0.4502923976608187","19","8","false","Alpl","27.105263157894736","0","19","0","0.9781853595195585","false","0","Alpl","87954","0.1528397264347309"
"3","3.8283828382838285","0.002581760385066451","0.26120689655172413","0.2","6","9","false","Sod3","20.666666666666668","0","6","0","0.9768165341124276","false","0","Sod3","87306","0.22916666666666666"
"3","3.77029702970297","2.5748717183587456E-4","0.2652310924369748","0.1","5","8","false","Fbln5","30.6","0","5","0","0.9772926472975166","false","0","Fbln5","14572","0.234375"
"5","5.668646864686469","0.0016482593955201303","0.1764089427107592","0.0","4","10","false","Tbc1d8","1.75","0","4","0","0.9617324027484716","false","0","Tbc1d8","43004","0.25"
"1","3.7016501650165017","1.9058227554680468E-4","0.27014978601997147","0.8809523809523809","28","9","false","Klhl5","31.857142857142858","0","28","0","0.9778553265162582","false","0","Klhl5","17380","0.1820408163265306"
"5","6.667986798679868","0.0","0.1499703029103148","0.0","1","11","false","Lonrf3","4.0","0","1","0","0.9535410918140995","false","0","Lonrf3","0","0.0"
"6","5.147854785478548","5.510028601449336E-4","0.1942556738043339","0.5","4","10","false","Mgst2","4.75","0","4","0","0.9660011902829627","false","0","Mgst2","20938","0.36538461538461536"
"7","7.8316831683168315","0.0013201320132013201","0.1276864728192162","0.0","2","13","false","Ankrd50","2.0","0","2","0","0.9440025969810096","false","0","Ankrd50","35850","0.5"
"6","6.08052805280528","1.4174459284807441E-4","0.16445940078158924","0.6666666666666666","3","11","false","Maob","3.6666666666666665","0","3","0","0.9583563274360223","false","0","Maob","2828","0.5238095238095238"
"1","3.704950495049505","0.0013142810508445725","0.2699091394975949","0.8547008547008547","27","9","false","Rnf144b","31.74074074074074","0","27","0","0.9778282746307417","false","0","Rnf144b","38264","0.18410852713178294"
"5","4.691749174917492","0.0","0.21314012380416433","1.0","2","10","false","Stmn2","10.0","0","2","0","0.9697397608613321","false","0","Stmn2","0","0.6666666666666666"
"1","3.862046204620462","0.0","0.25893009741924455","1.0","2","9","false","Lnx2","66.0","0","2","0","0.97654060488016","false","0","Lnx2","0","0.5409836065573771"
"3","3.5874587458745872","9.003563337251826E-4","0.2787488500459982","0.36796536796536794","22","8","false","Itga8","34.68181818181818","0","22","0","0.9787913217551264","false","0","Itga8","57808","0.1835016835016835"
"8","6.324092409240924","0.0","0.15812545663291933","0.0","1","11","false","Slc6a8","2.0","0","1","0","0.9563598982849105","false","0","Slc6a8","0","0.0"
