"SUID","__glayCluster","name","selected","shared name"
"4537","6","Tbx20","false","Tbx20"
"3097","1","Tvp23a","false","Tvp23a"
"3525","6","Zfp422","false","Zfp422"
"3526","8","Fam167a","false","Fam167a"
"4538","4","Myl4","false","Myl4"
"4539","6","Tbx5","false","Tbx5"
"3892","3","Ushbp1","false","Ushbp1"
"3893","3","Cdc42ep1","false","Cdc42ep1"
"3894","2","Cep55","false","Cep55"
"3529","6","Plch2","false","Plch2"
"4540","6","Actg2","false","Actg2"
"3530","1","Zfyve19","false","Zfyve19"
"3895","2","Prr11","false","Prr11"
"4541","6","Myl6","false","Myl6"
"3896","2","Nusap1","false","Nusap1"
"3098","2","Tubb1","false","Tubb1"
"3531","6","Fam122a","false","Fam122a"
"3897","6","Pkn1","false","Pkn1"
"3099","1","Trp53bp2","false","Trp53bp2"
"4542","6","Actc1","false","Actc1"
"3100","1","Zfp362","false","Zfp362"
"4543","5","Postn","false","Postn"
"3534","2","Zfp212","false","Zfp212"
"3535","2","Fam102b","false","Fam102b"
"4544","6","Myl12b","false","Myl12b"
"3536","2","Pcmt1","false","Pcmt1"
"4545","5","Serpine1","false","Serpine1"
"3537","2","Sgtb","false","Sgtb"
"3538","2","Fam102a","false","Fam102a"
"4546","6","Fscn1","false","Fscn1"
"3539","23","Gstz1","false","Gstz1"
"3540","23","Fah","false","Fah"
"3898","2","Stx17","false","Stx17"
"4547","5","Pdgfrb","false","Pdgfrb"
"4548","6","Sorbs3","false","Sorbs3"
"3899","5","Tgfa","false","Tgfa"
"3101","22","Tspan15","false","Tspan15"
"4549","6","Csrp2","false","Csrp2"
"3102","22","Tspan2","false","Tspan2"
"3541","4","Ubxn4","false","Ubxn4"
"3103","9","Zfp775","false","Zfp775"
"4550","5","Timp1","false","Timp1"
"4551","5","Tgfb1","false","Tgfb1"
"3104","2","Ttc38","false","Ttc38"
"3542","4","Tomm40l","false","Tomm40l"
"3543","2","Tmed4","false","Tmed4"
"4552","6","Acta2","false","Acta2"
"3105","2","Tmed1","false","Tmed1"
"4553","6","Calm1","false","Calm1"
"4554","6","Mtss1","false","Mtss1"
"4555","6","Myh11","false","Myh11"
"3544","1","Ripk1","false","Ripk1"
"4556","6","Fmnl3","false","Fmnl3"
"3545","1","Mlkl","false","Mlkl"
"4557","6","Lmod1","false","Lmod1"
"4558","6","Tagln","false","Tagln"
"4559","6","Myh10","false","Myh10"
"3301","1","Lgr6","false","Lgr6"
"4560","4","Tmod1","false","Tmod1"
"3106","9","Trpt1","false","Trpt1"
"4561","4","Tnnt2","false","Tnnt2"
"3107","9","Thyn1","false","Thyn1"
"4562","6","Myl9","false","Myl9"
"3900","5","Mcam","false","Mcam"
"4563","6","Mtss1l","false","Mtss1l"
"3901","4","Gypa","false","Gypa"
"4564","5","Fn1","false","Fn1"
"4565","6","Phactr2","false","Phactr2"
"4566","5","Col1a2","false","Col1a2"
"4567","5","Fbn1","false","Fbn1"
"4568","5","Vim","false","Vim"
"4569","6","Mylk","false","Mylk"
"3546","6","Fabp3","false","Fabp3"
"3902","5","Gata1","false","Gata1"
"4570","6","Smtn","false","Smtn"
"3302","1","Tmem132c","false","Tmem132c"
