"SUID","EdgeBetweenness","interaction","name","regulatoryGene","selected","shared interaction","shared name","weight"
"24090","45.456809","interacts with","Ruvbl2 (interacts with) Nop2","ENSMUSG00000003868","false","interacts with","Ruvbl2 (interacts with) Nop2","0.0279511728527181"
"24093","34.84007757","interacts with","Atf7ip (interacts with) Csnk1e","ENSMUSG00000030213","false","interacts with","Atf7ip (interacts with) Csnk1e","0.027939945774835"
"24095","34.86775631","interacts with","Hat1 (interacts with) Psme3","ENSMUSG00000027018","false","interacts with","Hat1 (interacts with) Psme3","0.027932873427243"
"24096","45.33462881","interacts with","Ddx1 (interacts with) Pum2","ENSMUSG00000037149","false","interacts with","Ddx1 (interacts with) Pum2","0.0279273083202264"
"20000","71.51917692","interacts with","Dnmt3b (interacts with) Dag1","ENSMUSG00000027478","false","interacts with","Dnmt3b (interacts with) Dag1","0.0749395016296236"
"24103","28.28192139","interacts with","Nsd2 (interacts with) Csde1","ENSMUSG00000057406","false","interacts with","Nsd2 (interacts with) Csde1","0.0279177930866359"
"24104","17.83979736","interacts with","Tfdp1 (interacts with) Ccm2","ENSMUSG00000038482","false","interacts with","Tfdp1 (interacts with) Ccm2","0.0279151741744517"
"24105","32.52107169","interacts with","Gpbp1 (interacts with) Entpd1","ENSMUSG00000032745","false","interacts with","Gpbp1 (interacts with) Entpd1","0.0279098324058124"
"24107","38.32677034","interacts with","Zzz3 (interacts with) Smad2","ENSMUSG00000039068","false","interacts with","Zzz3 (interacts with) Smad2","0.0278983778353415"
"20011","14.97749697","interacts with","Nelfe (interacts with) Id3","ENSMUSG00000024369","false","interacts with","Nelfe (interacts with) Id3","0.0740779439520936"
"24110","58.45120933","interacts with","Supt20 (interacts with) Rab14","ENSMUSG00000027751","false","interacts with","Supt20 (interacts with) Rab14","0.0278942300464511"
"24111","56.28611876","interacts with","Tfdp1 (interacts with) Idi1","ENSMUSG00000038482","false","interacts with","Tfdp1 (interacts with) Idi1","0.0278938853865855"
"24112","32.6022453","interacts with","Gpbp1 (interacts with) Pcbp2","ENSMUSG00000032745","false","interacts with","Gpbp1 (interacts with) Pcbp2","0.0278937324824456"
"24117","29.92413597","interacts with","Hat1 (interacts with) Hmgn2","ENSMUSG00000027018","false","interacts with","Hat1 (interacts with) Hmgn2","0.0278839739686023"
"24120","18.3280146","interacts with","Setd2 (interacts with) Nudcd1","ENSMUSG00000044791","false","interacts with","Setd2 (interacts with) Nudcd1","0.0278824917012204"
"20024","30.78317197","interacts with","Yeats2 (interacts with) Utp6","ENSMUSG00000041215","false","interacts with","Yeats2 (interacts with) Utp6","0.0715477179841141"
"24123","13.65390674","interacts with","Kdm5b (interacts with) Snx17","ENSMUSG00000042207","false","interacts with","Kdm5b (interacts with) Snx17","0.0278777177379731"
"24127","13.75646182","interacts with","Cops2 (interacts with) Gabpa","ENSMUSG00000027206","false","interacts with","Cops2 (interacts with) Gabpa","0.0278662587138478"
"24130","26.85810154","interacts with","Yeats2 (interacts with) Srp72","ENSMUSG00000041215","false","interacts with","Yeats2 (interacts with) Srp72","0.0278605264579884"
"24131","30.5965938","interacts with","Gabpa (interacts with) Mpzl1","ENSMUSG00000008976","false","interacts with","Gabpa (interacts with) Mpzl1","0.027858070358873"
"24132","18.67123618","interacts with","Tfdp1 (interacts with) Nap1l4","ENSMUSG00000038482","false","interacts with","Tfdp1 (interacts with) Nap1l4","0.0278549193297933"
"20039","76.44011397","interacts with","Hmgb3 (interacts with) Senp2","ENSMUSG00000015217","false","interacts with","Hmgb3 (interacts with) Senp2","0.0706075917253777"
"24136","25.34989451","interacts with","Nelfe (interacts with) Srp72","ENSMUSG00000024369","false","interacts with","Nelfe (interacts with) Srp72","0.0278532914963653"
"24138","32.36609815","interacts with","Nsd2 (interacts with) Get4","ENSMUSG00000057406","false","interacts with","Nsd2 (interacts with) Get4","0.0278479143287983"
"24140","24.10642583","interacts with","Atf7ip (interacts with) Ebag9","ENSMUSG00000030213","false","interacts with","Atf7ip (interacts with) Ebag9","0.027847417766306"
"24141","15.05578693","interacts with","Supt20 (interacts with) Ccm2","ENSMUSG00000027751","false","interacts with","Supt20 (interacts with) Ccm2","0.0278470129838574"
"24142","16.26531216","interacts with","Arhgap5 (interacts with) Pum2","ENSMUSG00000035133","false","interacts with","Arhgap5 (interacts with) Pum2","0.0278453381042105"
"24143","38.36689717","interacts with","Ice1 (interacts with) Leprot","ENSMUSG00000034525","false","interacts with","Ice1 (interacts with) Leprot","0.0278435957379814"
"24145","31.66588137","interacts with","Ice1 (interacts with) Cbx1","ENSMUSG00000034525","false","interacts with","Ice1 (interacts with) Cbx1","0.0278373443736096"
"24146","11.27218906","interacts with","Taf1 (interacts with) Ube3a","ENSMUSG00000031314","false","interacts with","Taf1 (interacts with) Ube3a","0.0278362526048143"
"24147","45.00460954","interacts with","Ecd (interacts with) Esrp1","ENSMUSG00000021810","false","interacts with","Ecd (interacts with) Esrp1","0.0278236553295147"
"24148","42.64594367","interacts with","Yeats2 (interacts with) Lamtor3","ENSMUSG00000041215","false","interacts with","Yeats2 (interacts with) Lamtor3","0.027821763444698"
"24152","19.77942355","interacts with","Irx4 (interacts with) Pcnp","ENSMUSG00000021604","false","interacts with","Irx4 (interacts with) Pcnp","0.0278164732664676"
"24153","40.26623448","interacts with","Zzz3 (interacts with) Mapkapk2","ENSMUSG00000039068","false","interacts with","Zzz3 (interacts with) Mapkapk2","0.0278158194637793"
"24155","30.00442882","interacts with","Ecd (interacts with) Slc3a2","ENSMUSG00000021810","false","interacts with","Ecd (interacts with) Slc3a2","0.0278118052687677"
"24156","41.84905465","interacts with","Ecd (interacts with) Ccdc43","ENSMUSG00000021810","false","interacts with","Ecd (interacts with) Ccdc43","0.0278081108791999"
"24158","26.70876789","interacts with","Naa15 (interacts with) Csde1","ENSMUSG00000063273","false","interacts with","Naa15 (interacts with) Csde1","0.0277953874094965"
"24159","40.12062784","interacts with","Naa15 (interacts with) Hmgn2","ENSMUSG00000063273","false","interacts with","Naa15 (interacts with) Hmgn2","0.0277950797966503"
"24162","15.2794871","interacts with","Smad2 (interacts with) Pum3","ENSMUSG00000024563","false","interacts with","Smad2 (interacts with) Pum3","0.0277871706089642"
"20067","18.58097623","interacts with","Tcf25 (interacts with) Ankle2","ENSMUSG00000001472","false","interacts with","Tcf25 (interacts with) Ankle2","0.0680898253387943"
"24164","31.31377642","interacts with","Naa15 (interacts with) Arhgef12","ENSMUSG00000063273","false","interacts with","Naa15 (interacts with) Arhgef12","0.0277769274452168"
"24165","32.83114487","interacts with","Hnrnpd (interacts with) Cul4b","ENSMUSG00000000568","false","interacts with","Hnrnpd (interacts with) Cul4b","0.0277751461671734"
"24166","42.0433377","interacts with","Ecd (interacts with) Polg","ENSMUSG00000021810","false","interacts with","Ecd (interacts with) Polg","0.0277749506757518"
"24167","19.23002362","interacts with","Hat1 (interacts with) Pcbp2","ENSMUSG00000027018","false","interacts with","Hat1 (interacts with) Pcbp2","0.0277732379740863"
"24169","61.24263993","interacts with","Suds3 (interacts with) Nop2","ENSMUSG00000066900","false","interacts with","Suds3 (interacts with) Nop2","0.0277691619595179"
"24171","18.67123618","interacts with","Tfdp1 (interacts with) Srsf1","ENSMUSG00000038482","false","interacts with","Tfdp1 (interacts with) Srsf1","0.0277680317781329"
"24173","49.15299109","interacts with","Csde1 (interacts with) Ywhae","ENSMUSG00000068823","false","interacts with","Csde1 (interacts with) Ywhae","0.0277584064649744"
"24174","59.13147064","interacts with","Gpbp1 (interacts with) Cmah","ENSMUSG00000032745","false","interacts with","Gpbp1 (interacts with) Cmah","0.0277572883504635"
"24178","9.41579141","interacts with","Ezh2 (interacts with) Nap1l4","ENSMUSG00000029687","false","interacts with","Ezh2 (interacts with) Nap1l4","0.0277487446859774"
