regulatoryGene	targetGene	weight	extRegulatoryGene	extTargetGene
ENSMUSG00000031134	ENSMUSG00000020986	0.088002518348107	Rbmx	Sec23a
ENSMUSG00000031134	ENSMUSG00000022853	0.0862575405306774	Rbmx	Ehhadh
ENSMUSG00000034042	ENSMUSG00000020986	0.0862234417816108	Gpbp1l1	Sec23a
ENSMUSG00000031161	ENSMUSG00000035799	0.0854464686688353	Hdac6	Twist1
ENSMUSG00000031134	ENSMUSG00000020687	0.0836765960794902	Rbmx	Cdc27
ENSMUSG00000042750	ENSMUSG00000032058	0.0836757342944049	Bex2	Ppp2r1b
ENSMUSG00000031134	ENSMUSG00000006024	0.0833082318647879	Rbmx	Napa
ENSMUSG00000027478	ENSMUSG00000020986	0.0822214601146064	Dnmt3b	Sec23a
ENSMUSG00000027230	ENSMUSG00000032058	0.0812028164846852	Creb3l1	Ppp2r1b
ENSMUSG00000031161	ENSMUSG00000067276	0.0809877954083092	Hdac6	Capn6
ENSMUSG00000015217	ENSMUSG00000019338	0.0803051122828985	Hmgb3	Zfp687
ENSMUSG00000007872	ENSMUSG00000052593	0.0802686634732923	Id3	Adam17
ENSMUSG00000042750	ENSMUSG00000019338	0.078555862380653	Bex2	Zfp687
ENSMUSG00000015217	ENSMUSG00000025268	0.0784866927517954	Hmgb3	Maged2
ENSMUSG00000022178	ENSMUSG00000020986	0.0781473706630519	Ajuba	Sec23a
ENSMUSG00000031134	ENSMUSG00000036768	0.077789336735859	Rbmx	Kif15
ENSMUSG00000042750	ENSMUSG00000025268	0.0777841562525486	Bex2	Maged2
ENSMUSG00000031134	ENSMUSG00000053436	0.077687352226248	Rbmx	Mapk14
ENSMUSG00000031134	ENSMUSG00000036202	0.0774897912293979	Rbmx	Rif1
ENSMUSG00000007415	ENSMUSG00000053436	0.0774259474313509	Gatad1	Mapk14
ENSMUSG00000090083	ENSMUSG00000052593	0.0772626411767844	Rnf8	Adam17
ENSMUSG00000022961	ENSMUSG00000035799	0.0771111020575465	Son	Twist1
ENSMUSG00000027230	ENSMUSG00000039952	0.0762314067901387	Creb3l1	Dag1
ENSMUSG00000007415	ENSMUSG00000023832	0.0756406723539243	Gatad1	Acat2
ENSMUSG00000031134	ENSMUSG00000047757	0.0750850257208325	Rbmx	Fancb
ENSMUSG00000027478	ENSMUSG00000039952	0.0749395016296236	Dnmt3b	Dag1
ENSMUSG00000035873	ENSMUSG00000007872	0.0748814771692363	Pawr	Id3
ENSMUSG00000031134	ENSMUSG00000061665	0.0747498042711281	Rbmx	Cd2ap
ENSMUSG00000060373	ENSMUSG00000052593	0.0742547274444017	Hnrnpc	Adam17
ENSMUSG00000042750	ENSMUSG00000031078	0.0742483501284554	Bex2	Cttn
ENSMUSG00000015217	ENSMUSG00000032058	0.0741152688894146	Hmgb3	Ppp2r1b
ENSMUSG00000024369	ENSMUSG00000007872	0.0740779439520936	Nelfe	Id3
ENSMUSG00000031134	ENSMUSG00000025195	0.0738861966213786	Rbmx	Dnmbp
ENSMUSG00000022961	ENSMUSG00000032058	0.0735360242526458	Son	Ppp2r1b
ENSMUSG00000031134	ENSMUSG00000042507	0.073267815926133	Rbmx	Elmsan1
ENSMUSG00000027230	ENSMUSG00000031161	0.0730299728045639	Creb3l1	Hdac6
ENSMUSG00000027230	ENSMUSG00000035478	0.0729918233295603	Creb3l1	Mbd3
ENSMUSG00000035799	ENSMUSG00000020964	0.0727347040986531	Twist1	Sel1l
