"SUID","__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"20068","1","2.83613445","0.0","0.35259259","0.0","1","4","false","Cacul1","69.0","1","0","0","0.63277311","false","0","Cacul1","0","0.0"
"23652","1","2.69327731","9.67E-5","0.37129485","0.4","5","4","false","Qrich1","40.4","5","0","0","0.66134454","false","0","Qrich1","184","0.4962963"
"27238","1","3.21848739","0.0","0.31070496","0.0","1","5","false","Slc30a1","38.0","1","0","0","0.55630252","false","0","Slc30a1","0","0.0"
"20070","1","1.94537815","0.03417008","0.51403888","0.23060797","58","4","false","Mtf1","22.12962963","58","0","4","0.81092437","false","0","Mtf1","25154","0.11176581"
"20071","1","2.60504202","1.656E-5","0.38387097","0.9047619","7","4","false","Fyttd1","59.0","7","0","0","0.6789916","false","0","Fyttd1","34","0.52678571"
"20584","1","2.23529412","0.00114433","0.44736842","0.61111111","9","3","false","Vps53","53.44444444","9","0","0","0.75294118","false","0","Vps53","2250","0.30892742"
"20076","1","2.17647059","0.00180597","0.45945946","0.38181818","11","4","false","Larp4","44.81818182","11","0","0","0.76470588","false","0","Larp4","2754","0.24095797"
"20078","1","2.83613445","0.0","0.35259259","0.0","1","4","false","Prc1","69.0","1","0","0","0.63277311","false","0","Prc1","0","0.0"
"24175","1","2.61764706","8.228E-5","0.38202247","0.33333333","3","4","false","Emc1","44.66666667","3","0","0","0.67647059","false","0","Emc1","138","0.47163121"
"20080","1","2.3907563","8.2995E-4","0.41827768","0.41666667","9","4","false","Degs1","42.11111111","9","0","0","0.72184874","false","0","Degs1","1154","0.30295763"
"20082","1","2.49579832","3.2956E-4","0.4006734","0.6","5","4","false","Gldc","40.4","5","0","0","0.70084034","false","0","Gldc","626","0.34827586"
"27257","1","3.13445378","0.0","0.31903485","0.0","1","5","false","Igf2r","40.0","1","0","0","0.57310924","false","0","Igf2r","0","0.0"
"21625","1","2.83613445","0.0","0.35259259","0.0","1","4","false","Zc3hav1l","69.0","1","0","0","0.63277311","false","0","Zc3hav1l","0","0.0"
"20091","1","2.28571429","0.01530711","0.4375","0.08902439","41","4","false","Chd8","14.07317073","41","0","0","0.74285714","false","0","Chd8","8288","0.10806754"
"20092","1","2.28571429","3.4154E-4","0.4375","0.38888889","9","4","false","Srrm1","47.0","9","0","0","0.74285714","false","0","Srrm1","622","0.29012346"
"23678","1","2.80672269","9.454E-5","0.35628743","0.5","4","5","false","Eif1ax","22.75","4","0","0","0.63865546","false","0","Eif1ax","52","0.38559322"
"20094","1","2.60504202","1.656E-5","0.38387097","0.9047619","7","4","false","Ugdh","59.0","7","0","0","0.6789916","false","0","Ugdh","34","0.52678571"
"21119","1","2.60504202","1.656E-5","0.38387097","0.9047619","7","4","false","Tiam1","59.0","7","0","0","0.6789916","false","0","Tiam1","34","0.52678571"
"20097","1","2.28991597","0.01865208","0.43669725","0.3022942","40","4","false","Kmt5b","21.51282051","40","0","1","0.74201681","false","0","Kmt5b","11366","0.15458403"
"20098","1","2.03361345","0.03987117","0.49173554","0.21364357","70","4","false","Tcf7l1","21.96774194","70","0","8","0.79327731","false","0","Tcf7l1","21130","0.12837201"
"20100","1","2.28151261","5.4215E-4","0.43830571","0.37777778","10","4","false","Ung","43.9","10","0","0","0.74369748","false","0","Ung","902","0.27098765"
"20102","1","2.14285714","0.01906706","0.46666667","0.18963922","49","3","false","Ssbp3","19.82978723","49","0","2","0.77142857","false","0","Ssbp3","10934","0.12630438"
"20103","1","2.45798319","3.0574E-4","0.40683761","0.47272727","11","4","false","Rsrp1","47.0","11","0","0","0.70840336","false","0","Rsrp1","516","0.38842975"
"25736","1","2.87394958","0.0","0.34795322","1.0","2","5","false","Epb41l1","60.0","2","0","0","0.62521008","false","0","Epb41l1","0","0.88235294"
"20619","1","2.70168067","0.0","0.37013997","1.0","3","4","false","Akap8","55.33333333","3","0","0","0.65966387","false","0","Akap8","0","0.72807018"
"20108","1","1.9789916","0.03886865","0.50530786","0.09390244","41","4","false","Nsd1","18.19512195","41","0","0","0.80420168","false","0","Nsd1","17114","0.08995412"
"21645","1","2.33193277","2.6967E-4","0.42882883","0.42857143","8","4","false","Tipin","41.25","8","0","0","0.73361345","false","0","Tipin","430","0.26442308"
