"__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1","4.778368794326241","0.0","0.20927643784786643","0.0","1","8","false","Gstp1","4.0","0","1","0","0.935959850943623","false","0","Gstp1","0","0.0"
"1","3.780141843971631","0.01101618567099267","0.26454033771106944","0.0","4","7","false","Rassf1","9.0","0","4","0","0.9528789517970909","false","0","Rassf1","14542","0.25"
"1","4.391843971631205","1.7699224230946884E-5","0.22769479208720228","0.6666666666666666","3","8","false","Arhgef7","10.0","0","3","0","0.9425111191248948","false","0","Arhgef7","48","0.5882352941176471"
"4","4.040780141843972","1.7192902028874284E-5","0.24747696358051774","0.8571428571428571","8","7","false","Guf1","22.375","0","8","0","0.9484613535280683","false","0","Guf1","52","0.48641304347826086"
"1","3.982269503546099","3.1773654795460047E-4","0.25111308993766696","0.5","4","7","false","Elf5","9.0","0","4","0","0.9494530592619305","false","0","Elf5","614","0.33653846153846156"
"1","3.4574468085106385","0.01143887509831137","0.28923076923076924","0.10714285714285714","8","7","false","Pak1","12.625","0","8","0","0.9583483591777858","false","0","Pak1","26620","0.16166666666666665"
"1","3.132978723404255","0.0231157702188578","0.31918505942275044","0.21568627450980393","18","6","false","Gata3","16.27777777777778","0","18","0","0.9638478182473855","false","0","Gata3","57666","0.1111111111111111"
"7","3.7180851063829787","1.7415855564557837E-4","0.26895565092989987","0.8681318681318682","14","7","false","Arih2","18.214285714285715","0","14","0","0.953930760908763","false","0","Arih2","350","0.24951076320939333"
"7","3.9290780141843973","0.0","0.2545126353790614","1.0","2","7","false","Ube2l3","31.0","0","2","0","0.9503546099290779","false","0","Ube2l3","0","0.6458333333333334"
"2","3.448581560283688","0.0013174295044131423","0.289974293059126","0.8055555555555556","9","6","false","Hbb-bs","20.555555555555557","0","9","0","0.9584986176223104","false","0","Hbb-bs","4794","0.2447089947089947"
"1","3.608156028368794","0.009082950516978583","0.27714987714987716","0.4","6","7","false","Tfap2c","12.166666666666666","0","6","0","0.9557939656208678","false","0","Tfap2c","16018","0.24489795918367346"
"7","3.6932624113475176","2.2222589216563246E-4","0.27076332213154103","0.8761904761904762","15","7","false","Fbxo6","18.333333333333332","0","15","0","0.9543514845534319","false","0","Fbxo6","1266","0.23809523809523808"
"2","3.4095744680851063","0.0048259731852753115","0.29329173166926675","0.5512820512820513","13","6","false","Lrg1","17.53846153846154","0","13","0","0.9591597547782186","false","0","Lrg1","13328","0.19103972950126796"
"5","6.216312056737588","0.0","0.16086708499714775","0.0","1","10","false","Elovl5","3.0","0","1","0","0.9115879312417359","false","0","Elovl5","0","0.0"
"7","3.6932624113475176","2.2222589216563246E-4","0.27076332213154103","0.8761904761904762","15","7","false","Fbxo27","18.333333333333332","0","15","0","0.9543514845534319","false","0","Fbxo27","1266","0.23809523809523808"
"2","3.4202127659574466","5.723746733060078E-4","0.2923794712286159","0.7818181818181819","11","6","false","Gsdmd","19.90909090909091","0","11","0","0.9589794446447891","false","0","Gsdmd","2122","0.2236976506639428"
"4","3.9273049645390072","0.0035460992907801418","0.254627539503386","0.0","2","7","false","Engase","24.5","0","2","0","0.950384661617983","false","0","Engase","6624","0.5"
"4","4.925531914893617","0.0","0.20302375809935205","0.0","1","8","false","Man2a2","2.0","0","1","0","0.9334655607645149","false","0","Man2a2","0","0.0"
