"SUID","__glayCluster","name","selected","shared name"
"389","1","Ept1","false","Ept1"
"390","1","Pla2g5","false","Pla2g5"
"391","1","Pla2g2d","false","Pla2g2d"
"392","1","Pla2g2f","false","Pla2g2f"
"393","1","Pla2g12a","false","Pla2g12a"
"183","2","Ifit3b","false","Ifit3b"
"394","1","Pla2g7","false","Pla2g7"
"395","1","Cept1","false","Cept1"
"397","3","Dll4","false","Dll4"
"398","4","Scg5","false","Scg5"
"184","2","Ifi27l2a","false","Ifi27l2a"
"185","2","Ifi27","false","Ifi27"
"186","2","Sp100","false","Sp100"
"399","5","Cts7","false","Cts7"
"72","6","Vps37b","false","Vps37b"
"400","5","Cts8","false","Cts8"
"73","2","Ube2t","false","Ube2t"
"187","7","Slc37a2","false","Slc37a2"
"74","6","Trim27","false","Trim27"
"401","3","Lcp1","false","Lcp1"
"188","7","Tysnd1","false","Tysnd1"
"189","7","Htra1","false","Htra1"
"190","3","Mllt4","false","Mllt4"
"77","8","Tmem209","false","Tmem209"
"402","3","Slc15a3","false","Slc15a3"
"78","5","Tmem54","false","Tmem54"
"79","6","Tomm5","false","Tomm5"
"191","9","Icmt","false","Icmt"
"80","6","Timm8a1","false","Timm8a1"
"192","9","Rps6ka2","false","Rps6ka2"
"193","9","Map2k3","false","Map2k3"
"194","9","Ppp5c","false","Ppp5c"
"403","9","Sptbn4","false","Sptbn4"
"197","8","Tial1","false","Tial1"
"404","9","Kdelr3","false","Kdelr3"
"81","2","Sp110","false","Sp110"
"198","8","Hnrnpf","false","Hnrnpf"
"82","8","Ssbp1","false","Ssbp1"
"199","5","Pmm1","false","Pmm1"
"83","9","Slc6a4","false","Slc6a4"
"405","3","Ms4a6b","false","Ms4a6b"
"406","3","Mpeg1","false","Mpeg1"
"200","5","Slc16a3","false","Slc16a3"
"407","10","Srgn","false","Srgn"
"86","5","Slc25a19","false","Slc25a19"
"87","5","Slc38a3","false","Slc38a3"
"202","9","Metap2","false","Metap2"
"203","9","Hdc","false","Hdc"
"408","5","Cd74","false","Cd74"
"409","3","Selplg","false","Selplg"
"410","3","Cd52","false","Cd52"
"91","9","Sema6a","false","Sema6a"
"411","3","Ptk2b","false","Ptk2b"
"204","3","Hbb-bt","false","Hbb-bt"
"92","5","Sat1","false","Sat1"
"205","9","Hs1bp3","false","Hs1bp3"
"206","9","Klc2","false","Klc2"
"207","9","Hap1","false","Hap1"
"208","5","Ppp1r3b","false","Ppp1r3b"
"93","3","Samsn1","false","Samsn1"
"412","3","Ms4a4a","false","Ms4a4a"
"97","3","Rufy4","false","Rufy4"
"209","6","Guf1","false","Guf1"
"210","7","Rassf1","false","Rassf1"
"211","7","Gstp1","false","Gstp1"
"413","2","Zbp1","false","Zbp1"
"414","3","Vsir","false","Vsir"
"212","5","Slc25a15","false","Slc25a15"
"415","3","Cd200","false","Cd200"
"213","9","Irs3","false","Irs3"
"214","9","Il6st","false","Il6st"
"215","9","Rab13","false","Rab13"
"217","11","Slc35a1","false","Slc35a1"
"218","11","Gne","false","Gne"
"416","3","Ms4a6d","false","Ms4a6d"
"417","3","Ly86","false","Ly86"
"418","3","Spi1","false","Spi1"
"219","5","Slc1a5","false","Slc1a5"
"222","6","Mrps17","false","Mrps17"
"223","6","Metap1d","false","Metap1d"
"224","6","Gfm2","false","Gfm2"
"225","7","Satb1","false","Satb1"
"98","9","Syde2","false","Syde2"
"421","1","Kiss1r","false","Kiss1r"
"422","1","Tac2","false","Tac2"
"423","1","Plcb3","false","Plcb3"
"424","3","Cxcl14","false","Cxcl14"
"226","7","Slamf1","false","Slamf1"
"227","9","Th","false","Th"
"99","9","Rabggtb","false","Rabggtb"
"228","6","Timm13","false","Timm13"
"425","3","Serpinb9","false","Serpinb9"
"100","9","Rabggta","false","Rabggta"
"229","9","Hax1","false","Hax1"
"101","9","Tacstd2","false","Tacstd2"
"426","2","Ifit2","false","Ifit2"
"230","5","G6pc3","false","G6pc3"
"102","9","Rab8b","false","Rab8b"
"427","3","Serpinb9g","false","Serpinb9g"
"428","3","Il1rn","false","Il1rn"
"429","2","Gbp2","false","Gbp2"
"430","3","Il15","false","Il15"
"231","3","Scara5","false","Scara5"
"232","5","Inhbb","false","Inhbb"
"431","3","Cd274","false","Cd274"
"434","2","Tdo2","false","Tdo2"
"435","2","Ccbl2","false","Ccbl2"
"436","6","Rpl10a","false","Rpl10a"
"233","3","Nenf","false","Nenf"
"437","6","Rps15a","false","Rps15a"
"438","6","Eef1d","false","Eef1d"
"439","6","Rpl3","false","Rpl3"
"440","6","Tars2","false","Tars2"
"234","9","Shc2","false","Shc2"
"441","12","Mllt6","false","Mllt6"
"442","6","Rpl11","false","Rpl11"
"443","6","Rpl13a","false","Rpl13a"
"103","6","Shtn1","false","Shtn1"
"444","6","Rps25","false","Rps25"
"235","9","Spry2","false","Spry2"
"445","6","Rps9","false","Rps9"
"236","9","Fgfr1","false","Fgfr1"
"104","3","Prl8a9","false","Prl8a9"
"237","9","Fgf11","false","Fgf11"
"446","3","Card9","false","Card9"
"238","9","Fes","false","Fes"
"447","3","Ezr","false","Ezr"
"448","3","Capn1","false","Capn1"
"239","9","Myo1c","false","Myo1c"
"449","12","Myl6","false","Myl6"
"240","3","Ms4a6c","false","Ms4a6c"
"450","12","Itga1","false","Itga1"
"106","5","Ptgis","false","Ptgis"
"451","12","Cald1","false","Cald1"
"241","3","Themis2","false","Themis2"
"452","3","C5ar2","false","C5ar2"
"242","3","Fgr","false","Fgr"
"453","3","Ccl5","false","Ccl5"
"454","3","Lyz2","false","Lyz2"
"455","5","Ctsa","false","Ctsa"
"456","3","Cxcl1","false","Cxcl1"
"457","5","Ear2","false","Ear2"
"458","3","Hcar2","false","Hcar2"
"459","5","Plac8","false","Plac8"
"460","2","Ifitm1","false","Ifitm1"
"461","3","Frk","false","Frk"
"462","5","Ear6","false","Ear6"
"463","5","Calu","false","Calu"
"464","5","Pygb","false","Pygb"
"465","5","ENSMUSG00000050088","false","ENSMUSG00000050088"
"466","6","Pa2g4","false","Pa2g4"
"467","3","Cr1l","false","Cr1l"
"468","3","Hp","false","Hp"
"243","2","Fhl3","false","Fhl3"
"469","5","Fstl3","false","Fstl3"
"244","2","Nfkbia","false","Nfkbia"
"470","5","Stc2","false","Stc2"
"471","3","Ccl6","false","Ccl6"
"472","1","Scin","false","Scin"
"473","3","C3","false","C3"
"476","6","Eif1","false","Eif1"
"477","6","Bzw2","false","Bzw2"
"245","2","Gm28048","false","Gm28048"
"478","2","Ifit3","false","Ifit3"
"479","2","Samhd1","false","Samhd1"
"480","2","Stat1","false","Stat1"
"481","2","Ifit1","false","Ifit1"
"482","2","Oas2","false","Oas2"
"483","2","Trim30a","false","Trim30a"
"484","2","Irf9","false","Irf9"
"246","8","Tmem126a","false","Tmem126a"
"485","2","Parp9","false","Parp9"
"486","3","Ly6c2","false","Ly6c2"
"247","9","Fam110c","false","Fam110c"
"487","3","Cxcl10","false","Cxcl10"
"248","3","F3","false","F3"
"108","10","Tex264","false","Tex264"
"488","2","Ddx58","false","Ddx58"
"489","2","Rtp4","false","Rtp4"
"109","10","Pcyox1l","false","Pcyox1l"
"249","3","Spn","false","Spn"
"490","2","Irf7","false","Irf7"
"250","3","Sdc3","false","Sdc3"
"491","2","Ifitm3","false","Ifitm3"
"251","3","Hs3st1","false","Hs3st1"
"252","3","Ext1","false","Ext1"
"492","2","Brd3","false","Brd3"
"493","5","Pgk1","false","Pgk1"
"253","7","Prdm1","false","Prdm1"
"494","5","Egln1","false","Egln1"
"254","9","Ets2","false","Ets2"
"112","8","Paip2b","false","Paip2b"
"113","8","Pcbp2","false","Pcbp2"
"255","12","Pear1","false","Pear1"
"114","8","Pabpc1","false","Pabpc1"
"495","3","Hmox1","false","Hmox1"
"256","12","Esyt1","false","Esyt1"
"496","9","Blvra","false","Blvra"
"499","5","Cflar","false","Cflar"
"500","5","Bcl2a1a","false","Bcl2a1a"
"501","5","Ctsf","false","Ctsf"
"257","2","Pyhin1","false","Pyhin1"
"258","2","Epsti1","false","Epsti1"
"502","5","Ctsc","false","Ctsc"
"259","3","Fgl2","false","Fgl2"
"503","5","Ctsl","false","Ctsl"
"115","5","Tmem45a","false","Tmem45a"
"504","3","Ctss","false","Ctss"
"260","6","Hddc3","false","Hddc3"
"505","5","Bcl2","false","Bcl2"
"116","1","Stim2","false","Stim2"
"506","5","Bcat1","false","Bcat1"
"117","1","Pip5k1c","false","Pip5k1c"
"118","1","Rnpep","false","Rnpep"
"119","1","Orai1","false","Orai1"
"120","9","Reep5","false","Reep5"
"261","5","Pgm1","false","Pgm1"
"511","1","Ggta1","false","Ggta1"
"262","5","Nmnat2","false","Nmnat2"
"512","1","B3gnt2","false","B3gnt2"
"263","5","Ugp2","false","Ugp2"
"513","4","Dpy19l1","false","Dpy19l1"
"121","2","Slfn4","false","Slfn4"
"514","5","Ppp3cb","false","Ppp3cb"
"264","5","Gys1","false","Gys1"
"265","5","Eno1b","false","Eno1b"
"515","2","Atp2b1","false","Atp2b1"
"516","2","Atp1b1","false","Atp1b1"
"266","5","Tigar","false","Tigar"
"517","3","Fkbp2","false","Fkbp2"
"122","5","Pycr1","false","Pycr1"
"267","5","Pfkl","false","Pfkl"
"123","5","Nudt5","false","Nudt5"
"268","5","Eno1","false","Eno1"
"269","6","Man2a2","false","Man2a2"
"270","6","Engase","false","Engase"
"124","6","Nudt3","false","Nudt3"
"271","1","Elovl5","false","Elovl5"
"272","7","Tfap2c","false","Tfap2c"
"518","5","Bnip3","false","Bnip3"
"273","7","Gata3","false","Gata3"
"274","7","Elf5","false","Elf5"
"519","5","Myc","false","Myc"
"520","2","Dram1","false","Dram1"
"127","6","Wbscr22","false","Wbscr22"
"275","6","Mcts1","false","Mcts1"
"276","5","Junb","false","Junb"
"277","5","Rcan1","false","Rcan1"
"526","6","Phgdh","false","Phgdh"
"278","5","Ier2","false","Ier2"
"128","6","Rexo4","false","Rexo4"
"527","6","Sars","false","Sars"
"279","5","Smad7","false","Smad7"
"528","5","Ppp1r15a","false","Ppp1r15a"
"529","6","Chac1","false","Chac1"
"530","6","Psat1","false","Psat1"
"280","7","Ier3","false","Ier3"
"281","5","Egr1","false","Egr1"
"531","6","Mthfd2","false","Mthfd2"
"129","9","Nfat5","false","Nfat5"
"532","6","Asns","false","Asns"
"533","9","Tcf4","false","Tcf4"
"534","9","Ascl2","false","Ascl2"
"535","9","Dnm2","false","Dnm2"
"536","3","Ccr2","false","Ccr2"
"130","6","Timm9","false","Timm9"
"537","3","Ccr1l1","false","Ccr1l1"
"538","9","Olfr1388","false","Olfr1388"
"539","9","Necap2","false","Necap2"
"540","3","Ccr1","false","Ccr1"
"541","9","Hip1r","false","Hip1r"
"542","3","Cd63","false","Cd63"
"288","6","Nedd8","false","Nedd8"
"543","3","Atp11b","false","Atp11b"
"289","6","Rpl22","false","Rpl22"
"544","2","Bst2","false","Bst2"
"133","9","Taf1d","false","Taf1d"
"545","3","Cd68","false","Cd68"
"290","6","Rps28","false","Rps28"
"546","3","Syngr1","false","Syngr1"
"547","3","Arl8a","false","Arl8a"
"548","6","Uba52","false","Uba52"
"134","12","Nppb","false","Nppb"
"549","2","Tceb1","false","Tceb1"
"291","6","Eef1b2","false","Eef1b2"
"550","2","Ube2k","false","Ube2k"
"551","2","Ube2a","false","Ube2a"
"292","8","Fam3c","false","Fam3c"
"293","8","Ecm1","false","Ecm1"
"552","2","Fbxl18","false","Fbxl18"
"553","2","Siah2","false","Siah2"
"554","2","Rnf213","false","Rnf213"
"135","5","Wt1","false","Wt1"
"555","2","Fbxo32","false","Fbxo32"
"556","2","Klhl2","false","Klhl2"
"557","2","Atg7","false","Atg7"
"136","9","Nes","false","Nes"
"558","2","Dtx3l","false","Dtx3l"
"559","2","Fbxo27","false","Fbxo27"
"560","2","Fbxo6","false","Fbxo6"
"561","2","Ube2l3","false","Ube2l3"
"562","2","Arih2","false","Arih2"
"563","9","Pak1","false","Pak1"
"564","9","Arhgef7","false","Arhgef7"
"137","6","Mtrr","false","Mtrr"
"294","12","ENSMUSG00000020940","false","ENSMUSG00000020940"
"565","9","Was","false","Was"
"295","5","E2f2","false","E2f2"
"138","6","Mthfd1l","false","Mthfd1l"
"566","9","Arhgap9","false","Arhgap9"
"567","3","Ncf1","false","Ncf1"
"568","9","Arhgap27","false","Arhgap27"
"569","9","Snx22","false","Snx22"
"139","3","Slfn1","false","Slfn1"
"570","9","Arhgap22","false","Arhgap22"
"140","3","Ms4a4c","false","Ms4a4c"
"571","5","Sms","false","Sms"
"296","2","Parp10","false","Parp10"
"572","5","Arg2","false","Arg2"
"573","5","Gda","false","Gda"
"297","6","Donson","false","Donson"
"574","5","Upp1","false","Upp1"
"575","5","Dtymk","false","Dtymk"
"576","5","Rpia","false","Rpia"
"298","9","Dock8","false","Dock8"
"141","3","Mtdh","false","Mtdh"
"299","9","Dock6","false","Dock6"
"577","5","Srm","false","Srm"
"578","9","Hras","false","Hras"
"300","9","Nostrin","false","Nostrin"
"579","9","Sos1","false","Sos1"
"142","2","Mmd","false","Mmd"
"301","9","Sbf2","false","Sbf2"
"580","9","Arrb2","false","Arrb2"
"581","9","Itgb3","false","Itgb3"
"302","9","Hcls1","false","Hcls1"
"143","9","Micall2","false","Micall2"
"582","9","Mapk3","false","Mapk3"
"303","9","Grb2","false","Grb2"
"583","3","Fyb","false","Fyb"
"144","9","S100a4","false","S100a4"
"584","9","Apbb1ip","false","Apbb1ip"
"304","6","Rnaseh2a","false","Rnaseh2a"
"305","6","Lig3","false","Lig3"
"585","4","Antxr2","false","Antxr2"
"306","6","Rad1","false","Rad1"
"145","6","Vma21","false","Vma21"
"586","3","Ptprc","false","Ptprc"
"307","6","Dna2","false","Dna2"
"587","3","Cxcr2","false","Cxcr2"
"308","3","Nr2f2","false","Nr2f2"
"588","3","Pecam1","false","Pecam1"
"589","3","Fcgr4","false","Fcgr4"
"309","6","Gnl3","false","Gnl3"
"310","6","Utp14a","false","Utp14a"
"590","3","Rab31","false","Rab31"
"311","6","Nle1","false","Nle1"
"146","9","Vill","false","Vill"
"591","3","Cd14","false","Cd14"
"592","3","Cdh5","false","Cdh5"
"147","9","Ubtf","false","Ubtf"
"593","3","Tlr2","false","Tlr2"
"312","6","Pus3","false","Pus3"
"313","6","Ipo5","false","Ipo5"
"594","3","Sell","false","Sell"
"595","3","Cd33","false","Cd33"
"314","6","Dnajc2","false","Dnajc2"
"596","3","Anpep","false","Anpep"
"597","3","Stk10","false","Stk10"
"315","6","Rps27","false","Rps27"
"316","6","Diap2","false","Diap2"
"317","8","Snrpe","false","Snrpe"
"318","8","Dhx34","false","Dhx34"
"598","3","Plscr3","false","Plscr3"
"599","3","mCG_19844","false","mCG_19844"
"148","9","Mapkapk3","false","Mapkapk3"
"319","1","Lipg","false","Lipg"
"600","3","Tmbim1","false","Tmbim1"
"320","1","Plcd1","false","Plcd1"
"321","9","Sphk1","false","Sphk1"
"601","5","Egln3","false","Egln3"
"602","5","Ankrd37","false","Ankrd37"
"322","1","Sgpp1","false","Sgpp1"
"323","1","Degs2","false","Degs2"
"603","5","Impdh1","false","Impdh1"
"604","5","Gmpr2","false","Gmpr2"
"605","7","Stk4","false","Stk4"
"324","2","Samd9l","false","Samd9l"
"606","7","Amotl1","false","Amotl1"
"607","7","Tead4","false","Tead4"
"608","7","Amot","false","Amot"
"152","8","Luc7l3","false","Luc7l3"
"609","13","Jam3","false","Jam3"
"325","6","Oas1a","false","Oas1a"
"610","13","Amica1","false","Amica1"
"611","5","Hk2","false","Hk2"
"612","5","Amdhd2","false","Amdhd2"
"153","11","Lphn3","false","Lphn3"
"326","6","Pola2","false","Pola2"
"327","6","Gmnn","false","Gmnn"
"154","11","Lrrc3","false","Lrrc3"
"328","6","Dbf4","false","Dbf4"
"155","11","Lrrc8e","false","Lrrc8e"
"329","9","Rasa4","false","Rasa4"
"618","5","Aoc3","false","Aoc3"
"330","9","Dab2ip","false","Dab2ip"
"619","5","Aoc2","false","Aoc2"
"156","11","Lrwd1","false","Lrwd1"
"157","11","Lphn2","false","Lphn2"
"620","5","Smox","false","Smox"
"331","3","Plekho2","false","Plekho2"
"621","5","Glul","false","Glul"
"622","5","Gls","false","Gls"
"623","5","Glud1","false","Glud1"
"624","5","Aldh2","false","Aldh2"
"332","1","Cyp4f18","false","Cyp4f18"
"625","5","Entpd1","false","Entpd1"
"158","9","Slc25a33","false","Slc25a33"
"626","5","Tpk1","false","Tpk1"
"159","9","Lipt2","false","Lipt2"
"627","6","Pkm","false","Pkm"
"335","9","Wipf1","false","Wipf1"
"160","1","Pltp","false","Pltp"
"628","5","Nt5c","false","Nt5c"
"336","9","Wipf3","false","Wipf3"
"629","5","P4ha1","false","P4ha1"
"337","9","Cyfip2","false","Cyfip2"
"630","5","Aprt","false","Aprt"
"631","5","Ampd3","false","Ampd3"
"338","3","Ncf2","false","Ncf2"
