"SUID","automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"6810","0.54","0.134","0.601","0.0","65.13852334","0.079","0","0.0","interacts with","Col4a1 (interacts with) Lama5","0","10090.ENSMUSP00000033898","10090.ENSMUSP00000015791","0","false","interacts with","Col4a1 (interacts with) Lama5"
"6809","0.503","0.712","0.875","0.0","51.06033346","0.2","0","0.0","interacts with","Col4a1 (interacts with) Sparc","0","10090.ENSMUSP00000033898","10090.ENSMUSP00000018737","0","false","interacts with","Col4a1 (interacts with) Sparc"
"6808","0.433","0.082","0.943","0.9","28.14198039","0.047","0","0.0","interacts with","Col4a1 (interacts with) P4ha2","0","10090.ENSMUSP00000033898","10090.ENSMUSP00000019050","0","false","interacts with","Col4a1 (interacts with) P4ha2"
"6807","0.157","0.087","0.93","0.9","46.45197359","0.198","0","0.0","interacts with","Col4a1 (interacts with) Plod1","0","10090.ENSMUSP00000033898","10090.ENSMUSP00000019199","0","false","interacts with","Col4a1 (interacts with) Plod1"
"6806","0.461","0.191","0.551","0.0","43.12782812","0.053","0","0.0","interacts with","Col4a1 (interacts with) Lama4","0","10090.ENSMUSP00000033898","10090.ENSMUSP00000019992","0","false","interacts with","Col4a1 (interacts with) Lama4"
"6805","0.493","0.232","0.643","0.0","41.67813549","0.157","0","0.0","interacts with","Col4a1 (interacts with) Nid2","0","10090.ENSMUSP00000033898","10090.ENSMUSP00000022340","0","false","interacts with","Col4a1 (interacts with) Nid2"
"6804","0.571","0.275","0.68","0.0","66.19979225","0.053","0","0.0","interacts with","Col4a1 (interacts with) Lamc1","0","10090.ENSMUSP00000033898","10090.ENSMUSP00000027752","0","false","interacts with","Col4a1 (interacts with) Lamc1"
"6803","0.234","0.128","0.718","0.6","13.6054216","0.067","0","0.0","interacts with","Col4a1 (interacts with) Itga8","0","10090.ENSMUSP00000033898","10090.ENSMUSP00000028106","0","false","interacts with","Col4a1 (interacts with) Itga8"
"6802","0.703","0.602","0.967","0.9","21.25469467","0.0","0","0.678","interacts with","Col4a1 (interacts with) Col5a1","0","10090.ENSMUSP00000033898","10090.ENSMUSP00000028280","0","false","interacts with","Col4a1 (interacts with) Col5a1"
"6801","0.295","0.088","0.728","0.6","23.7627515","0.067","0","0.0","interacts with","Col4a1 (interacts with) Itga6","0","10090.ENSMUSP00000033898","10090.ENSMUSP00000028522","0","false","interacts with","Col4a1 (interacts with) Itga6"
"6800","0.461","0.471","0.713","0.0","59.72908688","0.073","0","0.0","interacts with","Col4a1 (interacts with) Fbn1","0","10090.ENSMUSP00000033898","10090.ENSMUSP00000028633","0","false","interacts with","Col4a1 (interacts with) Fbn1"
"6799","0.285","0.08","0.914","0.9","13.99940063","0.095","0","0.77","interacts with","Col4a1 (interacts with) Col9a2","0","10090.ENSMUSP00000033898","10090.ENSMUSP00000030372","0","false","interacts with","Col4a1 (interacts with) Col9a2"
